"Label (Grouping)","ZCTA5 40210!!Total!!Estimate","ZCTA5 40210!!Total!!Margin of Error","ZCTA5 40210!!Percent!!Estimate","ZCTA5 40210!!Percent!!Margin of Error","ZCTA5 40210!!Male!!Estimate","ZCTA5 40210!!Male!!Margin of Error","ZCTA5 40210!!Percent Male!!Estimate","ZCTA5 40210!!Percent Male!!Margin of Error","ZCTA5 40210!!Female!!Estimate","ZCTA5 40210!!Female!!Margin of Error","ZCTA5 40210!!Percent Female!!Estimate","ZCTA5 40210!!Percent Female!!Margin of Error"
"Total population","14,226","±1,429","(X)","(X)","6,035","±664","(X)","(X)","8,191","±1,032","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","838","±291","5.9%","±2.0","424","±195","7.0%","±3.2","414","±204","5.1%","±2.4"
"        5 to 9 years","1,350","±378","9.5%","±2.3","553","±178","9.2%","±2.8","797","±345","9.7%","±3.9"
"        10 to 14 years","1,210","±439","8.5%","±2.7","475","±172","7.9%","±2.7","735","±391","9.0%","±4.2"
"        15 to 19 years","1,133","±332","8.0%","±2.0","655","±241","10.9%","±3.5","478","±183","5.8%","±2.0"
"        20 to 24 years","856","±247","6.0%","±1.7","480","±182","8.0%","±2.9","376","±161","4.6%","±1.9"
"        25 to 29 years","1,147","±507","8.1%","±3.3","425","±254","7.0%","±4.0","722","±335","8.8%","±3.7"
"        30 to 34 years","708","±249","5.0%","±1.7","324","±184","5.4%","±3.0","384","±161","4.7%","±1.9"
"        35 to 39 years","1,008","±277","7.1%","±1.8","318","±185","5.3%","±2.9","690","±229","8.4%","±2.5"
"        40 to 44 years","623","±192","4.4%","±1.4","344","±125","5.7%","±2.1","279","±109","3.4%","±1.4"
"        45 to 49 years","652","±186","4.6%","±1.3","283","±115","4.7%","±1.9","369","±160","4.5%","±2.0"
"        50 to 54 years","887","±184","6.2%","±1.3","303","±98","5.0%","±1.6","584","±156","7.1%","±2.1"
"        55 to 59 years","857","±253","6.0%","±1.7","263","±111","4.4%","±1.8","594","±248","7.3%","±3.0"
"        60 to 64 years","742","±206","5.2%","±1.4","345","±131","5.7%","±2.1","397","±153","4.8%","±1.9"
"        65 to 69 years","745","±184","5.2%","±1.3","214","±103","3.5%","±1.7","531","±149","6.5%","±1.9"
"        70 to 74 years","576","±147","4.0%","±1.1","327","±115","5.4%","±1.9","249","±88","3.0%","±1.2"
"        75 to 79 years","375","±128","2.6%","±1.0","190","±105","3.1%","±1.7","185","±76","2.3%","±1.0"
"        80 to 84 years","327","±220","2.3%","±1.5","35","±33","0.6%","±0.6","292","±215","3.6%","±2.5"
"        85 years and over","192","±113","1.3%","±0.8","77","±84","1.3%","±1.4","115","±62","1.4%","±0.8"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,560","±618","18.0%","±3.4","1,028","±247","17.0%","±3.6","1,532","±501","18.7%","±4.7"
"        15 to 17 years","711","±247","5.0%","±1.6","508","±224","8.4%","±3.4","203","±89","2.5%","±1.1"
"        Under 18 years","4,109","±755","28.9%","±3.5","1,960","±407","32.5%","±5.5","2,149","±545","26.2%","±4.4"
"        18 to 24 years","1,278","±317","9.0%","±2.0","627","±198","10.4%","±3.0","651","±213","7.9%","±2.2"
"        15 to 44 years","5,475","±790","38.5%","±3.1","2,546","±520","42.2%","±6.4","2,929","±507","35.8%","±3.2"
"        16 years and over","10,607","±992","74.6%","±3.6","4,395","±559","72.8%","±5.3","6,212","±663","75.8%","±4.5"
"        18 years and over","10,117","±956","71.1%","±3.5","4,075","±538","67.5%","±5.5","6,042","±664","73.8%","±4.4"
"        21 years and over","9,465","±884","66.5%","±3.6","3,765","±507","62.4%","±5.3","5,700","±599","69.6%","±4.6"
"        60 years and over","2,957","±382","20.8%","±2.8","1,188","±210","19.7%","±3.3","1,769","±272","21.6%","±3.6"
"        62 years and over","2,647","±373","18.6%","±2.7","1,040","±210","17.2%","±3.4","1,607","±261","19.6%","±3.3"
"        65 years and over","2,215","±324","15.6%","±2.4","843","±200","14.0%","±3.3","1,372","±236","16.8%","±3.0"
"        75 years and over","894","±283","6.3%","±2.0","302","±134","5.0%","±2.2","592","±211","7.2%","±2.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","34.0","±4.6","(X)","(X)","31.0","±5.6","(X)","(X)","36.9","±4.1","(X)","(X)"
"        Sex ratio (males per 100 females)","73.7","±9.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","80.0","±10.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.0","±4.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","52.0","±8.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
