"Label (Grouping)","ZCTA5 40272!!Total!!Estimate","ZCTA5 40272!!Total!!Margin of Error","ZCTA5 40272!!Percent!!Estimate","ZCTA5 40272!!Percent!!Margin of Error","ZCTA5 40272!!Male!!Estimate","ZCTA5 40272!!Male!!Margin of Error","ZCTA5 40272!!Percent Male!!Estimate","ZCTA5 40272!!Percent Male!!Margin of Error","ZCTA5 40272!!Female!!Estimate","ZCTA5 40272!!Female!!Margin of Error","ZCTA5 40272!!Percent Female!!Estimate","ZCTA5 40272!!Percent Female!!Margin of Error"
"Total population","37,595","±2,217","(X)","(X)","18,269","±1,217","(X)","(X)","19,326","±1,310","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,384","±518","6.3%","±1.3","1,246","±404","6.8%","±2.1","1,138","±305","5.9%","±1.5"
"        5 to 9 years","2,082","±439","5.5%","±1.0","1,113","±215","6.1%","±1.2","969","±354","5.0%","±1.6"
"        10 to 14 years","3,007","±577","8.0%","±1.3","1,788","±444","9.8%","±2.1","1,219","±305","6.3%","±1.4"
"        15 to 19 years","2,280","±405","6.1%","±1.0","1,046","±240","5.7%","±1.3","1,234","±344","6.4%","±1.6"
"        20 to 24 years","2,354","±371","6.3%","±1.0","961","±259","5.3%","±1.4","1,393","±292","7.2%","±1.4"
"        25 to 29 years","2,301","±438","6.1%","±1.1","1,134","±269","6.2%","±1.4","1,167","±307","6.0%","±1.5"
"        30 to 34 years","2,159","±418","5.7%","±1.2","922","±206","5.0%","±1.2","1,237","±316","6.4%","±1.7"
"        35 to 39 years","2,674","±370","7.1%","±1.1","1,340","±264","7.3%","±1.4","1,334","±304","6.9%","±1.7"
"        40 to 44 years","2,591","±711","6.9%","±1.7","1,290","±392","7.1%","±1.9","1,301","±405","6.7%","±1.8"
"        45 to 49 years","2,179","±434","5.8%","±1.1","976","±265","5.3%","±1.4","1,203","±306","6.2%","±1.5"
"        50 to 54 years","2,016","±342","5.4%","±0.9","954","±246","5.2%","±1.3","1,062","±223","5.5%","±1.2"
"        55 to 59 years","2,302","±378","6.1%","±1.0","1,235","±255","6.8%","±1.5","1,067","±251","5.5%","±1.3"
"        60 to 64 years","3,185","±700","8.5%","±1.9","1,343","±353","7.4%","±1.9","1,842","±414","9.5%","±2.2"
"        65 to 69 years","2,217","±348","5.9%","±0.9","1,274","±289","7.0%","±1.5","943","±202","4.9%","±1.1"
"        70 to 74 years","1,434","±323","3.8%","±0.9","639","±188","3.5%","±1.1","795","±203","4.1%","±1.1"
"        75 to 79 years","1,058","±242","2.8%","±0.6","560","±169","3.1%","±0.9","498","±157","2.6%","±0.8"
"        80 to 84 years","562","±134","1.5%","±0.4","227","±87","1.2%","±0.5","335","±118","1.7%","±0.6"
"        85 years and over","810","±224","2.2%","±0.6","221","±93","1.2%","±0.5","589","±204","3.0%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","5,089","±768","13.5%","±1.5","2,901","±455","15.9%","±1.9","2,188","±493","11.3%","±2.0"
"        15 to 17 years","1,524","±334","4.1%","±0.8","639","±186","3.5%","±1.0","885","±314","4.6%","±1.4"
"        Under 18 years","8,997","±1,234","23.9%","±2.3","4,786","±719","26.2%","±3.0","4,211","±827","21.8%","±3.1"
"        18 to 24 years","3,110","±454","8.3%","±1.2","1,368","±332","7.5%","±1.8","1,742","±322","9.0%","±1.6"
"        15 to 44 years","14,359","±1,136","38.2%","±1.8","6,693","±609","36.6%","±2.4","7,666","±761","39.7%","±2.5"
"        16 years and over","29,575","±1,546","78.7%","±2.1","13,889","±852","76.0%","±3.0","15,686","±915","81.2%","±2.6"
"        18 years and over","28,598","±1,416","76.1%","±2.3","13,483","±865","73.8%","±3.0","15,115","±761","78.2%","±3.1"
"        21 years and over","27,189","±1,335","72.3%","±2.1","12,885","±812","70.5%","±2.7","14,304","±713","74.0%","±2.9"
"        60 years and over","9,266","±843","24.6%","±2.3","4,264","±499","23.3%","±2.6","5,002","±530","25.9%","±2.9"
"        62 years and over","8,123","±791","21.6%","±2.1","3,652","±428","20.0%","±2.3","4,471","±548","23.1%","±3.0"
"        65 years and over","6,081","±570","16.2%","±1.5","2,921","±369","16.0%","±2.0","3,160","±424","16.4%","±2.2"
"        75 years and over","2,430","±376","6.5%","±1.0","1,008","±223","5.5%","±1.2","1,422","±270","7.4%","±1.4"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.8","±1.9","(X)","(X)","38.2","±2.2","(X)","(X)","39.7","±2.8","(X)","(X)"
"        Sex ratio (males per 100 females)","94.5","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","67.0","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.0","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.0","±4.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
