"Label (Grouping)","ZCTA5 40047!!Total!!Estimate","ZCTA5 40047!!Total!!Margin of Error","ZCTA5 40047!!Percent!!Estimate","ZCTA5 40047!!Percent!!Margin of Error","ZCTA5 40047!!Male!!Estimate","ZCTA5 40047!!Male!!Margin of Error","ZCTA5 40047!!Percent Male!!Estimate","ZCTA5 40047!!Percent Male!!Margin of Error","ZCTA5 40047!!Female!!Estimate","ZCTA5 40047!!Female!!Margin of Error","ZCTA5 40047!!Percent Female!!Estimate","ZCTA5 40047!!Percent Female!!Margin of Error"
"Total population","23,160","±668","(X)","(X)","11,574","±457","(X)","(X)","11,586","±560","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,510","±256","6.5%","±1.1","648","±152","5.6%","±1.3","862","±237","7.4%","±2.0"
"        5 to 9 years","1,853","±339","8.0%","±1.4","1,162","±271","10.0%","±2.2","691","±198","6.0%","±1.6"
"        10 to 14 years","1,504","±279","6.5%","±1.2","731","±213","6.3%","±1.8","773","±158","6.7%","±1.3"
"        15 to 19 years","1,357","±250","5.9%","±1.1","859","±210","7.4%","±1.7","498","±138","4.3%","±1.2"
"        20 to 24 years","1,143","±243","4.9%","±1.0","634","±152","5.5%","±1.3","509","±150","4.4%","±1.3"
"        25 to 29 years","1,241","±274","5.4%","±1.2","685","±156","5.9%","±1.3","556","±166","4.8%","±1.4"
"        30 to 34 years","1,630","±312","7.0%","±1.3","807","±172","7.0%","±1.4","823","±215","7.1%","±1.8"
"        35 to 39 years","1,552","±337","6.7%","±1.4","710","±185","6.1%","±1.6","842","±233","7.3%","±2.0"
"        40 to 44 years","1,784","±313","7.7%","±1.4","902","±214","7.8%","±1.9","882","±210","7.6%","±1.8"
"        45 to 49 years","1,430","±242","6.2%","±1.0","663","±142","5.7%","±1.2","767","±170","6.6%","±1.4"
"        50 to 54 years","1,756","±270","7.6%","±1.1","914","±196","7.9%","±1.6","842","±159","7.3%","±1.4"
"        55 to 59 years","1,326","±242","5.7%","±1.0","598","±151","5.2%","±1.3","728","±157","6.3%","±1.3"
"        60 to 64 years","1,501","±298","6.5%","±1.2","769","±194","6.6%","±1.6","732","±165","6.3%","±1.4"
"        65 to 69 years","1,162","±204","5.0%","±0.9","415","±98","3.6%","±0.9","747","±172","6.4%","±1.5"
"        70 to 74 years","1,034","±204","4.5%","±0.9","586","±146","5.1%","±1.3","448","±112","3.9%","±0.9"
"        75 to 79 years","553","±172","2.4%","±0.7","196","±81","1.7%","±0.7","357","±124","3.1%","±1.0"
"        80 to 84 years","289","±121","1.2%","±0.5","143","±71","1.2%","±0.6","146","±94","1.3%","±0.8"
"        85 years and over","535","±175","2.3%","±0.8","152","±105","1.3%","±0.9","383","±141","3.3%","±1.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,357","±351","14.5%","±1.4","1,893","±299","16.4%","±2.4","1,464","±250","12.6%","±1.9"
"        15 to 17 years","800","±195","3.5%","±0.8","510","±164","4.4%","±1.4","290","±105","2.5%","±0.9"
"        Under 18 years","5,667","±371","24.5%","±1.5","3,051","±366","26.4%","±2.8","2,616","±305","22.6%","±2.0"
"        18 to 24 years","1,700","±298","7.3%","±1.3","983","±191","8.5%","±1.6","717","±178","6.2%","±1.5"
"        15 to 44 years","8,707","±494","37.6%","±1.9","4,597","±355","39.7%","±2.6","4,110","±347","35.5%","±2.6"
"        16 years and over","18,136","±686","78.3%","±1.6","8,931","±469","77.2%","±2.9","9,205","±439","79.4%","±2.2"
"        18 years and over","17,493","±616","75.5%","±1.5","8,523","±420","73.6%","±2.8","8,970","±405","77.4%","±2.0"
"        21 years and over","16,699","±649","72.1%","±1.6","8,005","±405","69.2%","±2.8","8,694","±418","75.0%","±2.0"
"        60 years and over","5,074","±485","21.9%","±2.0","2,261","±265","19.5%","±2.2","2,813","±290","24.3%","±2.4"
"        62 years and over","4,252","±369","18.4%","±1.5","1,916","±238","16.6%","±2.1","2,336","±218","20.2%","±1.7"
"        65 years and over","3,573","±304","15.4%","±1.3","1,492","±187","12.9%","±1.6","2,081","±197","18.0%","±1.6"
"        75 years and over","1,377","±212","5.9%","±0.9","491","±124","4.2%","±1.1","886","±159","7.6%","±1.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.3","±1.7","(X)","(X)","37.2","±1.7","(X)","(X)","41.5","±2.0","(X)","(X)"
"        Sex ratio (males per 100 females)","99.9","±6.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","66.4","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","25.7","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.7","±3.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
