"Label (Grouping)","ZCTA5 40228!!Total!!Estimate","ZCTA5 40228!!Total!!Margin of Error","ZCTA5 40228!!Percent!!Estimate","ZCTA5 40228!!Percent!!Margin of Error","ZCTA5 40228!!Male!!Estimate","ZCTA5 40228!!Male!!Margin of Error","ZCTA5 40228!!Percent Male!!Estimate","ZCTA5 40228!!Percent Male!!Margin of Error","ZCTA5 40228!!Female!!Estimate","ZCTA5 40228!!Female!!Margin of Error","ZCTA5 40228!!Percent Female!!Estimate","ZCTA5 40228!!Percent Female!!Margin of Error"
"Total population","18,491","±1,280","(X)","(X)","9,290","±735","(X)","(X)","9,201","±852","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,233","±336","6.7%","±1.8","693","±206","7.5%","±2.2","540","±237","5.9%","±2.5"
"        5 to 9 years","1,301","±224","7.0%","±1.1","688","±181","7.4%","±1.8","613","±176","6.7%","±1.8"
"        10 to 14 years","1,276","±286","6.9%","±1.4","673","±197","7.2%","±2.0","603","±218","6.6%","±2.2"
"        15 to 19 years","1,269","±343","6.9%","±1.7","831","±290","8.9%","±2.8","438","±161","4.8%","±1.6"
"        20 to 24 years","725","±244","3.9%","±1.2","301","±107","3.2%","±1.1","424","±202","4.6%","±2.0"
"        25 to 29 years","1,193","±323","6.5%","±1.7","804","±264","8.7%","±2.9","389","±140","4.2%","±1.5"
"        30 to 34 years","1,336","±322","7.2%","±1.6","601","±194","6.5%","±2.0","735","±222","8.0%","±2.3"
"        35 to 39 years","1,009","±289","5.5%","±1.5","477","±255","5.1%","±2.6","532","±112","5.8%","±1.3"
"        40 to 44 years","1,149","±238","6.2%","±1.3","543","±158","5.8%","±1.7","606","±152","6.6%","±1.7"
"        45 to 49 years","1,116","±239","6.0%","±1.3","562","±150","6.0%","±1.6","554","±156","6.0%","±1.8"
"        50 to 54 years","1,432","±373","7.7%","±2.0","754","±235","8.1%","±2.5","678","±210","7.4%","±2.2"
"        55 to 59 years","1,045","±249","5.7%","±1.3","456","±130","4.9%","±1.4","589","±219","6.4%","±2.2"
"        60 to 64 years","1,297","±317","7.0%","±1.6","683","±246","7.4%","±2.6","614","±186","6.7%","±1.9"
"        65 to 69 years","1,125","±261","6.1%","±1.5","423","±130","4.6%","±1.5","702","±195","7.6%","±2.1"
"        70 to 74 years","731","±152","4.0%","±0.9","314","±89","3.4%","±1.0","417","±110","4.5%","±1.3"
"        75 to 79 years","588","±151","3.2%","±0.8","172","±62","1.9%","±0.7","416","±132","4.5%","±1.4"
"        80 to 84 years","294","±109","1.6%","±0.6","135","±93","1.5%","±1.0","159","±62","1.7%","±0.7"
"        85 years and over","372","±213","2.0%","±1.2","180","±199","1.9%","±2.1","192","±82","2.1%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,577","±394","13.9%","±1.8","1,361","±289","14.7%","±2.7","1,216","±281","13.2%","±2.7"
"        15 to 17 years","917","±311","5.0%","±1.6","625","±277","6.7%","±2.7","292","±142","3.2%","±1.5"
"        Under 18 years","4,727","±643","25.6%","±2.6","2,679","±473","28.8%","±3.8","2,048","±412","22.3%","±3.7"
"        18 to 24 years","1,077","±335","5.8%","±1.7","507","±159","5.5%","±1.6","570","±277","6.2%","±2.8"
"        15 to 44 years","6,681","±694","36.1%","±2.1","3,557","±480","38.3%","±3.5","3,124","±403","34.0%","±2.9"
"        16 years and over","14,274","±1,045","77.2%","±2.6","6,896","±586","74.2%","±3.5","7,378","±706","80.2%","±3.6"
"        18 years and over","13,764","±969","74.4%","±2.6","6,611","±517","71.2%","±3.8","7,153","±695","77.7%","±3.7"
"        21 years and over","13,287","±912","71.9%","±2.5","6,327","±512","68.1%","±3.8","6,960","±630","75.6%","±3.4"
"        60 years and over","4,407","±510","23.8%","±2.7","1,907","±332","20.5%","±3.6","2,500","±342","27.2%","±3.3"
"        62 years and over","3,917","±490","21.2%","±2.6","1,617","±299","17.4%","±3.3","2,300","±334","25.0%","±3.3"
"        65 years and over","3,110","±404","16.8%","±2.4","1,224","±270","13.2%","±3.0","1,886","±264","20.5%","±2.8"
"        75 years and over","1,254","±299","6.8%","±1.6","487","±232","5.2%","±2.4","767","±164","8.3%","±1.7"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.5","±2.8","(X)","(X)","35.9","±4.6","(X)","(X)","43.0","±3.6","(X)","(X)"
"        Sex ratio (males per 100 females)","101.0","±10.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","73.6","±8.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","29.2","±5.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","44.4","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
