"Label (Grouping)","ZCTA5 40223!!Total!!Estimate","ZCTA5 40223!!Total!!Margin of Error","ZCTA5 40223!!Percent!!Estimate","ZCTA5 40223!!Percent!!Margin of Error","ZCTA5 40223!!Male!!Estimate","ZCTA5 40223!!Male!!Margin of Error","ZCTA5 40223!!Percent Male!!Estimate","ZCTA5 40223!!Percent Male!!Margin of Error","ZCTA5 40223!!Female!!Estimate","ZCTA5 40223!!Female!!Margin of Error","ZCTA5 40223!!Percent Female!!Estimate","ZCTA5 40223!!Percent Female!!Margin of Error"
"Total population","23,264","±1,077","(X)","(X)","11,483","±662","(X)","(X)","11,781","±623","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,197","±315","5.1%","±1.4","719","±204","6.3%","±1.8","478","±167","4.1%","±1.4"
"        5 to 9 years","1,578","±282","6.8%","±1.2","835","±192","7.3%","±1.6","743","±171","6.3%","±1.4"
"        10 to 14 years","1,724","±450","7.4%","±1.8","881","±271","7.7%","±2.2","843","±265","7.2%","±2.2"
"        15 to 19 years","1,141","±251","4.9%","±1.1","600","±207","5.2%","±1.7","541","±156","4.6%","±1.3"
"        20 to 24 years","785","±228","3.4%","±1.0","449","±158","3.9%","±1.4","336","±146","2.9%","±1.2"
"        25 to 29 years","1,450","±381","6.2%","±1.7","778","±251","6.8%","±2.2","672","±179","5.7%","±1.5"
"        30 to 34 years","1,154","±238","5.0%","±1.1","574","±186","5.0%","±1.7","580","±152","4.9%","±1.3"
"        35 to 39 years","1,918","±351","8.2%","±1.5","966","±218","8.4%","±1.9","952","±206","8.1%","±1.7"
"        40 to 44 years","1,654","±326","7.1%","±1.3","814","±178","7.1%","±1.5","840","±212","7.1%","±1.8"
"        45 to 49 years","1,393","±347","6.0%","±1.5","760","±235","6.6%","±2.0","633","±163","5.4%","±1.4"
"        50 to 54 years","1,399","±355","6.0%","±1.5","650","±212","5.7%","±1.8","749","±255","6.4%","±2.1"
"        55 to 59 years","1,302","±339","5.6%","±1.4","677","±256","5.9%","±2.1","625","±155","5.3%","±1.3"
"        60 to 64 years","1,542","±404","6.6%","±1.7","556","±182","4.8%","±1.6","986","±265","8.4%","±2.2"
"        65 to 69 years","1,357","±226","5.8%","±1.1","594","±141","5.2%","±1.2","763","±169","6.5%","±1.5"
"        70 to 74 years","1,849","±488","7.9%","±2.0","870","±303","7.6%","±2.5","979","±264","8.3%","±2.2"
"        75 to 79 years","760","±146","3.3%","±0.7","355","±91","3.1%","±0.8","405","±103","3.4%","±0.9"
"        80 to 84 years","615","±249","2.6%","±1.1","207","±61","1.8%","±0.5","408","±237","3.5%","±2.0"
"        85 years and over","446","±162","1.9%","±0.7","198","±85","1.7%","±0.7","248","±92","2.1%","±0.8"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,302","±566","14.2%","±2.1","1,716","±340","14.9%","±2.6","1,586","±341","13.5%","±2.7"
"        15 to 17 years","841","±190","3.6%","±0.8","475","±155","4.1%","±1.3","366","±109","3.1%","±0.9"
"        Under 18 years","5,340","±602","23.0%","±2.0","2,910","±410","25.3%","±2.9","2,430","±311","20.6%","±2.3"
"        18 to 24 years","1,085","±278","4.7%","±1.2","574","±171","5.0%","±1.5","511","±187","4.3%","±1.6"
"        15 to 44 years","8,102","±570","34.8%","±2.1","4,181","±372","36.4%","±3.1","3,921","±313","33.3%","±2.4"
"        16 years and over","18,450","±819","79.3%","±2.0","8,863","±526","77.2%","±2.8","9,587","±538","81.4%","±2.5"
"        18 years and over","17,924","±811","77.0%","±2.0","8,573","±509","74.7%","±2.9","9,351","±532","79.4%","±2.3"
"        21 years and over","17,565","±814","75.5%","±2.1","8,416","±519","73.3%","±3.0","9,149","±511","77.7%","±2.2"
"        60 years and over","6,569","±678","28.2%","±2.9","2,780","±380","24.2%","±3.2","3,789","±444","32.2%","±3.4"
"        62 years and over","6,037","±672","25.9%","±2.9","2,600","±374","22.6%","±3.1","3,437","±435","29.2%","±3.4"
"        65 years and over","5,027","±616","21.6%","±2.6","2,224","±343","19.4%","±2.8","2,803","±404","23.8%","±3.3"
"        75 years and over","1,821","±329","7.8%","±1.4","760","±141","6.6%","±1.3","1,061","±272","9.0%","±2.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","42.3","±1.9","(X)","(X)","39.8","±1.8","(X)","(X)","44.3","±2.4","(X)","(X)"
"        Sex ratio (males per 100 females)","97.5","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","80.4","±8.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","39.0","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.4","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.6%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
