"Label (Grouping)","ZCTA5 40059!!Total!!Estimate","ZCTA5 40059!!Total!!Margin of Error","ZCTA5 40059!!Percent!!Estimate","ZCTA5 40059!!Percent!!Margin of Error","ZCTA5 40059!!Male!!Estimate","ZCTA5 40059!!Male!!Margin of Error","ZCTA5 40059!!Percent Male!!Estimate","ZCTA5 40059!!Percent Male!!Margin of Error","ZCTA5 40059!!Female!!Estimate","ZCTA5 40059!!Female!!Margin of Error","ZCTA5 40059!!Percent Female!!Estimate","ZCTA5 40059!!Percent Female!!Margin of Error"
"Total population","19,899","±1,130","(X)","(X)","9,878","±765","(X)","(X)","10,021","±674","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","802","±192","4.0%","±0.9","430","±128","4.4%","±1.3","372","±141","3.7%","±1.3"
"        5 to 9 years","1,080","±215","5.4%","±1.0","595","±174","6.0%","±1.7","485","±127","4.8%","±1.2"
"        10 to 14 years","1,431","±316","7.2%","±1.5","775","±267","7.8%","±2.3","656","±155","6.5%","±1.6"
"        15 to 19 years","1,467","±277","7.4%","±1.3","690","±178","7.0%","±1.6","777","±166","7.8%","±1.5"
"        20 to 24 years","774","±211","3.9%","±1.0","455","±163","4.6%","±1.7","319","±139","3.2%","±1.4"
"        25 to 29 years","350","±146","1.8%","±0.7","107","±68","1.1%","±0.7","243","±127","2.4%","±1.2"
"        30 to 34 years","720","±200","3.6%","±1.0","441","±151","4.5%","±1.5","279","±97","2.8%","±1.0"
"        35 to 39 years","1,220","±209","6.1%","±1.0","559","±147","5.7%","±1.5","661","±132","6.6%","±1.2"
"        40 to 44 years","1,067","±245","5.4%","±1.2","542","±167","5.5%","±1.6","525","±135","5.2%","±1.4"
"        45 to 49 years","1,579","±335","7.9%","±1.5","834","±268","8.4%","±2.4","745","±159","7.4%","±1.5"
"        50 to 54 years","1,765","±279","8.9%","±1.4","819","±197","8.3%","±2.0","946","±192","9.4%","±1.8"
"        55 to 59 years","1,467","±242","7.4%","±1.2","812","±180","8.2%","±1.8","655","±156","6.5%","±1.5"
"        60 to 64 years","1,536","±298","7.7%","±1.5","873","±176","8.8%","±1.8","663","±166","6.6%","±1.7"
"        65 to 69 years","1,027","±278","5.2%","±1.3","335","±102","3.4%","±1.0","692","±248","6.9%","±2.3"
"        70 to 74 years","1,455","±258","7.3%","±1.3","559","±150","5.7%","±1.5","896","±182","8.9%","±1.7"
"        75 to 79 years","1,072","±249","5.4%","±1.3","558","±153","5.6%","±1.7","514","±143","5.1%","±1.5"
"        80 to 84 years","750","±234","3.8%","±1.1","319","±107","3.2%","±1.1","431","±183","4.3%","±1.8"
"        85 years and over","337","±158","1.7%","±0.8","175","±139","1.8%","±1.4","162","±78","1.6%","±0.8"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,511","±385","12.6%","±1.7","1,370","±325","13.9%","±2.7","1,141","±177","11.4%","±1.7"
"        15 to 17 years","1,109","±251","5.6%","±1.2","520","±160","5.3%","±1.5","589","±148","5.9%","±1.3"
"        Under 18 years","4,422","±524","22.2%","±1.9","2,320","±406","23.5%","±2.9","2,102","±265","21.0%","±2.1"
"        18 to 24 years","1,132","±242","5.7%","±1.2","625","±181","6.3%","±1.8","507","±144","5.1%","±1.4"
"        15 to 44 years","5,598","±465","28.1%","±1.7","2,794","±332","28.3%","±2.5","2,804","±302","28.0%","±2.3"
"        16 years and over","16,133","±875","81.1%","±1.8","7,834","±544","79.3%","±2.7","8,299","±566","82.8%","±2.2"
"        18 years and over","15,477","±842","77.8%","±1.9","7,558","±509","76.5%","±2.9","7,919","±546","79.0%","±2.1"
"        21 years and over","14,996","±815","75.4%","±2.0","7,327","±501","74.2%","±2.8","7,669","±537","76.5%","±2.2"
"        60 years and over","6,177","±576","31.0%","±2.7","2,819","±281","28.5%","±3.0","3,358","±392","33.5%","±3.2"
"        62 years and over","5,720","±568","28.7%","±2.6","2,526","±265","25.6%","±2.7","3,194","±392","31.9%","±3.2"
"        65 years and over","4,641","±523","23.3%","±2.4","1,946","±232","19.7%","±2.5","2,695","±364","26.9%","±2.9"
"        75 years and over","2,159","±385","10.8%","±1.9","1,052","±198","10.6%","±2.1","1,107","±223","11.0%","±2.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","48.0","±1.7","(X)","(X)","46.7","±1.2","(X)","(X)","49.5","±2.0","(X)","(X)"
"        Sex ratio (males per 100 females)","98.6","±8.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","83.6","±7.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","42.8","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.8","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
