"Label (Grouping)","ZCTA5 40213!!Total!!Estimate","ZCTA5 40213!!Total!!Margin of Error","ZCTA5 40213!!Percent!!Estimate","ZCTA5 40213!!Percent!!Margin of Error","ZCTA5 40213!!Male!!Estimate","ZCTA5 40213!!Male!!Margin of Error","ZCTA5 40213!!Percent Male!!Estimate","ZCTA5 40213!!Percent Male!!Margin of Error","ZCTA5 40213!!Female!!Estimate","ZCTA5 40213!!Female!!Margin of Error","ZCTA5 40213!!Percent Female!!Estimate","ZCTA5 40213!!Percent Female!!Margin of Error"
"Total population","15,805","±1,260","(X)","(X)","8,072","±830","(X)","(X)","7,733","±583","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","884","±312","5.6%","±1.8","481","±279","6.0%","±3.2","403","±161","5.2%","±2.0"
"        5 to 9 years","899","±260","5.7%","±1.5","641","±218","7.9%","±2.4","258","±98","3.3%","±1.3"
"        10 to 14 years","883","±299","5.6%","±1.7","490","±193","6.1%","±2.2","393","±207","5.1%","±2.6"
"        15 to 19 years","907","±293","5.7%","±1.6","427","±229","5.3%","±2.6","480","±161","6.2%","±2.0"
"        20 to 24 years","1,027","±269","6.5%","±1.6","507","±202","6.3%","±2.5","520","±182","6.7%","±2.3"
"        25 to 29 years","944","±247","6.0%","±1.6","437","±130","5.4%","±1.7","507","±161","6.6%","±2.1"
"        30 to 34 years","1,251","±267","7.9%","±1.7","623","±160","7.7%","±2.2","628","±185","8.1%","±2.3"
"        35 to 39 years","1,059","±246","6.7%","±1.4","561","±149","6.9%","±1.9","498","±198","6.4%","±2.4"
"        40 to 44 years","1,265","±324","8.0%","±1.9","605","±192","7.5%","±2.2","660","±256","8.5%","±3.1"
"        45 to 49 years","980","±251","6.2%","±1.4","441","±169","5.5%","±2.0","539","±164","7.0%","±2.0"
"        50 to 54 years","1,026","±254","6.5%","±1.7","422","±168","5.2%","±2.2","604","±162","7.8%","±2.2"
"        55 to 59 years","898","±263","5.7%","±1.6","545","±238","6.8%","±2.8","353","±103","4.6%","±1.3"
"        60 to 64 years","1,420","±313","9.0%","±2.0","830","±184","10.3%","±2.2","590","±192","7.6%","±2.6"
"        65 to 69 years","690","±138","4.4%","±1.0","391","±104","4.8%","±1.4","299","±86","3.9%","±1.2"
"        70 to 74 years","707","±206","4.5%","±1.2","276","±163","3.4%","±2.0","431","±135","5.6%","±1.7"
"        75 to 79 years","290","±80","1.8%","±0.5","139","±54","1.7%","±0.7","151","±57","2.0%","±0.8"
"        80 to 84 years","366","±206","2.3%","±1.3","107","±90","1.3%","±1.1","259","±142","3.3%","±1.8"
"        85 years and over","309","±197","2.0%","±1.2","149","±181","1.8%","±2.2","160","±77","2.1%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,782","±459","11.3%","±2.4","1,131","±371","14.0%","±4.0","651","±212","8.4%","±2.5"
"        15 to 17 years","650","±273","4.1%","±1.6","289","±205","3.6%","±2.3","361","±152","4.7%","±1.9"
"        Under 18 years","3,316","±792","21.0%","±4.0","1,901","±630","23.6%","±6.3","1,415","±325","18.3%","±3.6"
"        18 to 24 years","1,284","±281","8.1%","±1.7","645","±211","8.0%","±2.6","639","±188","8.3%","±2.4"
"        15 to 44 years","6,453","±754","40.8%","±3.3","3,160","±416","39.1%","±4.3","3,293","±476","42.6%","±4.2"
"        16 years and over","12,843","±871","81.3%","±3.7","6,264","±577","77.6%","±6.1","6,579","±507","85.1%","±3.3"
"        18 years and over","12,489","±868","79.0%","±4.0","6,171","±571","76.4%","±6.3","6,318","±480","81.7%","±3.6"
"        21 years and over","12,095","±856","76.5%","±3.8","5,930","±562","73.5%","±6.1","6,165","±478","79.7%","±3.6"
"        60 years and over","3,782","±574","23.9%","±3.7","1,892","±357","23.4%","±4.1","1,890","±334","24.4%","±4.7"
"        62 years and over","3,212","±570","20.3%","±3.6","1,443","±336","17.9%","±3.8","1,769","±331","22.9%","±4.6"
"        65 years and over","2,362","±392","14.9%","±2.5","1,062","±282","13.2%","±3.3","1,300","±226","16.8%","±3.1"
"        75 years and over","965","±289","6.1%","±1.8","395","±203","4.9%","±2.5","570","±158","7.4%","±2.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","40.1","±3.4","(X)","(X)","38.0","±4.3","(X)","(X)","40.8","±3.1","(X)","(X)"
"        Sex ratio (males per 100 females)","104.4","±8.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","56.1","±7.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.3","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.7","±7.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
