"Label (Grouping)","ZCTA5 40023!!Total!!Estimate","ZCTA5 40023!!Total!!Margin of Error","ZCTA5 40023!!Percent!!Estimate","ZCTA5 40023!!Percent!!Margin of Error","ZCTA5 40023!!Male!!Estimate","ZCTA5 40023!!Male!!Margin of Error","ZCTA5 40023!!Percent Male!!Estimate","ZCTA5 40023!!Percent Male!!Margin of Error","ZCTA5 40023!!Female!!Estimate","ZCTA5 40023!!Female!!Margin of Error","ZCTA5 40023!!Percent Female!!Estimate","ZCTA5 40023!!Percent Female!!Margin of Error"
"Total population","6,484","±968","(X)","(X)","3,395","±670","(X)","(X)","3,089","±391","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","487","±355","7.5%","±5.1","429","±339","12.6%","±8.7","58","±47","1.9%","±1.5"
"        5 to 9 years","302","±149","4.7%","±2.1","182","±110","5.4%","±3.1","120","±73","3.9%","±2.2"
"        10 to 14 years","555","±147","8.6%","±2.1","326","±110","9.6%","±3.2","229","±85","7.4%","±2.5"
"        15 to 19 years","507","±160","7.8%","±2.3","134","±86","3.9%","±2.5","373","±140","12.1%","±3.9"
"        20 to 24 years","61","±46","0.9%","±0.7","45","±44","1.3%","±1.3","16","±24","0.5%","±0.8"
"        25 to 29 years","165","±106","2.5%","±1.7","53","±50","1.6%","±1.5","112","±73","3.6%","±2.5"
"        30 to 34 years","684","±320","10.5%","±4.6","350","±166","10.3%","±4.5","334","±174","10.8%","±5.6"
"        35 to 39 years","217","±99","3.3%","±1.5","91","±55","2.7%","±1.6","126","±69","4.1%","±2.2"
"        40 to 44 years","514","±215","7.9%","±3.2","144","±95","4.2%","±2.8","370","±151","12.0%","±4.4"
"        45 to 49 years","447","±159","6.9%","±2.5","265","±115","7.8%","±3.6","182","±78","5.9%","±2.6"
"        50 to 54 years","598","±173","9.2%","±2.6","304","±107","9.0%","±3.4","294","±91","9.5%","±2.7"
"        55 to 59 years","436","±216","6.7%","±3.1","147","±74","4.3%","±2.2","289","±184","9.4%","±5.7"
"        60 to 64 years","480","±146","7.4%","±2.3","217","±86","6.4%","±2.5","263","±90","8.5%","±3.0"
"        65 to 69 years","577","±188","8.9%","±2.8","331","±176","9.7%","±5.1","246","±77","8.0%","±2.6"
"        70 to 74 years","371","±365","5.7%","±5.2","314","±364","9.2%","±9.9","57","±40","1.8%","±1.3"
"        75 to 79 years","48","±44","0.7%","±0.7","39","±41","1.1%","±1.2","9","±16","0.3%","±0.5"
"        80 to 84 years","29","±29","0.4%","±0.5","24","±24","0.7%","±0.7","5","±9","0.2%","±0.3"
"        85 years and over","6","±9","0.1%","±0.1","0","±18","0.0%","±1.1","6","±9","0.2%","±0.3"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","857","±235","13.2%","±3.1","508","±168","15.0%","±4.8","349","±132","11.3%","±3.8"
"        15 to 17 years","287","±127","4.4%","±1.8","88","±65","2.6%","±1.8","199","±107","6.4%","±3.1"
"        Under 18 years","1,631","±409","25.2%","±4.1","1,025","±379","30.2%","±8.1","606","±204","19.6%","±5.4"
"        18 to 24 years","281","±101","4.3%","±1.6","91","±65","2.7%","±2.0","190","±84","6.2%","±2.6"
"        15 to 44 years","2,148","±398","33.1%","±4.7","817","±217","24.1%","±5.6","1,331","±257","43.1%","±5.9"
"        16 years and over","5,022","±712","77.5%","±4.3","2,442","±499","71.9%","±8.1","2,580","±307","83.5%","±5.4"
"        18 years and over","4,853","±703","74.8%","±4.1","2,370","±486","69.8%","±8.1","2,483","±308","80.4%","±5.4"
"        21 years and over","4,633","±684","71.5%","±4.0","2,324","±485","68.5%","±7.9","2,309","±291","74.7%","±5.7"
"        60 years and over","1,511","±434","23.3%","±5.2","925","±408","27.2%","±9.5","586","±114","19.0%","±4.0"
"        62 years and over","1,318","±432","20.3%","±5.2","872","±409","25.7%","±9.6","446","±96","14.4%","±3.2"
"        65 years and over","1,031","±392","15.9%","±4.9","708","±381","20.9%","±9.2","323","±83","10.5%","±2.8"
"        75 years and over","83","±58","1.3%","±0.9","63","±48","1.9%","±1.5","20","±20","0.6%","±0.7"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","43.4","±5.6","(X)","(X)","43.9","±14.0","(X)","(X)","43.1","±3.3","(X)","(X)"
"        Sex ratio (males per 100 females)","109.9","±16.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","69.6","±15.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.0","±10.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","42.7","±9.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
