"Label (Grouping)","ZCTA5 40204!!Total!!Estimate","ZCTA5 40204!!Total!!Margin of Error","ZCTA5 40204!!Percent!!Estimate","ZCTA5 40204!!Percent!!Margin of Error","ZCTA5 40204!!Male!!Estimate","ZCTA5 40204!!Male!!Margin of Error","ZCTA5 40204!!Percent Male!!Estimate","ZCTA5 40204!!Percent Male!!Margin of Error","ZCTA5 40204!!Female!!Estimate","ZCTA5 40204!!Female!!Margin of Error","ZCTA5 40204!!Percent Female!!Estimate","ZCTA5 40204!!Percent Female!!Margin of Error"
"Total population","14,018","±1,058","(X)","(X)","7,039","±758","(X)","(X)","6,979","±621","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","375","±134","2.7%","±0.9","144","±90","2.0%","±1.2","231","±94","3.3%","±1.3"
"        5 to 9 years","450","±173","3.2%","±1.1","262","±156","3.7%","±2.1","188","±67","2.7%","±0.9"
"        10 to 14 years","423","±122","3.0%","±0.8","216","±95","3.1%","±1.2","207","±85","3.0%","±1.2"
"        15 to 19 years","424","±132","3.0%","±0.9","207","±104","2.9%","±1.5","217","±104","3.1%","±1.5"
"        20 to 24 years","1,082","±277","7.7%","±1.9","388","±183","5.5%","±2.4","694","±237","9.9%","±3.2"
"        25 to 29 years","1,708","±347","12.2%","±2.3","790","±204","11.2%","±2.6","918","±241","13.2%","±3.2"
"        30 to 34 years","1,675","±375","11.9%","±2.5","971","±292","13.8%","±3.6","704","±221","10.1%","±3.0"
"        35 to 39 years","1,161","±240","8.3%","±1.6","704","±205","10.0%","±2.6","457","±131","6.5%","±1.8"
"        40 to 44 years","936","±180","6.7%","±1.3","570","±139","8.1%","±2.0","366","±95","5.2%","±1.4"
"        45 to 49 years","885","±229","6.3%","±1.6","442","±147","6.3%","±2.2","443","±165","6.3%","±2.2"
"        50 to 54 years","1,060","±308","7.6%","±2.0","483","±174","6.9%","±2.4","577","±193","8.3%","±2.5"
"        55 to 59 years","642","±122","4.6%","±0.9","329","±94","4.7%","±1.4","313","±99","4.5%","±1.4"
"        60 to 64 years","981","±218","7.0%","±1.4","550","±171","7.8%","±2.2","431","±121","6.2%","±1.7"
"        65 to 69 years","801","±236","5.7%","±1.5","386","±174","5.5%","±2.3","415","±154","5.9%","±2.1"
"        70 to 74 years","607","±200","4.3%","±1.4","283","±106","4.0%","±1.5","324","±168","4.6%","±2.3"
"        75 to 79 years","468","±124","3.3%","±0.9","212","±73","3.0%","±1.1","256","±89","3.7%","±1.3"
"        80 to 84 years","139","±75","1.0%","±0.5","33","±30","0.5%","±0.4","106","±66","1.5%","±1.0"
"        85 years and over","201","±92","1.4%","±0.7","69","±45","1.0%","±0.7","132","±73","1.9%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","873","±223","6.2%","±1.4","478","±189","6.8%","±2.3","395","±112","5.7%","±1.5"
"        15 to 17 years","242","±106","1.7%","±0.8","130","±71","1.8%","±1.0","112","±81","1.6%","±1.1"
"        Under 18 years","1,490","±320","10.6%","±1.9","752","±239","10.7%","±2.9","738","±181","10.6%","±2.3"
"        18 to 24 years","1,264","±290","9.0%","±1.9","465","±200","6.6%","±2.6","799","±251","11.4%","±3.4"
"        15 to 44 years","6,986","±647","49.8%","±3.1","3,630","±539","51.6%","±4.5","3,356","±401","48.1%","±3.8"
"        16 years and over","12,671","±904","90.4%","±1.8","6,352","±665","90.2%","±2.9","6,319","±570","90.5%","±2.0"
"        18 years and over","12,528","±903","89.4%","±1.9","6,287","±666","89.3%","±2.9","6,241","±565","89.4%","±2.3"
"        21 years and over","12,331","±891","88.0%","±2.0","6,203","±651","88.1%","±3.1","6,128","±567","87.8%","±2.4"
"        60 years and over","3,197","±384","22.8%","±2.4","1,533","±265","21.8%","±3.1","1,664","±254","23.8%","±3.4"
"        62 years and over","2,690","±348","19.2%","±2.2","1,291","±262","18.3%","±3.1","1,399","±225","20.0%","±3.1"
"        65 years and over","2,216","±289","15.8%","±2.0","983","±208","14.0%","±2.7","1,233","±217","17.7%","±3.0"
"        75 years and over","808","±190","5.8%","±1.5","314","±91","4.5%","±1.3","494","±138","7.1%","±2.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.8","±2.1","(X)","(X)","39.0","±3.1","(X)","(X)","38.7","±2.5","(X)","(X)"
"        Sex ratio (males per 100 females)","100.9","±12.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","35.9","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.5","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","14.4","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
