"Label (Grouping)","ZCTA5 40229!!Total!!Estimate","ZCTA5 40229!!Total!!Margin of Error","ZCTA5 40229!!Percent!!Estimate","ZCTA5 40229!!Percent!!Margin of Error","ZCTA5 40229!!Male!!Estimate","ZCTA5 40229!!Male!!Margin of Error","ZCTA5 40229!!Percent Male!!Estimate","ZCTA5 40229!!Percent Male!!Margin of Error","ZCTA5 40229!!Female!!Estimate","ZCTA5 40229!!Female!!Margin of Error","ZCTA5 40229!!Percent Female!!Estimate","ZCTA5 40229!!Percent Female!!Margin of Error"
"Total population","40,015","±2,538","(X)","(X)","19,932","±1,387","(X)","(X)","20,083","±1,390","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,825","±424","7.1%","±1.1","1,369","±310","6.9%","±1.6","1,456","±292","7.2%","±1.4"
"        5 to 9 years","1,897","±395","4.7%","±0.9","680","±193","3.4%","±1.0","1,217","±289","6.1%","±1.4"
"        10 to 14 years","3,021","±725","7.5%","±1.5","1,722","±603","8.6%","±2.7","1,299","±373","6.5%","±1.7"
"        15 to 19 years","2,041","±451","5.1%","±1.0","917","±274","4.6%","±1.3","1,124","±366","5.6%","±1.7"
"        20 to 24 years","2,240","±422","5.6%","±1.0","1,226","±306","6.2%","±1.5","1,014","±250","5.0%","±1.2"
"        25 to 29 years","3,329","±501","8.3%","±1.3","1,607","±366","8.1%","±1.8","1,722","±315","8.6%","±1.6"
"        30 to 34 years","3,753","±746","9.4%","±1.7","1,883","±411","9.4%","±2.1","1,870","±557","9.3%","±2.5"
"        35 to 39 years","3,666","±760","9.2%","±1.6","2,100","±515","10.5%","±2.2","1,566","±409","7.8%","±2.0"
"        40 to 44 years","2,315","±451","5.8%","±1.1","1,370","±400","6.9%","±2.0","945","±232","4.7%","±1.1"
"        45 to 49 years","2,945","±519","7.4%","±1.3","1,425","±427","7.1%","±2.2","1,520","±256","7.6%","±1.3"
"        50 to 54 years","2,665","±452","6.7%","±1.1","1,340","±268","6.7%","±1.4","1,325","±365","6.6%","±1.8"
"        55 to 59 years","2,365","±443","5.9%","±1.1","1,144","±290","5.7%","±1.4","1,221","±270","6.1%","±1.4"
"        60 to 64 years","1,747","±256","4.4%","±0.6","794","±164","4.0%","±0.8","953","±198","4.7%","±1.0"
"        65 to 69 years","2,009","±470","5.0%","±1.1","900","±276","4.5%","±1.3","1,109","±272","5.5%","±1.3"
"        70 to 74 years","1,668","±348","4.2%","±0.8","761","±210","3.8%","±1.1","907","±258","4.5%","±1.3"
"        75 to 79 years","852","±226","2.1%","±0.6","431","±185","2.2%","±0.9","421","±121","2.1%","±0.6"
"        80 to 84 years","515","±158","1.3%","±0.4","191","±85","1.0%","±0.4","324","±129","1.6%","±0.6"
"        85 years and over","162","±63","0.4%","±0.2","72","±37","0.4%","±0.2","90","±42","0.4%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","4,918","±865","12.3%","±1.7","2,402","±616","12.1%","±2.6","2,516","±459","12.5%","±1.9"
"        15 to 17 years","1,606","±418","4.0%","±0.9","714","±256","3.6%","±1.2","892","±337","4.4%","±1.5"
"        Under 18 years","9,349","±1,222","23.4%","±2.1","4,485","±739","22.5%","±2.9","4,864","±650","24.2%","±2.1"
"        18 to 24 years","2,675","±434","6.7%","±1.0","1,429","±310","7.2%","±1.5","1,246","±271","6.2%","±1.3"
"        15 to 44 years","17,344","±1,548","43.3%","±2.0","9,103","±861","45.7%","±2.6","8,241","±941","41.0%","±2.8"
"        16 years and over","31,877","±1,954","79.7%","±1.8","15,966","±1,087","80.1%","±2.7","15,911","±1,100","79.2%","±2.2"
"        18 years and over","30,666","±1,769","76.6%","±2.1","15,447","±1,055","77.5%","±2.9","15,219","±946","75.8%","±2.1"
"        21 years and over","29,677","±1,781","74.2%","±2.2","14,875","±1,063","74.6%","±3.0","14,802","±927","73.7%","±2.2"
"        60 years and over","6,953","±694","17.4%","±1.7","3,149","±427","15.8%","±2.0","3,804","±446","18.9%","±2.2"
"        62 years and over","6,022","±699","15.0%","±1.7","2,737","±412","13.7%","±2.0","3,285","±441","16.4%","±2.2"
"        65 years and over","5,206","±640","13.0%","±1.5","2,355","±379","11.8%","±1.8","2,851","±410","14.2%","±2.0"
"        75 years and over","1,529","±300","3.8%","±0.8","694","±203","3.5%","±1.0","835","±195","4.2%","±1.0"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","36.3","±1.8","(X)","(X)","36.6","±1.8","(X)","(X)","36.0","±2.1","(X)","(X)"
"        Sex ratio (males per 100 females)","99.2","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","57.2","±5.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.4","±2.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.7","±4.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
