"Label (Grouping)","ZCTA5 40206!!Total!!Estimate","ZCTA5 40206!!Total!!Margin of Error","ZCTA5 40206!!Percent!!Estimate","ZCTA5 40206!!Percent!!Margin of Error","ZCTA5 40206!!Male!!Estimate","ZCTA5 40206!!Male!!Margin of Error","ZCTA5 40206!!Percent Male!!Estimate","ZCTA5 40206!!Percent Male!!Margin of Error","ZCTA5 40206!!Female!!Estimate","ZCTA5 40206!!Female!!Margin of Error","ZCTA5 40206!!Percent Female!!Estimate","ZCTA5 40206!!Percent Female!!Margin of Error"
"Total population","20,345","±1,176","(X)","(X)","10,198","±693","(X)","(X)","10,147","±761","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","923","±290","4.5%","±1.3","498","±175","4.9%","±1.7","425","±210","4.2%","±2.0"
"        5 to 9 years","710","±225","3.5%","±1.1","435","±198","4.3%","±1.8","275","±102","2.7%","±1.0"
"        10 to 14 years","943","±323","4.6%","±1.5","424","±159","4.2%","±1.5","519","±213","5.1%","±1.9"
"        15 to 19 years","743","±209","3.7%","±1.0","346","±134","3.4%","±1.2","397","±145","3.9%","±1.4"
"        20 to 24 years","1,282","±304","6.3%","±1.4","633","±194","6.2%","±1.8","649","±240","6.4%","±2.3"
"        25 to 29 years","1,973","±353","9.7%","±1.6","1,073","±243","10.5%","±2.3","900","±206","8.9%","±1.9"
"        30 to 34 years","2,283","±508","11.2%","±2.4","1,073","±260","10.5%","±2.6","1,210","±339","11.9%","±3.1"
"        35 to 39 years","1,858","±334","9.1%","±1.6","902","±197","8.8%","±1.9","956","±226","9.4%","±2.2"
"        40 to 44 years","1,229","±254","6.0%","±1.2","664","±184","6.5%","±1.7","565","±177","5.6%","±1.8"
"        45 to 49 years","1,369","±320","6.7%","±1.5","737","±203","7.2%","±2.0","632","±239","6.2%","±2.2"
"        50 to 54 years","1,237","±273","6.1%","±1.3","640","±190","6.3%","±1.8","597","±189","5.9%","±1.9"
"        55 to 59 years","1,085","±288","5.3%","±1.4","618","±208","6.1%","±2.0","467","±157","4.6%","±1.5"
"        60 to 64 years","1,363","±257","6.7%","±1.3","479","±127","4.7%","±1.2","884","±201","8.7%","±2.1"
"        65 to 69 years","1,295","±276","6.4%","±1.3","777","±236","7.6%","±2.2","518","±134","5.1%","±1.5"
"        70 to 74 years","970","±258","4.8%","±1.3","441","±192","4.3%","±1.9","529","±150","5.2%","±1.4"
"        75 to 79 years","636","±159","3.1%","±0.8","329","±112","3.2%","±1.1","307","±97","3.0%","±1.0"
"        80 to 84 years","202","±74","1.0%","±0.4","74","±44","0.7%","±0.4","128","±57","1.3%","±0.6"
"        85 years and over","244","±101","1.2%","±0.5","55","±34","0.5%","±0.3","189","±99","1.9%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,653","±412","8.1%","±1.8","859","±252","8.4%","±2.2","794","±246","7.8%","±2.2"
"        15 to 17 years","464","±142","2.3%","±0.7","226","±82","2.2%","±0.8","238","±110","2.3%","±1.1"
"        Under 18 years","3,040","±545","14.9%","±2.2","1,583","±334","15.5%","±2.8","1,457","±383","14.4%","±3.3"
"        18 to 24 years","1,561","±357","7.7%","±1.6","753","±235","7.4%","±2.2","808","±257","8.0%","±2.4"
"        15 to 44 years","9,368","±806","46.0%","±2.8","4,691","±473","46.0%","±3.5","4,677","±491","46.1%","±3.3"
"        16 years and over","17,625","±943","86.6%","±2.3","8,776","±586","86.1%","±2.7","8,849","±620","87.2%","±3.2"
"        18 years and over","17,305","±941","85.1%","±2.2","8,615","±577","84.5%","±2.8","8,690","±634","85.6%","±3.3"
"        21 years and over","16,880","±874","83.0%","±2.3","8,412","±550","82.5%","±2.9","8,468","±619","83.5%","±3.4"
"        60 years and over","4,710","±421","23.2%","±2.1","2,155","±316","21.1%","±2.8","2,555","±260","25.2%","±2.9"
"        62 years and over","4,161","±384","20.5%","±1.9","1,967","±304","19.3%","±2.7","2,194","±214","21.6%","±2.3"
"        65 years and over","3,347","±380","16.5%","±1.9","1,676","±294","16.4%","±2.7","1,671","±206","16.5%","±2.2"
"        75 years and over","1,082","±217","5.3%","±1.1","458","±120","4.5%","±1.2","624","±156","6.1%","±1.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.7","±1.4","(X)","(X)","38.8","±1.8","(X)","(X)","38.6","±2.1","(X)","(X)"
"        Sex ratio (males per 100 females)","100.5","±8.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","45.8","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","24.0","±3.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","21.8","±4.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
