"Label (Grouping)","ZCTA5 40218!!Total!!Estimate","ZCTA5 40218!!Total!!Margin of Error","ZCTA5 40218!!Percent!!Estimate","ZCTA5 40218!!Percent!!Margin of Error","ZCTA5 40218!!Male!!Estimate","ZCTA5 40218!!Male!!Margin of Error","ZCTA5 40218!!Percent Male!!Estimate","ZCTA5 40218!!Percent Male!!Margin of Error","ZCTA5 40218!!Female!!Estimate","ZCTA5 40218!!Female!!Margin of Error","ZCTA5 40218!!Percent Female!!Estimate","ZCTA5 40218!!Percent Female!!Margin of Error"
"Total population","33,292","±2,035","(X)","(X)","16,539","±1,351","(X)","(X)","16,753","±1,174","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,639","±539","7.9%","±1.5","1,623","±449","9.8%","±2.6","1,016","±268","6.1%","±1.5"
"        5 to 9 years","1,767","±384","5.3%","±1.1","832","±260","5.0%","±1.5","935","±348","5.6%","±1.9"
"        10 to 14 years","2,776","±515","8.3%","±1.4","1,446","±377","8.7%","±2.1","1,330","±334","7.9%","±1.8"
"        15 to 19 years","2,055","±577","6.2%","±1.6","1,179","±420","7.1%","±2.3","876","±335","5.2%","±1.9"
"        20 to 24 years","2,247","±533","6.7%","±1.6","1,145","±392","6.9%","±2.3","1,102","±328","6.6%","±1.9"
"        25 to 29 years","2,799","±613","8.4%","±1.8","1,442","±445","8.7%","±2.6","1,357","±369","8.1%","±2.1"
"        30 to 34 years","3,024","±513","9.1%","±1.6","1,473","±359","8.9%","±2.2","1,551","±288","9.3%","±1.6"
"        35 to 39 years","2,120","±440","6.4%","±1.2","1,011","±305","6.1%","±1.8","1,109","±301","6.6%","±1.8"
"        40 to 44 years","2,408","±727","7.2%","±2.1","1,311","±441","7.9%","±2.5","1,097","±389","6.5%","±2.3"
"        45 to 49 years","1,928","±525","5.8%","±1.5","732","±283","4.4%","±1.6","1,196","±358","7.1%","±2.1"
"        50 to 54 years","1,847","±502","5.5%","±1.5","914","±258","5.5%","±1.5","933","±341","5.6%","±2.0"
"        55 to 59 years","1,979","±428","5.9%","±1.4","1,107","±347","6.7%","±2.1","872","±235","5.2%","±1.5"
"        60 to 64 years","1,365","±319","4.1%","±1.0","536","±167","3.2%","±1.0","829","±256","4.9%","±1.5"
"        65 to 69 years","1,565","±326","4.7%","±1.0","599","±224","3.6%","±1.4","966","±226","5.8%","±1.3"
"        70 to 74 years","1,081","±251","3.2%","±0.7","455","±143","2.8%","±0.9","626","±215","3.7%","±1.2"
"        75 to 79 years","851","±260","2.6%","±0.8","363","±133","2.2%","±0.8","488","±169","2.9%","±1.0"
"        80 to 84 years","300","±124","0.9%","±0.4","147","±79","0.9%","±0.5","153","±77","0.9%","±0.4"
"        85 years and over","541","±224","1.6%","±0.7","224","±167","1.4%","±1.0","317","±160","1.9%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","4,543","±683","13.6%","±1.7","2,278","±506","13.8%","±2.8","2,265","±545","13.5%","±2.7"
"        15 to 17 years","1,251","±422","3.8%","±1.2","731","±269","4.4%","±1.5","520","±222","3.1%","±1.3"
"        Under 18 years","8,433","±986","25.3%","±2.1","4,632","±717","28.0%","±3.4","3,801","±667","22.7%","±3.0"
"        18 to 24 years","3,051","±628","9.2%","±1.8","1,593","±453","9.6%","±2.5","1,458","±371","8.7%","±2.2"
"        15 to 44 years","14,653","±1,236","44.0%","±2.2","7,561","±948","45.7%","±3.8","7,092","±653","42.3%","±2.7"
"        16 years and over","25,815","±1,535","77.5%","±2.0","12,432","±1,104","75.2%","±3.4","13,383","±841","79.9%","±2.9"
"        18 years and over","24,859","±1,448","74.7%","±2.1","11,907","±1,057","72.0%","±3.4","12,952","±808","77.3%","±3.0"
"        21 years and over","23,738","±1,385","71.3%","±2.2","11,339","±1,004","68.6%","±3.6","12,399","±765","74.0%","±3.0"
"        60 years and over","5,703","±569","17.1%","±1.6","2,324","±356","14.1%","±2.1","3,379","±385","20.2%","±2.2"
"        62 years and over","5,149","±511","15.5%","±1.5","2,221","±344","13.4%","±2.0","2,928","±336","17.5%","±1.9"
"        65 years and over","4,338","±477","13.0%","±1.4","1,788","±290","10.8%","±1.7","2,550","±356","15.2%","±2.0"
"        75 years and over","1,692","±318","5.1%","±1.0","734","±227","4.4%","±1.4","958","±194","5.7%","±1.2"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","33.5","±1.0","(X)","(X)","32.1","±1.4","(X)","(X)","35.9","±2.6","(X)","(X)"
"        Sex ratio (males per 100 females)","98.7","±8.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","62.2","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.1","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.1","±4.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
