"Label (Grouping)","ZCTA5 40118!!Total!!Estimate","ZCTA5 40118!!Total!!Margin of Error","ZCTA5 40118!!Percent!!Estimate","ZCTA5 40118!!Percent!!Margin of Error","ZCTA5 40118!!Male!!Estimate","ZCTA5 40118!!Male!!Margin of Error","ZCTA5 40118!!Percent Male!!Estimate","ZCTA5 40118!!Percent Male!!Margin of Error","ZCTA5 40118!!Female!!Estimate","ZCTA5 40118!!Female!!Margin of Error","ZCTA5 40118!!Percent Female!!Estimate","ZCTA5 40118!!Percent Female!!Margin of Error"
"Total population","9,903","±969","(X)","(X)","5,214","±610","(X)","(X)","4,689","±492","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","986","±300","10.0%","±2.6","528","±231","10.1%","±3.9","458","±249","9.8%","±5.0"
"        5 to 9 years","509","±231","5.1%","±2.3","383","±169","7.3%","±3.2","126","±90","2.7%","±1.8"
"        10 to 14 years","159","±91","1.6%","±1.0","120","±78","2.3%","±1.5","39","±37","0.8%","±0.8"
"        15 to 19 years","755","±197","7.6%","±2.0","464","±187","8.9%","±3.5","291","±92","6.2%","±2.0"
"        20 to 24 years","918","±431","9.3%","±3.8","489","±325","9.4%","±5.6","429","±226","9.1%","±4.4"
"        25 to 29 years","537","±218","5.4%","±2.2","183","±96","3.5%","±1.8","354","±189","7.5%","±4.2"
"        30 to 34 years","546","±184","5.5%","±1.8","240","±119","4.6%","±2.2","306","±137","6.5%","±2.8"
"        35 to 39 years","1,076","±243","10.9%","±2.9","652","±152","12.5%","±3.5","424","±130","9.0%","±3.0"
"        40 to 44 years","477","±136","4.8%","±1.3","169","±80","3.2%","±1.4","308","±113","6.6%","±2.5"
"        45 to 49 years","608","±215","6.1%","±2.1","407","±196","7.8%","±3.6","201","±86","4.3%","±1.7"
"        50 to 54 years","868","±357","8.8%","±3.0","410","±189","7.9%","±3.4","458","±285","9.8%","±5.7"
"        55 to 59 years","308","±99","3.1%","±1.0","109","±61","2.1%","±1.2","199","±67","4.2%","±1.5"
"        60 to 64 years","533","±148","5.4%","±1.6","303","±123","5.8%","±2.5","230","±68","4.9%","±1.5"
"        65 to 69 years","692","±276","7.0%","±2.8","259","±106","5.0%","±2.0","433","±245","9.2%","±5.1"
"        70 to 74 years","399","±143","4.0%","±1.4","225","±93","4.3%","±1.8","174","±112","3.7%","±2.4"
"        75 to 79 years","246","±86","2.5%","±1.0","57","±31","1.1%","±0.6","189","±74","4.0%","±1.7"
"        80 to 84 years","210","±155","2.1%","±1.6","182","±152","3.5%","±2.9","28","±25","0.6%","±0.5"
"        85 years and over","76","±54","0.8%","±0.5","34","±37","0.7%","±0.7","42","±40","0.9%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","668","±239","6.7%","±2.4","503","±175","9.6%","±3.5","165","±95","3.5%","±2.0"
"        15 to 17 years","494","±135","5.0%","±1.4","287","±117","5.5%","±2.2","207","±72","4.4%","±1.5"
"        Under 18 years","2,148","±365","21.7%","±2.9","1,318","±306","25.3%","±5.0","830","±272","17.7%","±5.1"
"        18 to 24 years","1,179","±430","11.9%","±3.6","666","±355","12.8%","±5.9","513","±228","10.9%","±4.5"
"        15 to 44 years","4,309","±488","43.5%","±3.4","2,197","±434","42.1%","±6.3","2,112","±277","45.0%","±5.6"
"        16 years and over","8,039","±811","81.2%","±2.9","4,068","±524","78.0%","±5.0","3,971","±436","84.7%","±4.9"
"        18 years and over","7,755","±800","78.3%","±2.9","3,896","±518","74.7%","±5.0","3,859","±422","82.3%","±5.1"
"        21 years and over","7,315","±789","73.9%","±3.2","3,608","±505","69.2%","±5.4","3,707","±411","79.1%","±4.9"
"        60 years and over","2,156","±359","21.8%","±3.9","1,060","±208","20.3%","±4.1","1,096","±284","23.4%","±5.9"
"        62 years and over","1,919","±343","19.4%","±3.7","908","±185","17.4%","±3.6","1,011","±289","21.6%","±6.0"
"        65 years and over","1,623","±324","16.4%","±3.4","757","±183","14.5%","±3.4","866","±266","18.5%","±5.5"
"        75 years and over","532","±177","5.4%","±1.9","273","±158","5.2%","±3.1","259","±73","5.5%","±1.7"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.1","±1.6","(X)","(X)","36.2","±1.6","(X)","(X)","38.3","±4.2","(X)","(X)"
"        Sex ratio (males per 100 females)","111.2","±12.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","61.5","±9.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","26.5","±6.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.0","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
