"Label (Grouping)","ZCTA5 40291!!Total!!Estimate","ZCTA5 40291!!Total!!Margin of Error","ZCTA5 40291!!Percent!!Estimate","ZCTA5 40291!!Percent!!Margin of Error","ZCTA5 40291!!Male!!Estimate","ZCTA5 40291!!Male!!Margin of Error","ZCTA5 40291!!Percent Male!!Estimate","ZCTA5 40291!!Percent Male!!Margin of Error","ZCTA5 40291!!Female!!Estimate","ZCTA5 40291!!Female!!Margin of Error","ZCTA5 40291!!Percent Female!!Estimate","ZCTA5 40291!!Percent Female!!Margin of Error"
"Total population","41,506","±2,118","(X)","(X)","19,359","±1,214","(X)","(X)","22,147","±1,357","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","3,569","±761","8.6%","±1.7","1,614","±478","8.3%","±2.3","1,955","±632","8.8%","±2.6"
"        5 to 9 years","2,379","±522","5.7%","±1.2","1,005","±232","5.2%","±1.1","1,374","±437","6.2%","±1.9"
"        10 to 14 years","2,638","±426","6.4%","±0.9","1,237","±312","6.4%","±1.5","1,401","±324","6.3%","±1.4"
"        15 to 19 years","2,250","±431","5.4%","±1.0","1,175","±272","6.1%","±1.3","1,075","±312","4.9%","±1.4"
"        20 to 24 years","2,382","±559","5.7%","±1.3","1,217","±348","6.3%","±1.7","1,165","±357","5.3%","±1.6"
"        25 to 29 years","2,074","±447","5.0%","±1.1","1,063","±312","5.5%","±1.5","1,011","±302","4.6%","±1.3"
"        30 to 34 years","3,316","±691","8.0%","±1.5","1,547","±432","8.0%","±2.1","1,769","±388","8.0%","±1.6"
"        35 to 39 years","2,620","±462","6.3%","±1.1","1,397","±253","7.2%","±1.4","1,223","±298","5.5%","±1.3"
"        40 to 44 years","2,559","±437","6.2%","±1.0","1,023","±248","5.3%","±1.3","1,536","±356","6.9%","±1.6"
"        45 to 49 years","1,866","±345","4.5%","±0.8","853","±218","4.4%","±1.1","1,013","±239","4.6%","±1.1"
"        50 to 54 years","3,220","±679","7.8%","±1.6","1,529","±412","7.9%","±2.0","1,691","±386","7.6%","±1.7"
"        55 to 59 years","2,727","±392","6.6%","±1.0","1,456","±307","7.5%","±1.6","1,271","±267","5.7%","±1.3"
"        60 to 64 years","2,668","±476","6.4%","±1.1","1,051","±278","5.4%","±1.5","1,617","±335","7.3%","±1.4"
"        65 to 69 years","2,431","±403","5.9%","±0.9","1,137","±243","5.9%","±1.3","1,294","±304","5.8%","±1.3"
"        70 to 74 years","1,870","±335","4.5%","±0.8","875","±221","4.5%","±1.2","995","±215","4.5%","±1.1"
"        75 to 79 years","1,485","±303","3.6%","±0.7","577","±162","3.0%","±0.8","908","±236","4.1%","±1.0"
"        80 to 84 years","917","±233","2.2%","±0.6","379","±122","2.0%","±0.7","538","±185","2.4%","±0.8"
"        85 years and over","535","±138","1.3%","±0.3","224","±89","1.2%","±0.4","311","±91","1.4%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","5,017","±720","12.1%","±1.5","2,242","±413","11.6%","±1.8","2,775","±532","12.5%","±2.2"
"        15 to 17 years","1,406","±272","3.4%","±0.7","719","±214","3.7%","±1.1","687","±196","3.1%","±0.9"
"        Under 18 years","9,992","±1,139","24.1%","±2.2","4,575","±731","23.6%","±3.0","5,417","±801","24.5%","±2.9"
"        18 to 24 years","3,226","±577","7.8%","±1.3","1,673","±413","8.6%","±2.0","1,553","±358","7.0%","±1.6"
"        15 to 44 years","15,201","±1,109","36.6%","±1.8","7,422","±728","38.3%","±2.9","7,779","±666","35.1%","±2.2"
"        16 years and over","32,381","±1,668","78.0%","±2.2","15,225","±922","78.6%","±3.0","17,156","±1,019","77.5%","±3.0"
"        18 years and over","31,514","±1,663","75.9%","±2.2","14,784","±914","76.4%","±3.0","16,730","±1,020","75.5%","±2.9"
"        21 years and over","30,026","±1,559","72.3%","±2.2","13,968","±823","72.2%","±3.1","16,058","±989","72.5%","±2.8"
"        60 years and over","9,906","±903","23.9%","±2.0","4,243","±424","21.9%","±2.4","5,663","±668","25.6%","±2.8"
"        62 years and over","8,857","±775","21.3%","±1.8","3,700","±368","19.1%","±2.0","5,157","±616","23.3%","±2.6"
"        65 years and over","7,238","±614","17.4%","±1.4","3,192","±314","16.5%","±1.7","4,046","±451","18.3%","±2.0"
"        75 years and over","2,937","±451","7.1%","±1.1","1,180","±214","6.1%","±1.1","1,757","±313","7.9%","±1.4"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.2","±2.1","(X)","(X)","37.7","±2.1","(X)","(X)","40.5","±3.0","(X)","(X)"
"        Sex ratio (males per 100 females)","87.4","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","71.0","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","29.8","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","41.2","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
