"Label (Grouping)","ZCTA5 40214!!Total!!Estimate","ZCTA5 40214!!Total!!Margin of Error","ZCTA5 40214!!Percent!!Estimate","ZCTA5 40214!!Percent!!Margin of Error","ZCTA5 40214!!Male!!Estimate","ZCTA5 40214!!Male!!Margin of Error","ZCTA5 40214!!Percent Male!!Estimate","ZCTA5 40214!!Percent Male!!Margin of Error","ZCTA5 40214!!Female!!Estimate","ZCTA5 40214!!Female!!Margin of Error","ZCTA5 40214!!Percent Female!!Estimate","ZCTA5 40214!!Percent Female!!Margin of Error"
"Total population","45,986","±2,196","(X)","(X)","22,852","±1,440","(X)","(X)","23,134","±1,289","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","3,428","±634","7.5%","±1.3","1,723","±527","7.5%","±2.2","1,705","±407","7.4%","±1.6"
"        5 to 9 years","2,956","±470","6.4%","±1.0","1,411","±249","6.2%","±1.1","1,545","±378","6.7%","±1.5"
"        10 to 14 years","2,878","±475","6.3%","±0.9","1,417","±323","6.2%","±1.3","1,461","±337","6.3%","±1.4"
"        15 to 19 years","3,314","±548","7.2%","±1.1","1,450","±377","6.3%","±1.6","1,864","±439","8.1%","±1.8"
"        20 to 24 years","3,017","±562","6.6%","±1.1","1,782","±452","7.8%","±1.8","1,235","±310","5.3%","±1.3"
"        25 to 29 years","3,805","±590","8.3%","±1.2","2,034","±471","8.9%","±1.9","1,771","±312","7.7%","±1.4"
"        30 to 34 years","3,214","±549","7.0%","±1.2","1,556","±355","6.8%","±1.5","1,658","±357","7.2%","±1.5"
"        35 to 39 years","2,873","±597","6.2%","±1.3","1,530","±402","6.7%","±1.8","1,343","±341","5.8%","±1.5"
"        40 to 44 years","2,591","±589","5.6%","±1.2","1,488","±446","6.5%","±1.8","1,103","±302","4.8%","±1.3"
"        45 to 49 years","3,560","±642","7.7%","±1.4","1,882","±475","8.2%","±2.0","1,678","±381","7.3%","±1.6"
"        50 to 54 years","2,656","±480","5.8%","±0.9","1,339","±284","5.9%","±1.2","1,317","±304","5.7%","±1.2"
"        55 to 59 years","2,606","±411","5.7%","±0.9","1,222","±322","5.3%","±1.4","1,384","±265","6.0%","±1.1"
"        60 to 64 years","3,088","±509","6.7%","±1.1","1,433","±310","6.3%","±1.3","1,655","±322","7.2%","±1.4"
"        65 to 69 years","2,399","±414","5.2%","±0.9","992","±300","4.3%","±1.4","1,407","±268","6.1%","±1.2"
"        70 to 74 years","1,615","±236","3.5%","±0.5","807","±151","3.5%","±0.7","808","±158","3.5%","±0.7"
"        75 to 79 years","1,081","±253","2.4%","±0.6","538","±158","2.4%","±0.7","543","±166","2.3%","±0.7"
"        80 to 84 years","463","±120","1.0%","±0.3","161","±76","0.7%","±0.3","302","±92","1.3%","±0.4"
"        85 years and over","442","±137","1.0%","±0.3","87","±77","0.4%","±0.3","355","±113","1.5%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","5,834","±681","12.7%","±1.2","2,828","±442","12.4%","±1.8","3,006","±448","13.0%","±1.6"
"        15 to 17 years","2,106","±393","4.6%","±0.8","929","±259","4.1%","±1.1","1,177","±316","5.1%","±1.3"
"        Under 18 years","11,368","±1,066","24.7%","±1.7","5,480","±747","24.0%","±2.7","5,888","±717","25.5%","±2.1"
"        18 to 24 years","4,225","±671","9.2%","±1.3","2,303","±566","10.1%","±2.3","1,922","±319","8.3%","±1.3"
"        15 to 44 years","18,814","±1,343","40.9%","±1.8","9,840","±1,033","43.1%","±3.1","8,974","±666","38.8%","±2.0"
"        16 years and over","35,891","±1,714","78.0%","±1.9","17,971","±1,237","78.6%","±2.8","17,920","±931","77.5%","±2.1"
"        18 years and over","34,618","±1,624","75.3%","±1.7","17,372","±1,200","76.0%","±2.7","17,246","±837","74.5%","±2.1"
"        21 years and over","32,989","±1,524","71.7%","±1.8","16,673","±1,134","73.0%","±2.9","16,316","±807","70.5%","±2.1"
"        60 years and over","9,088","±613","19.8%","±1.5","4,018","±408","17.6%","±1.9","5,070","±394","21.9%","±1.9"
"        62 years and over","7,520","±518","16.4%","±1.3","3,214","±386","14.1%","±1.8","4,306","±301","18.6%","±1.4"
"        65 years and over","6,000","±458","13.0%","±1.2","2,585","±345","11.3%","±1.7","3,415","±278","14.8%","±1.3"
"        75 years and over","1,986","±317","4.3%","±0.7","786","±197","3.4%","±0.9","1,200","±207","5.2%","±0.9"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","35.6","±1.6","(X)","(X)","35.2","±2.1","(X)","(X)","35.8","±1.5","(X)","(X)"
"        Sex ratio (males per 100 females)","98.8","±7.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","60.7","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.0","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.7","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
