"Label (Grouping)","ZCTA5 40220!!Total!!Estimate","ZCTA5 40220!!Total!!Margin of Error","ZCTA5 40220!!Percent!!Estimate","ZCTA5 40220!!Percent!!Margin of Error","ZCTA5 40220!!Male!!Estimate","ZCTA5 40220!!Male!!Margin of Error","ZCTA5 40220!!Percent Male!!Estimate","ZCTA5 40220!!Percent Male!!Margin of Error","ZCTA5 40220!!Female!!Estimate","ZCTA5 40220!!Female!!Margin of Error","ZCTA5 40220!!Percent Female!!Estimate","ZCTA5 40220!!Percent Female!!Margin of Error"
"Total population","33,893","±1,957","(X)","(X)","16,067","±1,068","(X)","(X)","17,826","±1,169","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,333","±411","6.9%","±1.2","974","±198","6.1%","±1.2","1,359","±358","7.6%","±1.9"
"        5 to 9 years","2,124","±417","6.3%","±1.1","1,151","±351","7.2%","±2.0","973","±266","5.5%","±1.4"
"        10 to 14 years","1,324","±291","3.9%","±0.8","704","±197","4.4%","±1.2","620","±175","3.5%","±0.9"
"        15 to 19 years","1,294","±325","3.8%","±0.9","694","±211","4.3%","±1.3","600","±248","3.4%","±1.3"
"        20 to 24 years","1,334","±279","3.9%","±0.8","739","±200","4.6%","±1.2","595","±187","3.3%","±1.1"
"        25 to 29 years","3,641","±771","10.7%","±2.1","1,870","±496","11.6%","±2.8","1,771","±453","9.9%","±2.5"
"        30 to 34 years","3,025","±659","8.9%","±1.8","1,582","±354","9.8%","±2.1","1,443","±386","8.1%","±2.0"
"        35 to 39 years","2,152","±435","6.3%","±1.2","1,047","±267","6.5%","±1.6","1,105","±254","6.2%","±1.4"
"        40 to 44 years","1,492","±277","4.4%","±0.8","885","±197","5.5%","±1.2","607","±154","3.4%","±0.9"
"        45 to 49 years","1,988","±380","5.9%","±1.1","878","±213","5.5%","±1.3","1,110","±282","6.2%","±1.6"
"        50 to 54 years","1,741","±340","5.1%","±1.0","946","±210","5.9%","±1.2","795","±217","4.5%","±1.2"
"        55 to 59 years","2,020","±408","6.0%","±1.1","694","±164","4.3%","±1.0","1,326","±335","7.4%","±1.8"
"        60 to 64 years","2,406","±536","7.1%","±1.5","1,115","±341","6.9%","±2.0","1,291","±299","7.2%","±1.6"
"        65 to 69 years","2,299","±377","6.8%","±1.0","1,114","±197","6.9%","±1.2","1,185","±325","6.6%","±1.6"
"        70 to 74 years","1,618","±287","4.8%","±0.9","650","±196","4.0%","±1.3","968","±208","5.4%","±1.2"
"        75 to 79 years","1,293","±270","3.8%","±0.9","475","±118","3.0%","±0.8","818","±210","4.6%","±1.3"
"        80 to 84 years","808","±249","2.4%","±0.7","293","±137","1.8%","±0.9","515","±166","2.9%","±0.9"
"        85 years and over","1,001","±292","3.0%","±0.8","256","±97","1.6%","±0.6","745","±266","4.2%","±1.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,448","±554","10.2%","±1.3","1,855","±391","11.5%","±2.1","1,593","±355","8.9%","±1.8"
"        15 to 17 years","783","±236","2.3%","±0.7","403","±143","2.5%","±0.9","380","±208","2.1%","±1.1"
"        Under 18 years","6,564","±821","19.4%","±1.8","3,232","±477","20.1%","±2.5","3,332","±595","18.7%","±2.7"
"        18 to 24 years","1,845","±369","5.4%","±1.1","1,030","±256","6.4%","±1.6","815","±235","4.6%","±1.4"
"        15 to 44 years","12,938","±1,116","38.2%","±2.2","6,817","±706","42.4%","±3.1","6,121","±682","34.3%","±3.0"
"        16 years and over","27,912","±1,553","82.4%","±1.8","13,191","±910","82.1%","±2.5","14,721","±934","82.6%","±2.6"
"        18 years and over","27,329","±1,521","80.6%","±1.8","12,835","±889","79.9%","±2.5","14,494","±906","81.3%","±2.7"
"        21 years and over","26,506","±1,505","78.2%","±1.9","12,372","±869","77.0%","±2.6","14,134","±917","79.3%","±2.7"
"        60 years and over","9,425","±832","27.8%","±2.2","3,903","±403","24.3%","±2.2","5,522","±671","31.0%","±3.3"
"        62 years and over","8,585","±862","25.3%","±2.3","3,541","±436","22.0%","±2.5","5,044","±675","28.3%","±3.3"
"        65 years and over","7,019","±658","20.7%","±2.0","2,788","±300","17.4%","±2.1","4,231","±601","23.7%","±3.0"
"        75 years and over","3,102","±457","9.2%","±1.4","1,024","±189","6.4%","±1.3","2,078","±353","11.7%","±1.9"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.2","±2.4","(X)","(X)","36.6","±2.1","(X)","(X)","43.7","±5.8","(X)","(X)"
"        Sex ratio (males per 100 females)","90.1","±5.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","66.9","±6.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","34.6","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.3","±4.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
