"Label (Grouping)","ZCTA5 40258!!Total!!Estimate","ZCTA5 40258!!Total!!Margin of Error","ZCTA5 40258!!Percent!!Estimate","ZCTA5 40258!!Percent!!Margin of Error","ZCTA5 40258!!Male!!Estimate","ZCTA5 40258!!Male!!Margin of Error","ZCTA5 40258!!Percent Male!!Estimate","ZCTA5 40258!!Percent Male!!Margin of Error","ZCTA5 40258!!Female!!Estimate","ZCTA5 40258!!Female!!Margin of Error","ZCTA5 40258!!Percent Female!!Estimate","ZCTA5 40258!!Percent Female!!Margin of Error"
"Total population","26,590","±2,307","(X)","(X)","13,180","±1,060","(X)","(X)","13,410","±1,621","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,269","±361","4.8%","±1.3","519","±184","3.9%","±1.3","750","±256","5.6%","±1.9"
"        5 to 9 years","1,566","±377","5.9%","±1.2","734","±230","5.6%","±1.6","832","±292","6.2%","±1.8"
"        10 to 14 years","1,744","±412","6.6%","±1.2","894","±357","6.8%","±2.5","850","±232","6.3%","±1.7"
"        15 to 19 years","1,790","±689","6.7%","±2.2","873","±360","6.6%","±2.7","917","±574","6.8%","±3.7"
"        20 to 24 years","1,872","±415","7.0%","±1.5","1,454","±389","11.0%","±2.7","418","±151","3.1%","±1.1"
"        25 to 29 years","1,614","±378","6.1%","±1.5","796","±237","6.0%","±1.8","818","±208","6.1%","±1.7"
"        30 to 34 years","1,283","±367","4.8%","±1.2","521","±137","4.0%","±1.1","762","±327","5.7%","±2.2"
"        35 to 39 years","1,572","±362","5.9%","±1.2","790","±227","6.0%","±1.6","782","±271","5.8%","±1.9"
"        40 to 44 years","1,995","±523","7.5%","±1.9","1,034","±352","7.8%","±2.6","961","±325","7.2%","±2.4"
"        45 to 49 years","2,082","±461","7.8%","±1.7","1,022","±317","7.8%","±2.2","1,060","±304","7.9%","±2.3"
"        50 to 54 years","1,365","±342","5.1%","±1.3","793","±243","6.0%","±1.8","572","±191","4.3%","±1.4"
"        55 to 59 years","2,296","±517","8.6%","±1.7","955","±239","7.2%","±1.9","1,341","±437","10.0%","±2.5"
"        60 to 64 years","1,874","±359","7.0%","±1.3","991","±253","7.5%","±1.9","883","±213","6.6%","±1.7"
"        65 to 69 years","1,664","±364","6.3%","±1.5","733","±208","5.6%","±1.6","931","±228","6.9%","±1.9"
"        70 to 74 years","1,054","±290","4.0%","±1.0","451","±163","3.4%","±1.2","603","±217","4.5%","±1.6"
"        75 to 79 years","703","±213","2.6%","±0.8","242","±108","1.8%","±0.8","461","±170","3.4%","±1.3"
"        80 to 84 years","275","±108","1.0%","±0.4","118","±71","0.9%","±0.5","157","±74","1.2%","±0.6"
"        85 years and over","572","±252","2.2%","±1.0","260","±202","2.0%","±1.6","312","±138","2.3%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,310","±703","12.4%","±2.0","1,628","±511","12.4%","±3.5","1,682","±379","12.5%","±2.2"
"        15 to 17 years","1,275","±516","4.8%","±1.7","706","±329","5.4%","±2.5","569","±385","4.2%","±2.5"
"        Under 18 years","5,854","±1,110","22.0%","±3.0","2,853","±602","21.6%","±3.8","3,001","±689","22.4%","±3.3"
"        18 to 24 years","2,387","±491","9.0%","±1.5","1,621","±407","12.3%","±2.8","766","±279","5.7%","±1.6"
"        15 to 44 years","10,126","±1,312","38.1%","±3.1","5,468","±677","41.5%","±4.1","4,658","±965","34.7%","±4.2"
"        16 years and over","21,424","±1,600","80.6%","±2.8","10,755","±879","81.6%","±3.5","10,669","±1,105","79.6%","±3.4"
"        18 years and over","20,736","±1,604","78.0%","±3.0","10,327","±858","78.4%","±3.8","10,409","±1,112","77.6%","±3.3"
"        21 years and over","19,967","±1,504","75.1%","±3.7","9,930","±866","75.3%","±4.4","10,037","±969","74.8%","±4.2"
"        60 years and over","6,142","±663","23.1%","±2.6","2,795","±407","21.2%","±2.8","3,347","±399","25.0%","±3.7"
"        62 years and over","5,174","±605","19.5%","±2.5","2,294","±374","17.4%","±2.6","2,880","±379","21.5%","±3.3"
"        65 years and over","4,268","±531","16.1%","±2.2","1,804","±325","13.7%","±2.3","2,464","±352","18.4%","±3.0"
"        75 years and over","1,550","±340","5.8%","±1.3","620","±221","4.7%","±1.7","930","±227","6.9%","±1.8"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","41.1","±1.9","(X)","(X)","40.0","±2.6","(X)","(X)","42.2","±2.9","(X)","(X)"
"        Sex ratio (males per 100 females)","98.3","±10.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","61.5","±7.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","25.9","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.5","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
