"Label (Grouping)","ZCTA5 40243!!Total!!Estimate","ZCTA5 40243!!Total!!Margin of Error","ZCTA5 40243!!Percent!!Estimate","ZCTA5 40243!!Percent!!Margin of Error","ZCTA5 40243!!Male!!Estimate","ZCTA5 40243!!Male!!Margin of Error","ZCTA5 40243!!Percent Male!!Estimate","ZCTA5 40243!!Percent Male!!Margin of Error","ZCTA5 40243!!Female!!Estimate","ZCTA5 40243!!Female!!Margin of Error","ZCTA5 40243!!Percent Female!!Estimate","ZCTA5 40243!!Percent Female!!Margin of Error"
"Total population","12,049","±664","(X)","(X)","5,569","±451","(X)","(X)","6,480","±471","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","411","±132","3.4%","±1.1","272","±121","4.9%","±2.2","139","±55","2.1%","±0.8"
"        5 to 9 years","612","±191","5.1%","±1.6","273","±115","4.9%","±2.0","339","±142","5.2%","±2.1"
"        10 to 14 years","897","±239","7.4%","±1.8","498","±214","8.9%","±3.5","399","±147","6.2%","±2.1"
"        15 to 19 years","513","±145","4.3%","±1.2","228","±103","4.1%","±1.8","285","±134","4.4%","±2.0"
"        20 to 24 years","594","±206","4.9%","±1.7","224","±99","4.0%","±1.7","370","±169","5.7%","±2.6"
"        25 to 29 years","997","±237","8.3%","±2.0","420","±125","7.5%","±2.3","577","±173","8.9%","±2.7"
"        30 to 34 years","561","±144","4.7%","±1.1","261","±104","4.7%","±1.8","300","±88","4.6%","±1.4"
"        35 to 39 years","463","±170","3.8%","±1.4","278","±137","5.0%","±2.4","185","±90","2.9%","±1.3"
"        40 to 44 years","653","±208","5.4%","±1.6","300","±128","5.4%","±2.3","353","±130","5.4%","±1.9"
"        45 to 49 years","738","±215","6.1%","±1.7","293","±106","5.3%","±1.8","445","±153","6.9%","±2.4"
"        50 to 54 years","703","±175","5.8%","±1.4","355","±117","6.4%","±2.0","348","±147","5.4%","±2.2"
"        55 to 59 years","942","±307","7.8%","±2.5","571","±230","10.3%","±4.3","371","±135","5.7%","±2.1"
"        60 to 64 years","887","±204","7.4%","±1.7","483","±141","8.7%","±2.6","404","±125","6.2%","±1.9"
"        65 to 69 years","765","±219","6.3%","±1.8","269","±84","4.8%","±1.5","496","±209","7.7%","±3.1"
"        70 to 74 years","631","±210","5.2%","±1.7","172","±86","3.1%","±1.5","459","±186","7.1%","±2.8"
"        75 to 79 years","454","±157","3.8%","±1.3","180","±124","3.2%","±2.3","274","±103","4.2%","±1.7"
"        80 to 84 years","427","±210","3.5%","±1.7","191","±155","3.4%","±2.7","236","±107","3.6%","±1.6"
"        85 years and over","801","±228","6.6%","±1.9","301","±127","5.4%","±2.2","500","±151","7.7%","±2.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,509","±293","12.5%","±2.2","771","±240","13.8%","±3.8","738","±236","11.4%","±3.3"
"        15 to 17 years","311","±121","2.6%","±1.0","105","±59","1.9%","±1.0","206","±106","3.2%","±1.6"
"        Under 18 years","2,231","±354","18.5%","±2.6","1,148","±269","20.6%","±4.1","1,083","±284","16.7%","±3.8"
"        18 to 24 years","796","±221","6.6%","±1.8","347","±143","6.2%","±2.4","449","±184","6.9%","±2.8"
"        15 to 44 years","3,781","±432","31.4%","±3.2","1,711","±267","30.7%","±4.1","2,070","±321","31.9%","±4.3"
"        16 years and over","9,994","±583","82.9%","±2.6","4,491","±384","80.6%","±4.2","5,503","±386","84.9%","±3.8"
"        18 years and over","9,818","±567","81.5%","±2.6","4,421","±378","79.4%","±4.1","5,397","±378","83.3%","±3.8"
"        21 years and over","9,504","±523","78.9%","±2.5","4,273","±367","76.7%","±4.4","5,231","±355","80.7%","±3.7"
"        60 years and over","3,965","±485","32.9%","±3.9","1,596","±276","28.7%","±4.5","2,369","±343","36.6%","±5.0"
"        62 years and over","3,566","±471","29.6%","±3.7","1,379","±259","24.8%","±4.1","2,187","±333","33.8%","±4.9"
"        65 years and over","3,078","±463","25.5%","±3.7","1,113","±231","20.0%","±3.7","1,965","±324","30.3%","±4.8"
"        75 years and over","1,682","±298","14.0%","±2.4","672","±215","12.1%","±3.6","1,010","±187","15.6%","±3.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","47.8","±3.6","(X)","(X)","45.4","±3.7","(X)","(X)","49.1","±2.8","(X)","(X)"
"        Sex ratio (males per 100 females)","85.9","±9.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","78.8","±10.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","45.7","±8.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.1","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
