"Label (Grouping)","ZCTA5 40177!!Total!!Estimate","ZCTA5 40177!!Total!!Margin of Error","ZCTA5 40177!!Percent!!Estimate","ZCTA5 40177!!Percent!!Margin of Error","ZCTA5 40177!!Male!!Estimate","ZCTA5 40177!!Male!!Margin of Error","ZCTA5 40177!!Percent Male!!Estimate","ZCTA5 40177!!Percent Male!!Margin of Error","ZCTA5 40177!!Female!!Estimate","ZCTA5 40177!!Female!!Margin of Error","ZCTA5 40177!!Percent Female!!Estimate","ZCTA5 40177!!Percent Female!!Margin of Error"
"Total population","1,627","±300","(X)","(X)","932","±192","(X)","(X)","695","±162","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","65","±40","4.0%","±2.4","46","±32","4.9%","±3.3","19","±16","2.7%","±2.4"
"        5 to 9 years","172","±60","10.6%","±3.2","91","±45","9.8%","±4.6","81","±44","11.7%","±5.5"
"        10 to 14 years","110","±54","6.8%","±2.9","66","±42","7.1%","±3.9","44","±37","6.3%","±5.1"
"        15 to 19 years","80","±38","4.9%","±2.1","58","±37","6.2%","±3.4","22","±18","3.2%","±2.7"
"        20 to 24 years","38","±25","2.3%","±1.6","30","±17","3.2%","±2.1","8","±11","1.2%","±1.7"
"        25 to 29 years","106","±49","6.5%","±3.0","53","±33","5.7%","±3.7","53","±38","7.6%","±5.2"
"        30 to 34 years","87","±30","5.3%","±2.1","36","±17","3.9%","±2.0","51","±22","7.3%","±3.6"
"        35 to 39 years","146","±106","9.0%","±5.7","103","±80","11.1%","±7.1","43","±32","6.2%","±4.5"
"        40 to 44 years","110","±50","6.8%","±2.9","76","±45","8.2%","±4.6","34","±21","4.9%","±3.1"
"        45 to 49 years","47","±31","2.9%","±2.0","36","±26","3.9%","±3.0","11","±16","1.6%","±2.2"
"        50 to 54 years","53","±28","3.3%","±1.8","6","±7","0.6%","±0.8","47","±29","6.8%","±4.2"
"        55 to 59 years","90","±75","5.5%","±4.4","24","±27","2.6%","±2.9","66","±62","9.5%","±8.3"
"        60 to 64 years","148","±62","9.1%","±3.7","84","±45","9.0%","±4.8","64","±53","9.2%","±7.2"
"        65 to 69 years","132","±63","8.1%","±3.4","97","±57","10.4%","±5.8","35","±21","5.0%","±3.0"
"        70 to 74 years","36","±25","2.2%","±1.6","25","±21","2.7%","±2.5","11","±9","1.6%","±1.2"
"        75 to 79 years","87","±75","5.3%","±4.3","18","±17","1.9%","±1.9","69","±74","9.9%","±9.7"
"        80 to 84 years","71","±64","4.4%","±4.0","39","±39","4.2%","±4.4","32","±27","4.6%","±3.7"
"        85 years and over","49","±48","3.0%","±2.9","44","±48","4.7%","±4.9","5","±7","0.7%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","282","±95","17.3%","±4.6","157","±64","16.8%","±5.5","125","±66","18.0%","±8.1"
"        15 to 17 years","35","±27","2.2%","±1.6","26","±26","2.8%","±2.4","9","±9","1.3%","±1.4"
"        Under 18 years","382","±122","23.5%","±5.5","229","±94","24.6%","±7.6","153","±65","22.0%","±7.9"
"        18 to 24 years","83","±36","5.1%","±2.3","62","±29","6.7%","±3.3","21","±17","3.0%","±2.6"
"        15 to 44 years","567","±146","34.8%","±6.1","356","±113","38.2%","±6.9","211","±51","30.4%","±7.6"
"        16 years and over","1,264","±239","77.7%","±5.6","713","±151","76.5%","±7.7","551","±139","79.3%","±8.2"
"        18 years and over","1,245","±234","76.5%","±5.5","703","±144","75.4%","±7.6","542","±138","78.0%","±7.9"
"        21 years and over","1,193","±230","73.3%","±5.5","664","±140","71.2%","±7.5","529","±137","76.1%","±8.1"
"        60 years and over","523","±166","32.1%","±8.4","307","±92","32.9%","±8.7","216","±103","31.1%","±11.5"
"        62 years and over","460","±164","28.3%","±8.8","261","±89","28.0%","±9.0","199","±99","28.6%","±11.2"
"        65 years and over","375","±150","23.0%","±8.0","223","±87","23.9%","±8.5","152","±86","21.9%","±10.5"
"        75 years and over","207","±109","12.7%","±6.0","101","±61","10.8%","±6.2","106","±82","15.3%","±10.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","41.2","±9.5","(X)","(X)","37.0","±9.0","(X)","(X)","44.2","±15.6","(X)","(X)"
"        Sex ratio (males per 100 females)","134.1","±31.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","87.0","±22.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","43.1","±18.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","43.9","±12.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
