"Label (Grouping)","ZCTA5 40041!!Total!!Estimate","ZCTA5 40041!!Total!!Margin of Error","ZCTA5 40041!!Percent!!Estimate","ZCTA5 40041!!Percent!!Margin of Error","ZCTA5 40041!!Male!!Estimate","ZCTA5 40041!!Male!!Margin of Error","ZCTA5 40041!!Percent Male!!Estimate","ZCTA5 40041!!Percent Male!!Margin of Error","ZCTA5 40041!!Female!!Estimate","ZCTA5 40041!!Female!!Margin of Error","ZCTA5 40041!!Percent Female!!Estimate","ZCTA5 40041!!Percent Female!!Margin of Error"
"Total population","518","±217","(X)","(X)","153","±92","(X)","(X)","365","±150","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        5 to 9 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        10 to 14 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        15 to 19 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        20 to 24 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        25 to 29 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        30 to 34 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        35 to 39 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        40 to 44 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        45 to 49 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        50 to 54 years","8","±17","1.5%","±3.5","8","±17","5.2%","±11.3","0","±13","0.0%","±9.8"
"        55 to 59 years","9","±18","1.7%","±3.6","9","±18","5.9%","±11.5","0","±13","0.0%","±9.8"
"        60 to 64 years","3","±6","0.6%","±1.3","0","±13","0.0%","±21.5","3","±6","0.8%","±1.8"
"        65 to 69 years","35","±36","6.8%","±8.4","0","±13","0.0%","±21.5","35","±36","9.6%","±11.9"
"        70 to 74 years","79","±35","15.3%","±10.0","38","±24","24.8%","±22.2","41","±30","11.2%","±8.6"
"        75 to 79 years","39","±35","7.5%","±6.8","6","±9","3.9%","±6.8","33","±31","9.0%","±7.9"
"        80 to 84 years","154","±215","29.7%","±31.0","51","±82","33.3%","±41.2","103","±135","28.2%","±28.1"
"        85 years and over","191","±62","36.9%","±18.3","41","±33","26.8%","±26.5","150","±61","41.1%","±19.6"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        15 to 17 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        Under 18 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        18 to 24 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        15 to 44 years","0","±13","0.0%","±7.0","0","±13","0.0%","±21.5","0","±13","0.0%","±9.8"
"        16 years and over","518","±217","100.0%","±7.0","153","±92","100.0%","±21.5","365","±150","100.0%","±9.8"
"        18 years and over","518","±217","100.0%","±7.0","153","±92","100.0%","±21.5","365","±150","100.0%","±9.8"
"        21 years and over","518","±217","100.0%","±7.0","153","±92","100.0%","±21.5","365","±150","100.0%","±9.8"
"        60 years and over","501","±218","96.7%","±7.1","136","±84","88.9%","±22.7","365","±150","100.0%","±9.8"
"        62 years and over","498","±218","96.1%","±7.0","136","±84","88.9%","±22.7","362","±150","99.2%","±1.8"
"        65 years and over","498","±218","96.1%","±7.0","136","±84","88.9%","±22.7","362","±150","99.2%","±1.8"
"        75 years and over","384","±233","74.1%","±16.3","98","±86","64.1%","±32.2","286","±158","78.4%","±15.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","83.2","±3.3","(X)","(X)","84.3","±11.3","(X)","(X)","81.9","±4.6","(X)","(X)"
"        Sex ratio (males per 100 females)","41.9","±20.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","2,490.0","±28,372.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","2,490.0","±28,372.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","-","**","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
