"Label (Grouping)","ZCTA5 40067!!Total!!Estimate","ZCTA5 40067!!Total!!Margin of Error","ZCTA5 40067!!Percent!!Estimate","ZCTA5 40067!!Percent!!Margin of Error","ZCTA5 40067!!Male!!Estimate","ZCTA5 40067!!Male!!Margin of Error","ZCTA5 40067!!Percent Male!!Estimate","ZCTA5 40067!!Percent Male!!Margin of Error","ZCTA5 40067!!Female!!Estimate","ZCTA5 40067!!Female!!Margin of Error","ZCTA5 40067!!Percent Female!!Estimate","ZCTA5 40067!!Percent Female!!Margin of Error"
"Total population","6,253","±612","(X)","(X)","3,298","±394","(X)","(X)","2,955","±310","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","272","±84","4.3%","±1.4","142","±64","4.3%","±2.0","130","±63","4.4%","±2.2"
"        5 to 9 years","310","±78","5.0%","±1.5","161","±56","4.9%","±1.9","149","±56","5.0%","±2.0"
"        10 to 14 years","481","±204","7.7%","±2.8","356","±197","10.8%","±5.2","125","±52","4.2%","±1.8"
"        15 to 19 years","277","±98","4.4%","±1.6","129","±55","3.9%","±1.8","148","±62","5.0%","±2.0"
"        20 to 24 years","446","±146","7.1%","±2.2","280","±113","8.5%","±3.3","166","±87","5.6%","±2.8"
"        25 to 29 years","467","±138","7.5%","±2.2","245","±95","7.4%","±3.0","222","±99","7.5%","±3.0"
"        30 to 34 years","388","±107","6.2%","±1.8","249","±89","7.6%","±2.8","139","±49","4.7%","±1.7"
"        35 to 39 years","515","±361","8.2%","±5.3","275","±189","8.3%","±5.1","240","±190","8.1%","±6.0"
"        40 to 44 years","270","±96","4.3%","±1.6","112","±49","3.4%","±1.6","158","±66","5.3%","±2.3"
"        45 to 49 years","345","±121","5.5%","±1.8","191","±103","5.8%","±3.1","154","±62","5.2%","±2.1"
"        50 to 54 years","333","±89","5.3%","±1.5","145","±52","4.4%","±1.6","188","±50","6.4%","±1.8"
"        55 to 59 years","623","±227","10.0%","±3.4","271","±115","8.2%","±3.4","352","±148","11.9%","±4.5"
"        60 to 64 years","423","±142","6.8%","±2.3","208","±85","6.3%","±2.6","215","±79","7.3%","±2.8"
"        65 to 69 years","386","±92","6.2%","±1.5","166","±61","5.0%","±1.8","220","±53","7.4%","±1.8"
"        70 to 74 years","340","±104","5.4%","±1.8","192","±66","5.8%","±2.2","148","±58","5.0%","±2.0"
"        75 to 79 years","242","±101","3.9%","±1.6","106","±42","3.2%","±1.3","136","±85","4.6%","±2.8"
"        80 to 84 years","77","±38","1.2%","±0.6","49","±33","1.5%","±1.1","28","±23","0.9%","±0.8"
"        85 years and over","58","±50","0.9%","±0.8","21","±24","0.6%","±0.8","37","±31","1.3%","±1.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","791","±197","12.6%","±2.6","517","±187","15.7%","±4.5","274","±78","9.3%","±2.7"
"        15 to 17 years","184","±64","2.9%","±1.0","78","±41","2.4%","±1.3","106","±44","3.6%","±1.5"
"        Under 18 years","1,247","±210","19.9%","±2.6","737","±211","22.3%","±5.0","510","±105","17.3%","±3.6"
"        18 to 24 years","539","±146","8.6%","±2.2","331","±109","10.0%","±3.3","208","±89","7.0%","±2.9"
"        15 to 44 years","2,363","±386","37.8%","±3.5","1,290","±207","39.1%","±3.5","1,073","±240","36.3%","±6.0"
"        16 years and over","5,117","±509","81.8%","±2.6","2,603","±286","78.9%","±5.0","2,514","±308","85.1%","±3.6"
"        18 years and over","5,006","±507","80.1%","±2.6","2,561","±290","77.7%","±5.0","2,445","±304","82.7%","±3.6"
"        21 years and over","4,715","±496","75.4%","±3.1","2,379","±277","72.1%","±4.7","2,336","±298","79.1%","±4.1"
"        60 years and over","1,526","±195","24.4%","±3.8","742","±119","22.5%","±4.4","784","±125","26.5%","±4.4"
"        62 years and over","1,380","±182","22.1%","±3.5","685","±117","20.8%","±4.2","695","±115","23.5%","±4.0"
"        65 years and over","1,103","±139","17.6%","±2.8","534","±95","16.2%","±3.5","569","±98","19.3%","±3.3"
"        75 years and over","377","±114","6.0%","±2.0","176","±59","5.3%","±2.0","201","±92","6.8%","±3.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.1","±5.9","(X)","(X)","35.6","±2.3","(X)","(X)","45.0","±4.3","(X)","(X)"
"        Sex ratio (males per 100 females)","111.6","±12.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","60.2","±9.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.3","±5.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.9","±5.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
