"Label (Grouping)","ZCTA5 40217!!Total!!Estimate","ZCTA5 40217!!Total!!Margin of Error","ZCTA5 40217!!Percent!!Estimate","ZCTA5 40217!!Percent!!Margin of Error","ZCTA5 40217!!Male!!Estimate","ZCTA5 40217!!Male!!Margin of Error","ZCTA5 40217!!Percent Male!!Estimate","ZCTA5 40217!!Percent Male!!Margin of Error","ZCTA5 40217!!Female!!Estimate","ZCTA5 40217!!Female!!Margin of Error","ZCTA5 40217!!Percent Female!!Estimate","ZCTA5 40217!!Percent Female!!Margin of Error"
"Total population","11,831","±1,091","(X)","(X)","6,361","±786","(X)","(X)","5,470","±511","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","546","±248","4.6%","±1.9","386","±238","6.1%","±3.3","160","±92","2.9%","±1.6"
"        5 to 9 years","434","±197","3.7%","±1.5","197","±118","3.1%","±1.6","237","±110","4.3%","±2.0"
"        10 to 14 years","261","±114","2.2%","±0.9","160","±97","2.5%","±1.5","101","±65","1.8%","±1.2"
"        15 to 19 years","170","±84","1.4%","±0.7","102","±59","1.6%","±0.9","68","±50","1.2%","±0.9"
"        20 to 24 years","1,329","±564","11.2%","±4.5","681","±399","10.7%","±5.9","648","±236","11.8%","±4.1"
"        25 to 29 years","1,451","±339","12.3%","±2.6","878","±272","13.8%","±3.7","573","±171","10.5%","±3.1"
"        30 to 34 years","1,594","±417","13.5%","±3.3","922","±241","14.5%","±3.6","672","±218","12.3%","±3.6"
"        35 to 39 years","966","±256","8.2%","±2.0","514","±172","8.1%","±2.7","452","±186","8.3%","±3.2"
"        40 to 44 years","692","±167","5.8%","±1.5","372","±121","5.8%","±2.1","320","±104","5.9%","±1.9"
"        45 to 49 years","457","±137","3.9%","±1.2","294","±109","4.6%","±1.7","163","±69","3.0%","±1.3"
"        50 to 54 years","499","±126","4.2%","±1.1","293","±91","4.6%","±1.4","206","±87","3.8%","±1.6"
"        55 to 59 years","738","±195","6.2%","±1.6","309","±130","4.9%","±2.0","429","±150","7.8%","±2.7"
"        60 to 64 years","758","±212","6.4%","±1.7","371","±140","5.8%","±2.2","387","±150","7.1%","±2.7"
"        65 to 69 years","600","±160","5.1%","±1.4","290","±109","4.6%","±1.9","310","±93","5.7%","±1.7"
"        70 to 74 years","819","±313","6.9%","±2.7","481","±230","7.6%","±3.7","338","±152","6.2%","±2.8"
"        75 to 79 years","94","±51","0.8%","±0.4","47","±35","0.7%","±0.6","47","±35","0.9%","±0.6"
"        80 to 84 years","293","±231","2.5%","±1.9","51","±40","0.8%","±0.6","242","±227","4.4%","±4.0"
"        85 years and over","130","±64","1.1%","±0.6","13","±22","0.2%","±0.3","117","±53","2.1%","±1.0"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","695","±257","5.9%","±1.9","357","±157","5.6%","±2.2","338","±128","6.2%","±2.2"
"        15 to 17 years","125","±67","1.1%","±0.5","66","±43","1.0%","±0.7","59","±48","1.1%","±0.9"
"        Under 18 years","1,366","±475","11.5%","±3.4","809","±353","12.7%","±4.6","557","±187","10.2%","±3.2"
"        18 to 24 years","1,374","±569","11.6%","±4.5","717","±403","11.3%","±5.9","657","±238","12.0%","±4.2"
"        15 to 44 years","6,202","±810","52.4%","±4.3","3,469","±548","54.5%","±5.7","2,733","±401","50.0%","±4.9"
"        16 years and over","10,513","±876","88.9%","±3.4","5,589","±595","87.9%","±4.6","4,924","±481","90.0%","±3.2"
"        18 years and over","10,465","±876","88.5%","±3.4","5,552","±596","87.3%","±4.6","4,913","±480","89.8%","±3.2"
"        21 years and over","10,046","±796","84.9%","±4.0","5,394","±553","84.8%","±4.8","4,652","±459","85.0%","±4.6"
"        60 years and over","2,694","±452","22.8%","±3.9","1,253","±284","19.7%","±4.7","1,441","±318","26.3%","±5.2"
"        62 years and over","2,321","±437","19.6%","±3.8","1,080","±255","17.0%","±4.3","1,241","±304","22.7%","±5.0"
"        65 years and over","1,936","±429","16.4%","±3.8","882","±250","13.9%","±4.2","1,054","±297","19.3%","±5.0"
"        75 years and over","517","±252","4.4%","±2.1","111","±64","1.7%","±1.0","406","±240","7.4%","±4.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","35.4","±2.5","(X)","(X)","33.7","±3.1","(X)","(X)","37.5","±3.0","(X)","(X)"
"        Sex ratio (males per 100 females)","116.3","±14.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","38.7","±8.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.7","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","16.0","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
