"Label (Grouping)","ZCTA5 40241!!Total!!Estimate","ZCTA5 40241!!Total!!Margin of Error","ZCTA5 40241!!Percent!!Estimate","ZCTA5 40241!!Percent!!Margin of Error","ZCTA5 40241!!Male!!Estimate","ZCTA5 40241!!Male!!Margin of Error","ZCTA5 40241!!Percent Male!!Estimate","ZCTA5 40241!!Percent Male!!Margin of Error","ZCTA5 40241!!Female!!Estimate","ZCTA5 40241!!Female!!Margin of Error","ZCTA5 40241!!Percent Female!!Estimate","ZCTA5 40241!!Percent Female!!Margin of Error"
"Total population","30,910","±1,491","(X)","(X)","15,024","±783","(X)","(X)","15,886","±953","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,048","±441","6.6%","±1.3","1,096","±281","7.3%","±1.7","952","±321","6.0%","±1.9"
"        5 to 9 years","1,817","±312","5.9%","±1.0","884","±193","5.9%","±1.3","933","±232","5.9%","±1.3"
"        10 to 14 years","1,630","±261","5.3%","±0.8","784","±153","5.2%","±1.0","846","±198","5.3%","±1.2"
"        15 to 19 years","1,650","±308","5.3%","±1.0","856","±183","5.7%","±1.2","794","±212","5.0%","±1.3"
"        20 to 24 years","1,414","±306","4.6%","±1.0","711","±186","4.7%","±1.2","703","±215","4.4%","±1.3"
"        25 to 29 years","2,301","±700","7.4%","±2.1","1,229","±386","8.2%","±2.4","1,072","±365","6.7%","±2.2"
"        30 to 34 years","2,222","±532","7.2%","±1.7","1,094","±289","7.3%","±1.9","1,128","±290","7.1%","±1.8"
"        35 to 39 years","1,822","±251","5.9%","±0.8","846","±163","5.6%","±1.1","976","±182","6.1%","±1.1"
"        40 to 44 years","1,841","±278","6.0%","±0.9","942","±192","6.3%","±1.2","899","±152","5.7%","±1.0"
"        45 to 49 years","1,579","±252","5.1%","±0.9","877","±180","5.8%","±1.3","702","±161","4.4%","±1.0"
"        50 to 54 years","1,563","±240","5.1%","±0.8","711","±156","4.7%","±1.0","852","±154","5.4%","±0.9"
"        55 to 59 years","2,423","±416","7.8%","±1.3","1,210","±278","8.1%","±1.8","1,213","±241","7.6%","±1.5"
"        60 to 64 years","1,919","±348","6.2%","±1.1","974","±195","6.5%","±1.2","945","±211","5.9%","±1.3"
"        65 to 69 years","1,864","±272","6.0%","±0.9","783","±153","5.2%","±1.1","1,081","±190","6.8%","±1.2"
"        70 to 74 years","1,921","±255","6.2%","±0.9","776","±133","5.2%","±0.9","1,145","±180","7.2%","±1.2"
"        75 to 79 years","1,439","±316","4.7%","±1.0","623","±131","4.1%","±0.9","816","±277","5.1%","±1.7"
"        80 to 84 years","702","±187","2.3%","±0.6","375","±164","2.5%","±1.1","327","±103","2.1%","±0.7"
"        85 years and over","755","±147","2.4%","±0.5","253","±90","1.7%","±0.6","502","±107","3.2%","±0.7"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,447","±435","11.2%","±1.3","1,668","±228","11.1%","±1.4","1,779","±357","11.2%","±2.0"
"        15 to 17 years","1,062","±241","3.4%","±0.8","568","±156","3.8%","±1.0","494","±162","3.1%","±1.0"
"        Under 18 years","6,557","±631","21.2%","±1.4","3,332","±400","22.2%","±2.1","3,225","±465","20.3%","±2.1"
"        18 to 24 years","2,002","±322","6.5%","±1.0","999","±222","6.6%","±1.5","1,003","±226","6.3%","±1.3"
"        15 to 44 years","11,250","±915","36.4%","±1.8","5,678","±517","37.8%","±2.4","5,572","±532","35.1%","±2.2"
"        16 years and over","25,001","±1,102","80.9%","±1.4","11,949","±610","79.5%","±2.1","13,052","±707","82.2%","±2.2"
"        18 years and over","24,353","±1,056","78.8%","±1.4","11,692","±598","77.8%","±2.1","12,661","±669","79.7%","±2.1"
"        21 years and over","23,536","±1,037","76.1%","±1.4","11,299","±584","75.2%","±2.0","12,237","±637","77.0%","±2.2"
"        60 years and over","8,600","±533","27.8%","±2.0","3,784","±349","25.2%","±2.4","4,816","±382","30.3%","±2.4"
"        62 years and over","7,878","±492","25.5%","±1.9","3,425","±324","22.8%","±2.3","4,453","±381","28.0%","±2.3"
"        65 years and over","6,681","±475","21.6%","±1.8","2,810","±276","18.7%","±2.0","3,871","±364","24.4%","±2.4"
"        75 years and over","2,896","±375","9.4%","±1.3","1,251","±234","8.3%","±1.6","1,645","±289","10.4%","±1.8"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","41.4","±1.8","(X)","(X)","40.1","±2.1","(X)","(X)","42.6","±2.9","(X)","(X)"
"        Sex ratio (males per 100 females)","94.6","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","74.9","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","37.8","±4.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.1","±2.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
