"Label (Grouping)","ZCTA5 40202!!Total!!Estimate","ZCTA5 40202!!Total!!Margin of Error","ZCTA5 40202!!Percent!!Estimate","ZCTA5 40202!!Percent!!Margin of Error","ZCTA5 40202!!Male!!Estimate","ZCTA5 40202!!Male!!Margin of Error","ZCTA5 40202!!Percent Male!!Estimate","ZCTA5 40202!!Percent Male!!Margin of Error","ZCTA5 40202!!Female!!Estimate","ZCTA5 40202!!Female!!Margin of Error","ZCTA5 40202!!Percent Female!!Estimate","ZCTA5 40202!!Percent Female!!Margin of Error"
"Total population","7,109","±730","(X)","(X)","4,369","±544","(X)","(X)","2,740","±534","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","14","±37","0.2%","±0.5","14","±37","0.3%","±0.8","0","±18","0.0%","±1.4"
"        5 to 9 years","44","±70","0.6%","±1.0","44","±70","1.0%","±1.6","0","±18","0.0%","±1.4"
"        10 to 14 years","89","±81","1.3%","±1.1","32","±41","0.7%","±0.9","57","±81","2.1%","±2.9"
"        15 to 19 years","212","±134","3.0%","±1.7","81","±59","1.9%","±1.3","131","±102","4.8%","±3.4"
"        20 to 24 years","571","±219","8.0%","±3.0","321","±133","7.3%","±3.1","250","±128","9.1%","±4.1"
"        25 to 29 years","1,131","±283","15.9%","±3.5","610","±162","14.0%","±3.3","521","±234","19.0%","±7.0"
"        30 to 34 years","944","±223","13.3%","±3.0","521","±186","11.9%","±3.9","423","±176","15.4%","±5.7"
"        35 to 39 years","553","±196","7.8%","±2.7","400","±138","9.2%","±2.8","153","±110","5.6%","±4.0"
"        40 to 44 years","511","±225","7.2%","±3.0","264","±119","6.0%","±2.4","247","±186","9.0%","±6.4"
"        45 to 49 years","510","±202","7.2%","±2.7","326","±152","7.5%","±3.6","184","±127","6.7%","±4.3"
"        50 to 54 years","504","±166","7.1%","±2.3","280","±121","6.4%","±2.7","224","±113","8.2%","±4.1"
"        55 to 59 years","505","±192","7.1%","±2.7","360","±175","8.2%","±3.8","145","±92","5.3%","±3.3"
"        60 to 64 years","755","±177","10.6%","±2.5","430","±140","9.8%","±3.2","325","±110","11.9%","±4.5"
"        65 to 69 years","315","±266","4.4%","±3.7","315","±266","7.2%","±5.9","0","±18","0.0%","±1.4"
"        70 to 74 years","200","±158","2.8%","±2.2","199","±158","4.6%","±3.5","1","±3","0.0%","±0.1"
"        75 to 79 years","23","±39","0.3%","±0.6","23","±39","0.5%","±0.9","0","±18","0.0%","±1.4"
"        80 to 84 years","222","±88","3.1%","±1.3","149","±74","3.4%","±1.8","73","±67","2.7%","±2.5"
"        85 years and over","6","±10","0.1%","±0.1","0","±18","0.0%","±0.9","6","±10","0.2%","±0.4"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","133","±145","1.9%","±2.0","76","±82","1.7%","±1.9","57","±81","2.1%","±2.9"
"        15 to 17 years","131","±102","1.8%","±1.4","19","±23","0.4%","±0.5","112","±102","4.1%","±3.4"
"        Under 18 years","278","±171","3.9%","±2.3","109","±92","2.5%","±2.1","169","±138","6.2%","±4.6"
"        18 to 24 years","652","±230","9.2%","±3.1","383","±151","8.8%","±3.4","269","±130","9.8%","±4.2"
"        15 to 44 years","3,922","±586","55.2%","±5.2","2,197","±421","50.3%","±6.7","1,725","±462","63.0%","±8.0"
"        16 years and over","6,858","±679","96.5%","±2.3","4,279","±541","97.9%","±2.0","2,579","±485","94.1%","±4.7"
"        18 years and over","6,831","±682","96.1%","±2.3","4,260","±544","97.5%","±2.1","2,571","±486","93.8%","±4.6"
"        21 years and over","6,675","±653","93.9%","±2.5","4,145","±522","94.9%","±2.4","2,530","±470","92.3%","±4.9"
"        60 years and over","1,521","±348","21.4%","±4.7","1,116","±328","25.5%","±6.9","405","±115","14.8%","±4.9"
"        62 years and over","1,200","±349","16.9%","±4.6","1,000","±335","22.9%","±7.0","200","±105","7.3%","±3.9"
"        65 years and over","766","±303","10.8%","±4.1","686","±295","15.7%","±6.3","80","±67","2.9%","±2.5"
"        75 years and over","251","±93","3.5%","±1.4","172","±80","3.9%","±2.0","79","±67","2.9%","±2.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.9","±5.3","(X)","(X)","44.1","±5.6","(X)","(X)","34.9","±4.6","(X)","(X)"
"        Sex ratio (males per 100 females)","159.5","±37.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","17.2","±6.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","12.6","±5.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","4.6","±2.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
