"Label (Grouping)","ZCTA5 40219!!Total!!Estimate","ZCTA5 40219!!Total!!Margin of Error","ZCTA5 40219!!Percent!!Estimate","ZCTA5 40219!!Percent!!Margin of Error","ZCTA5 40219!!Male!!Estimate","ZCTA5 40219!!Male!!Margin of Error","ZCTA5 40219!!Percent Male!!Estimate","ZCTA5 40219!!Percent Male!!Margin of Error","ZCTA5 40219!!Female!!Estimate","ZCTA5 40219!!Female!!Margin of Error","ZCTA5 40219!!Percent Female!!Estimate","ZCTA5 40219!!Percent Female!!Margin of Error"
"Total population","39,107","±2,167","(X)","(X)","18,786","±1,178","(X)","(X)","20,321","±1,322","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,818","±591","7.2%","±1.4","1,528","±432","8.1%","±2.1","1,290","±364","6.3%","±1.7"
"        5 to 9 years","2,872","±656","7.3%","±1.5","1,266","±324","6.7%","±1.6","1,606","±436","7.9%","±1.9"
"        10 to 14 years","3,202","±478","8.2%","±1.1","1,678","±356","8.9%","±1.8","1,524","±385","7.5%","±1.8"
"        15 to 19 years","2,421","±391","6.2%","±1.0","1,418","±292","7.5%","±1.5","1,003","±294","4.9%","±1.4"
"        20 to 24 years","2,022","±512","5.2%","±1.2","967","±232","5.1%","±1.2","1,055","±380","5.2%","±1.8"
"        25 to 29 years","2,687","±552","6.9%","±1.3","1,292","±319","6.9%","±1.6","1,395","±419","6.9%","±2.0"
"        30 to 34 years","3,546","±748","9.1%","±1.8","1,693","±424","9.0%","±2.1","1,853","±547","9.1%","±2.5"
"        35 to 39 years","2,536","±555","6.5%","±1.3","1,316","±328","7.0%","±1.6","1,220","±308","6.0%","±1.5"
"        40 to 44 years","2,194","±372","5.6%","±0.9","1,068","±239","5.7%","±1.3","1,126","±258","5.5%","±1.2"
"        45 to 49 years","2,606","±501","6.7%","±1.3","1,194","±287","6.4%","±1.6","1,412","±329","6.9%","±1.6"
"        50 to 54 years","2,185","±395","5.6%","±1.0","1,170","±258","6.2%","±1.3","1,015","±226","5.0%","±1.1"
"        55 to 59 years","2,311","±438","5.9%","±1.2","967","±231","5.1%","±1.2","1,344","±347","6.6%","±1.8"
"        60 to 64 years","2,308","±414","5.9%","±1.0","1,012","±200","5.4%","±1.1","1,296","±321","6.4%","±1.5"
"        65 to 69 years","1,643","±328","4.2%","±0.8","760","±213","4.0%","±1.1","883","±221","4.3%","±1.1"
"        70 to 74 years","1,460","±320","3.7%","±0.8","506","±147","2.7%","±0.8","954","±276","4.7%","±1.4"
"        75 to 79 years","1,068","±262","2.7%","±0.7","469","±146","2.5%","±0.8","599","±172","2.9%","±0.8"
"        80 to 84 years","569","±180","1.5%","±0.5","266","±105","1.4%","±0.6","303","±116","1.5%","±0.6"
"        85 years and over","659","±184","1.7%","±0.5","216","±80","1.1%","±0.4","443","±154","2.2%","±0.8"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","6,074","±804","15.5%","±1.7","2,944","±476","15.7%","±2.3","3,130","±569","15.4%","±2.4"
"        15 to 17 years","1,572","±365","4.0%","±0.9","875","±269","4.7%","±1.4","697","±258","3.4%","±1.2"
"        Under 18 years","10,464","±1,171","26.8%","±2.3","5,347","±700","28.5%","±2.9","5,117","±763","25.2%","±3.0"
"        18 to 24 years","2,871","±598","7.3%","±1.4","1,510","±311","8.0%","±1.5","1,361","±431","6.7%","±2.0"
"        15 to 44 years","15,406","±1,394","39.4%","±2.3","7,754","±759","41.3%","±2.6","7,652","±944","37.7%","±3.1"
"        16 years and over","29,606","±1,628","75.7%","±2.2","13,922","±899","74.1%","±2.8","15,684","±1,034","77.2%","±2.8"
"        18 years and over","28,643","±1,624","73.2%","±2.3","13,439","±897","71.5%","±2.9","15,204","±1,029","74.8%","±3.0"
"        21 years and over","27,401","±1,509","70.1%","±2.2","12,677","±864","67.5%","±2.9","14,724","±968","72.5%","±3.1"
"        60 years and over","7,707","±721","19.7%","±1.8","3,229","±376","17.2%","±2.1","4,478","±500","22.0%","±2.4"
"        62 years and over","6,646","±663","17.0%","±1.7","2,734","±381","14.6%","±2.1","3,912","±444","19.3%","±2.1"
"        65 years and over","5,399","±498","13.8%","±1.3","2,217","±305","11.8%","±1.7","3,182","±376","15.7%","±2.0"
"        75 years and over","2,296","±369","5.9%","±1.0","951","±199","5.1%","±1.1","1,345","±251","6.6%","±1.3"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","35.0","±1.7","(X)","(X)","33.8","±1.4","(X)","(X)","35.9","±2.7","(X)","(X)"
"        Sex ratio (males per 100 females)","92.4","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","68.2","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.2","±2.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.0","±5.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
