"Label (Grouping)","ZCTA5 40208!!Total!!Estimate","ZCTA5 40208!!Total!!Margin of Error","ZCTA5 40208!!Percent!!Estimate","ZCTA5 40208!!Percent!!Margin of Error","ZCTA5 40208!!Male!!Estimate","ZCTA5 40208!!Male!!Margin of Error","ZCTA5 40208!!Percent Male!!Estimate","ZCTA5 40208!!Percent Male!!Margin of Error","ZCTA5 40208!!Female!!Estimate","ZCTA5 40208!!Female!!Margin of Error","ZCTA5 40208!!Percent Female!!Estimate","ZCTA5 40208!!Percent Female!!Margin of Error"
"Total population","15,287","±1,330","(X)","(X)","7,662","±827","(X)","(X)","7,625","±796","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","335","±199","2.2%","±1.2","129","±89","1.7%","±1.1","206","±154","2.7%","±1.9"
"        5 to 9 years","807","±280","5.3%","±1.7","443","±218","5.8%","±2.6","364","±186","4.8%","±2.3"
"        10 to 14 years","865","±359","5.7%","±2.2","393","±200","5.1%","±2.5","472","±222","6.2%","±2.7"
"        15 to 19 years","2,605","±343","17.0%","±2.4","1,230","±224","16.1%","±2.8","1,375","±255","18.0%","±3.4"
"        20 to 24 years","4,198","±672","27.5%","±4.1","1,957","±518","25.5%","±5.8","2,241","±407","29.4%","±5.1"
"        25 to 29 years","1,294","±535","8.5%","±3.2","662","±309","8.6%","±3.8","632","±300","8.3%","±3.6"
"        30 to 34 years","927","±269","6.1%","±1.7","536","±196","7.0%","±2.7","391","±183","5.1%","±2.3"
"        35 to 39 years","742","±315","4.9%","±2.0","438","±222","5.7%","±2.8","304","±162","4.0%","±2.1"
"        40 to 44 years","703","±186","4.6%","±1.1","388","±175","5.1%","±2.1","315","±118","4.1%","±1.5"
"        45 to 49 years","371","±197","2.4%","±1.3","161","±97","2.1%","±1.3","210","±152","2.8%","±2.0"
"        50 to 54 years","401","±144","2.6%","±1.0","246","±107","3.2%","±1.5","155","±74","2.0%","±1.0"
"        55 to 59 years","457","±155","3.0%","±1.0","218","±114","2.8%","±1.5","239","±101","3.1%","±1.3"
"        60 to 64 years","491","±179","3.2%","±1.1","341","±160","4.5%","±2.0","150","±70","2.0%","±0.9"
"        65 to 69 years","417","±138","2.7%","±0.9","202","±107","2.6%","±1.4","215","±134","2.8%","±1.7"
"        70 to 74 years","332","±144","2.2%","±0.9","168","±83","2.2%","±1.0","164","±111","2.2%","±1.4"
"        75 to 79 years","237","±115","1.6%","±0.8","116","±81","1.5%","±1.1","121","±78","1.6%","±1.0"
"        80 to 84 years","43","±37","0.3%","±0.2","10","±13","0.1%","±0.2","33","±35","0.4%","±0.5"
"        85 years and over","62","±61","0.4%","±0.4","24","±34","0.3%","±0.4","38","±53","0.5%","±0.7"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,672","±549","10.9%","±3.2","836","±353","10.9%","±4.2","836","±293","11.0%","±3.4"
"        15 to 17 years","385","±134","2.5%","±0.9","176","±106","2.3%","±1.4","209","±87","2.7%","±1.2"
"        Under 18 years","2,392","±649","15.6%","±3.6","1,141","±374","14.9%","±4.3","1,251","±379","16.4%","±4.2"
"        18 to 24 years","6,418","±601","42.0%","±3.7","3,011","±517","39.3%","±5.2","3,407","±378","44.7%","±4.5"
"        15 to 44 years","10,469","±1,008","68.5%","±3.7","5,211","±703","68.0%","±5.3","5,258","±572","69.0%","±3.9"
"        16 years and over","13,238","±1,104","86.6%","±3.7","6,655","±723","86.9%","±4.3","6,583","±648","86.3%","±4.2"
"        18 years and over","12,895","±1,104","84.4%","±3.6","6,521","±720","85.1%","±4.3","6,374","±643","83.6%","±4.2"
"        21 years and over","9,293","±1,049","60.8%","±3.7","4,793","±641","62.6%","±4.6","4,500","±611","59.0%","±5.0"
"        60 years and over","1,582","±384","10.3%","±2.4","861","±257","11.2%","±3.2","721","±202","9.5%","±2.6"
"        62 years and over","1,438","±362","9.4%","±2.3","759","±235","9.9%","±3.0","679","±193","8.9%","±2.4"
"        65 years and over","1,091","±257","7.1%","±1.6","520","±172","6.8%","±2.3","571","±188","7.5%","±2.4"
"        75 years and over","342","±120","2.2%","±0.8","150","±92","2.0%","±1.2","192","±78","2.5%","±1.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","22.5","±0.6","(X)","(X)","23.2","±1.6","(X)","(X)","22.0","±0.7","(X)","(X)"
"        Sex ratio (males per 100 females)","100.5","±12.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","29.5","±5.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","9.2","±2.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","20.3","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
