"Label (Grouping)","ZCTA5 40299!!Total!!Estimate","ZCTA5 40299!!Total!!Margin of Error","ZCTA5 40299!!Percent!!Estimate","ZCTA5 40299!!Percent!!Margin of Error","ZCTA5 40299!!Male!!Estimate","ZCTA5 40299!!Male!!Margin of Error","ZCTA5 40299!!Percent Male!!Estimate","ZCTA5 40299!!Percent Male!!Margin of Error","ZCTA5 40299!!Female!!Estimate","ZCTA5 40299!!Female!!Margin of Error","ZCTA5 40299!!Percent Female!!Estimate","ZCTA5 40299!!Percent Female!!Margin of Error"
"Total population","41,724","±1,712","(X)","(X)","19,824","±943","(X)","(X)","21,900","±1,177","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,437","±417","5.8%","±1.0","903","±242","4.6%","±1.2","1,534","±361","7.0%","±1.5"
"        5 to 9 years","2,521","±434","6.0%","±1.0","1,269","±271","6.4%","±1.3","1,252","±327","5.7%","±1.5"
"        10 to 14 years","3,302","±548","7.9%","±1.3","1,711","±369","8.6%","±1.8","1,591","±413","7.3%","±1.8"
"        15 to 19 years","2,289","±402","5.5%","±0.9","1,032","±224","5.2%","±1.1","1,257","±328","5.7%","±1.4"
"        20 to 24 years","1,896","±382","4.5%","±0.9","920","±209","4.6%","±1.0","976","±306","4.5%","±1.4"
"        25 to 29 years","2,559","±490","6.1%","±1.1","1,227","±288","6.2%","±1.4","1,332","±334","6.1%","±1.5"
"        30 to 34 years","2,908","±552","7.0%","±1.2","1,420","±355","7.2%","±1.7","1,488","±296","6.8%","±1.3"
"        35 to 39 years","3,110","±574","7.5%","±1.3","1,707","±308","8.6%","±1.5","1,403","±369","6.4%","±1.6"
"        40 to 44 years","3,025","±490","7.3%","±1.1","1,550","±333","7.8%","±1.6","1,475","±322","6.7%","±1.5"
"        45 to 49 years","2,310","±413","5.5%","±1.0","1,073","±272","5.4%","±1.3","1,237","±227","5.6%","±1.1"
"        50 to 54 years","2,226","±343","5.3%","±0.8","996","±193","5.0%","±1.0","1,230","±248","5.6%","±1.1"
"        55 to 59 years","2,181","±304","5.2%","±0.7","935","±168","4.7%","±0.9","1,246","±240","5.7%","±1.1"
"        60 to 64 years","3,334","±575","8.0%","±1.4","1,681","±344","8.5%","±1.7","1,653","±336","7.5%","±1.6"
"        65 to 69 years","2,122","±309","5.1%","±0.8","1,026","±182","5.2%","±0.9","1,096","±228","5.0%","±1.1"
"        70 to 74 years","2,420","±354","5.8%","±0.8","1,116","±209","5.6%","±1.0","1,304","±223","6.0%","±1.0"
"        75 to 79 years","1,564","±304","3.7%","±0.7","604","±173","3.0%","±0.9","960","±206","4.4%","±0.9"
"        80 to 84 years","733","±187","1.8%","±0.4","337","±113","1.7%","±0.6","396","±125","1.8%","±0.6"
"        85 years and over","787","±183","1.9%","±0.4","317","±137","1.6%","±0.7","470","±116","2.1%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","5,823","±665","14.0%","±1.4","2,980","±443","15.0%","±2.0","2,843","±483","13.0%","±2.0"
"        15 to 17 years","1,620","±318","3.9%","±0.7","701","±159","3.5%","±0.8","919","±285","4.2%","±1.2"
"        Under 18 years","9,880","±915","23.7%","±1.8","4,584","±503","23.1%","±2.3","5,296","±702","24.2%","±2.5"
"        18 to 24 years","2,565","±433","6.1%","±1.0","1,251","±222","6.3%","±1.1","1,314","±358","6.0%","±1.6"
"        15 to 44 years","15,787","±1,309","37.8%","±2.2","7,856","±741","39.6%","±2.8","7,931","±820","36.2%","±2.7"
"        16 years and over","33,034","±1,535","79.2%","±1.9","15,791","±878","79.7%","±2.3","17,243","±970","78.7%","±2.5"
"        18 years and over","31,844","±1,424","76.3%","±1.8","15,240","±872","76.9%","±2.3","16,604","±862","75.8%","±2.5"
"        21 years and over","30,706","±1,382","73.6%","±2.0","14,734","±851","74.3%","±2.4","15,972","±827","72.9%","±2.5"
"        60 years and over","10,960","±823","26.3%","±2.0","5,081","±477","25.6%","±2.3","5,879","±458","26.8%","±2.3"
"        62 years and over","9,683","±788","23.2%","±1.9","4,317","±455","21.8%","±2.3","5,366","±461","24.5%","±2.2"
"        65 years and over","7,626","±688","18.3%","±1.7","3,400","±360","17.2%","±1.8","4,226","±414","19.3%","±2.0"
"        75 years and over","3,084","±424","7.4%","±1.0","1,258","±241","6.3%","±1.2","1,826","±247","8.3%","±1.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.7","±1.6","(X)","(X)","39.2","±1.3","(X)","(X)","40.6","±2.8","(X)","(X)"
"        Sex ratio (males per 100 females)","90.5","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","72.3","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","31.5","±3.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.8","±4.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
