"Label (Grouping)","ZCTA5 40025!!Total!!Estimate","ZCTA5 40025!!Total!!Margin of Error","ZCTA5 40025!!Percent!!Estimate","ZCTA5 40025!!Percent!!Margin of Error","ZCTA5 40025!!Male!!Estimate","ZCTA5 40025!!Male!!Margin of Error","ZCTA5 40025!!Percent Male!!Estimate","ZCTA5 40025!!Percent Male!!Margin of Error","ZCTA5 40025!!Female!!Estimate","ZCTA5 40025!!Female!!Margin of Error","ZCTA5 40025!!Percent Female!!Estimate","ZCTA5 40025!!Percent Female!!Margin of Error"
"Total population","652","±214","(X)","(X)","327","±104","(X)","(X)","325","±117","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","19","±19","2.9%","±2.8","11","±14","3.4%","±4.3","8","±7","2.5%","±2.3"
"        5 to 9 years","80","±65","12.3%","±7.1","14","±9","4.3%","±2.9","66","±64","20.3%","±14.6"
"        10 to 14 years","64","±46","9.8%","±4.8","34","±42","10.4%","±10.8","30","±19","9.2%","±5.8"
"        15 to 19 years","16","±14","2.5%","±2.2","3","±6","0.9%","±1.8","13","±13","4.0%","±4.1"
"        20 to 24 years","8","±9","1.2%","±1.4","6","±6","1.8%","±2.0","2","±3","0.6%","±1.1"
"        25 to 29 years","3","±4","0.5%","±0.7","3","±4","0.9%","±1.4","0","±13","0.0%","±10.9"
"        30 to 34 years","6","±6","0.9%","±1.0","2","±3","0.6%","±1.0","4","±4","1.2%","±1.4"
"        35 to 39 years","17","±12","2.6%","±2.0","6","±6","1.8%","±1.7","11","±9","3.4%","±3.0"
"        40 to 44 years","66","±38","10.1%","±3.5","14","±9","4.3%","±3.1","52","±37","16.0%","±6.9"
"        45 to 49 years","59","±49","9.0%","±5.8","49","±45","15.0%","±11.1","10","±10","3.1%","±3.2"
"        50 to 54 years","37","±19","5.7%","±3.4","27","±16","8.3%","±5.7","10","±8","3.1%","±2.5"
"        55 to 59 years","93","±82","14.3%","±11.7","52","±46","15.9%","±12.7","41","±36","12.6%","±10.8"
"        60 to 64 years","54","±25","8.3%","±4.4","38","±21","11.6%","±6.8","16","±9","4.9%","±3.2"
"        65 to 69 years","50","±23","7.7%","±4.1","28","±17","8.6%","±5.4","22","±13","6.8%","±4.3"
"        70 to 74 years","38","±18","5.8%","±3.1","15","±10","4.6%","±3.2","23","±13","7.1%","±4.6"
"        75 to 79 years","16","±10","2.5%","±1.8","9","±7","2.8%","±2.5","7","±6","2.2%","±2.0"
"        80 to 84 years","13","±10","2.0%","±1.4","10","±7","3.1%","±2.0","3","±5","0.9%","±1.4"
"        85 years and over","13","±9","2.0%","±1.6","6","±6","1.8%","±1.8","7","±6","2.2%","±2.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","144","±106","22.1%","±10.7","48","±43","14.7%","±10.1","96","±68","29.5%","±12.3"
"        15 to 17 years","15","±13","2.3%","±2.1","2","±4","0.6%","±1.1","13","±13","4.0%","±4.1"
"        Under 18 years","178","±113","27.3%","±10.2","61","±46","18.7%","±10.0","117","±71","36.0%","±11.1"
"        18 to 24 years","9","±9","1.4%","±1.5","7","±7","2.1%","±2.2","2","±3","0.6%","±1.1"
"        15 to 44 years","116","±46","17.8%","±4.4","34","±16","10.4%","±5.3","82","±42","25.2%","±6.8"
"        16 years and over","479","±128","73.5%","±10.5","268","±74","82.0%","±10.2","211","±59","64.9%","±11.3"
"        18 years and over","474","±127","72.7%","±10.2","266","±72","81.3%","±10.0","208","±59","64.0%","±11.1"
"        21 years and over","471","±127","72.2%","±10.2","265","±72","81.0%","±10.1","206","±59","63.4%","±10.9"
"        60 years and over","184","±50","28.2%","±10.8","106","±35","32.4%","±12.4","78","±23","24.0%","±10.0"
"        62 years and over","165","±48","25.3%","±10.1","100","±34","30.6%","±12.0","65","±23","20.0%","±9.2"
"        65 years and over","130","±35","19.9%","±7.6","68","±21","20.8%","±7.9","62","±21","19.1%","±8.7"
"        75 years and over","42","±18","6.4%","±3.3","25","±11","7.6%","±3.9","17","±10","5.2%","±3.5"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","48.0","±11.1","(X)","(X)","54.5","±8.9","(X)","(X)","43.5","±3.3","(X)","(X)"
"        Sex ratio (males per 100 females)","100.6","±17.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","89.5","±27.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","37.8","±16.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","51.7","±25.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
