"Label (Grouping)","ZCTA5 40222!!Total!!Estimate","ZCTA5 40222!!Total!!Margin of Error","ZCTA5 40222!!Percent!!Estimate","ZCTA5 40222!!Percent!!Margin of Error","ZCTA5 40222!!Male!!Estimate","ZCTA5 40222!!Male!!Margin of Error","ZCTA5 40222!!Percent Male!!Estimate","ZCTA5 40222!!Percent Male!!Margin of Error","ZCTA5 40222!!Female!!Estimate","ZCTA5 40222!!Female!!Margin of Error","ZCTA5 40222!!Percent Female!!Estimate","ZCTA5 40222!!Percent Female!!Margin of Error"
"Total population","21,634","±972","(X)","(X)","10,585","±703","(X)","(X)","11,049","±681","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,101","±265","5.1%","±1.2","481","±180","4.5%","±1.7","620","±204","5.6%","±1.8"
"        5 to 9 years","1,465","±323","6.8%","±1.4","897","±284","8.5%","±2.4","568","±226","5.1%","±1.9"
"        10 to 14 years","918","±215","4.2%","±1.0","515","±204","4.9%","±1.9","403","±128","3.6%","±1.1"
"        15 to 19 years","840","±146","3.9%","±0.7","544","±133","5.1%","±1.2","296","±94","2.7%","±0.8"
"        20 to 24 years","1,117","±299","5.2%","±1.3","671","±235","6.3%","±2.1","446","±159","4.0%","±1.4"
"        25 to 29 years","2,007","±362","9.3%","±1.6","848","±194","8.0%","±1.8","1,159","±264","10.5%","±2.2"
"        30 to 34 years","1,814","±337","8.4%","±1.5","965","±235","9.1%","±2.2","849","±168","7.7%","±1.5"
"        35 to 39 years","1,364","±285","6.3%","±1.2","748","±186","7.1%","±1.7","616","±186","5.6%","±1.7"
"        40 to 44 years","1,399","±270","6.5%","±1.3","674","±171","6.4%","±1.6","725","±158","6.6%","±1.4"
"        45 to 49 years","1,067","±300","4.9%","±1.4","543","±173","5.1%","±1.7","524","±169","4.7%","±1.6"
"        50 to 54 years","1,113","±279","5.1%","±1.2","507","±179","4.8%","±1.7","606","±178","5.5%","±1.6"
"        55 to 59 years","1,246","±250","5.8%","±1.1","576","±130","5.4%","±1.2","670","±173","6.1%","±1.5"
"        60 to 64 years","1,515","±288","7.0%","±1.3","619","±147","5.8%","±1.4","896","±213","8.1%","±1.8"
"        65 to 69 years","1,063","±187","4.9%","±0.9","502","±129","4.7%","±1.2","561","±136","5.1%","±1.2"
"        70 to 74 years","1,173","±288","5.4%","±1.3","611","±195","5.8%","±1.8","562","±143","5.1%","±1.3"
"        75 to 79 years","814","±207","3.8%","±0.9","338","±133","3.2%","±1.2","476","±158","4.3%","±1.4"
"        80 to 84 years","628","±177","2.9%","±0.8","251","±101","2.4%","±1.0","377","±118","3.4%","±1.1"
"        85 years and over","990","±218","4.6%","±1.0","295","±102","2.8%","±1.0","695","±174","6.3%","±1.6"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,383","±410","11.0%","±1.7","1,412","±406","13.3%","±3.5","971","±277","8.8%","±2.3"
"        15 to 17 years","612","±131","2.8%","±0.6","372","±116","3.5%","±1.1","240","±90","2.2%","±0.8"
"        Under 18 years","4,096","±533","18.9%","±2.2","2,265","±408","21.4%","±3.2","1,831","±360","16.6%","±2.8"
"        18 to 24 years","1,345","±314","6.2%","±1.4","843","±231","8.0%","±2.0","502","±178","4.5%","±1.6"
"        15 to 44 years","8,541","±621","39.5%","±2.3","4,450","±437","42.0%","±3.0","4,091","±364","37.0%","±2.8"
"        16 years and over","17,931","±854","82.9%","±2.2","8,562","±573","80.9%","±3.2","9,369","±557","84.8%","±2.7"
"        18 years and over","17,538","±836","81.1%","±2.2","8,320","±549","78.6%","±3.2","9,218","±563","83.4%","±2.8"
"        21 years and over","17,080","±819","78.9%","±2.3","7,989","±529","75.5%","±3.4","9,091","±551","82.3%","±2.7"
"        60 years and over","6,183","±512","28.6%","±2.2","2,616","±317","24.7%","±2.9","3,567","±325","32.3%","±2.5"
"        62 years and over","5,491","±467","25.4%","±2.1","2,349","±297","22.2%","±2.8","3,142","±290","28.4%","±2.6"
"        65 years and over","4,668","±394","21.6%","±1.8","1,997","±279","18.9%","±2.6","2,671","±246","24.2%","±2.3"
"        75 years and over","2,432","±309","11.2%","±1.5","884","±180","8.4%","±1.7","1,548","±209","14.0%","±1.9"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","40.6","±2.0","(X)","(X)","37.3","±3.0","(X)","(X)","43.1","±3.4","(X)","(X)"
"        Sex ratio (males per 100 females)","95.8","±8.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","68.1","±5.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","36.3","±3.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.8","±4.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
