"Label (Grouping)","ZCTA5 40205!!Total!!Estimate","ZCTA5 40205!!Total!!Margin of Error","ZCTA5 40205!!Percent!!Estimate","ZCTA5 40205!!Percent!!Margin of Error","ZCTA5 40205!!Male!!Estimate","ZCTA5 40205!!Male!!Margin of Error","ZCTA5 40205!!Percent Male!!Estimate","ZCTA5 40205!!Percent Male!!Margin of Error","ZCTA5 40205!!Female!!Estimate","ZCTA5 40205!!Female!!Margin of Error","ZCTA5 40205!!Percent Female!!Estimate","ZCTA5 40205!!Percent Female!!Margin of Error"
"Total population","24,335","±1,397","(X)","(X)","12,049","±840","(X)","(X)","12,286","±754","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,179","±286","4.8%","±1.1","685","±218","5.7%","±1.6","494","±148","4.0%","±1.2"
"        5 to 9 years","1,388","±259","5.7%","±1.0","813","±255","6.7%","±1.9","575","±134","4.7%","±1.1"
"        10 to 14 years","1,401","±436","5.8%","±1.7","610","±184","5.1%","±1.5","791","±337","6.4%","±2.6"
"        15 to 19 years","1,805","±257","7.4%","±1.0","875","±205","7.3%","±1.7","930","±182","7.6%","±1.3"
"        20 to 24 years","1,415","±277","5.8%","±1.1","708","±243","5.9%","±2.0","707","±155","5.8%","±1.2"
"        25 to 29 years","1,282","±358","5.3%","±1.4","659","±183","5.5%","±1.4","623","±222","5.1%","±1.7"
"        30 to 34 years","1,469","±244","6.0%","±1.0","939","±191","7.8%","±1.5","530","±122","4.3%","±1.0"
"        35 to 39 years","1,437","±315","5.9%","±1.3","695","±197","5.8%","±1.6","742","±159","6.0%","±1.4"
"        40 to 44 years","1,708","±432","7.0%","±1.6","750","±232","6.2%","±1.8","958","±254","7.8%","±1.8"
"        45 to 49 years","1,801","±246","7.4%","±1.0","940","±163","7.8%","±1.4","861","±179","7.0%","±1.4"
"        50 to 54 years","1,396","±282","5.7%","±1.1","725","±203","6.0%","±1.7","671","±184","5.5%","±1.5"
"        55 to 59 years","1,603","±306","6.6%","±1.3","845","±203","7.0%","±1.6","758","±211","6.2%","±1.7"
"        60 to 64 years","1,630","±254","6.7%","±1.1","676","±175","5.6%","±1.5","954","±153","7.8%","±1.3"
"        65 to 69 years","1,457","±187","6.0%","±0.8","674","±128","5.6%","±1.0","783","±120","6.4%","±1.0"
"        70 to 74 years","1,456","±213","6.0%","±0.9","671","±138","5.6%","±1.2","785","±144","6.4%","±1.2"
"        75 to 79 years","948","±168","3.9%","±0.7","389","±117","3.2%","±1.0","559","±114","4.5%","±0.9"
"        80 to 84 years","470","±98","1.9%","±0.4","168","±56","1.4%","±0.5","302","±80","2.5%","±0.6"
"        85 years and over","490","±136","2.0%","±0.6","227","±109","1.9%","±0.9","263","±107","2.1%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,789","±581","11.5%","±2.1","1,423","±306","11.8%","±2.2","1,366","±339","11.1%","±2.5"
"        15 to 17 years","919","±208","3.8%","±0.9","494","±174","4.1%","±1.4","425","±113","3.5%","±0.9"
"        Under 18 years","4,887","±639","20.1%","±1.9","2,602","±403","21.6%","±2.5","2,285","±372","18.6%","±2.4"
"        18 to 24 years","2,301","±309","9.5%","±1.2","1,089","±278","9.0%","±2.3","1,212","±221","9.9%","±1.6"
"        15 to 44 years","9,116","±755","37.5%","±1.9","4,626","±488","38.4%","±2.7","4,490","±462","36.5%","±2.5"
"        16 years and over","20,125","±1,051","82.7%","±2.1","9,798","±650","81.3%","±2.7","10,327","±608","84.1%","±2.4"
"        18 years and over","19,448","±1,024","79.9%","±1.9","9,447","±635","78.4%","±2.5","10,001","±581","81.4%","±2.4"
"        21 years and over","18,125","±971","74.5%","±1.9","8,832","±617","73.3%","±2.5","9,293","±522","75.6%","±2.5"
"        60 years and over","6,451","±415","26.5%","±1.9","2,805","±284","23.3%","±2.3","3,646","±257","29.7%","±2.1"
"        62 years and over","5,786","±379","23.8%","±1.7","2,565","±264","21.3%","±2.2","3,221","±242","26.2%","±1.9"
"        65 years and over","4,821","±366","19.8%","±1.5","2,129","±239","17.7%","±1.8","2,692","±223","21.9%","±1.7"
"        75 years and over","1,908","±265","7.8%","±1.1","784","±179","6.5%","±1.4","1,124","±181","9.1%","±1.4"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","42.5","±1.5","(X)","(X)","40.8","±3.4","(X)","(X)","43.9","±1.8","(X)","(X)"
"        Sex ratio (males per 100 females)","98.1","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","66.4","±5.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","33.0","±3.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.4","±4.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
