"Label (Grouping)","ZCTA5 40216!!Total!!Estimate","ZCTA5 40216!!Total!!Margin of Error","ZCTA5 40216!!Percent!!Estimate","ZCTA5 40216!!Percent!!Margin of Error","ZCTA5 40216!!Male!!Estimate","ZCTA5 40216!!Male!!Margin of Error","ZCTA5 40216!!Percent Male!!Estimate","ZCTA5 40216!!Percent Male!!Margin of Error","ZCTA5 40216!!Female!!Estimate","ZCTA5 40216!!Female!!Margin of Error","ZCTA5 40216!!Percent Female!!Estimate","ZCTA5 40216!!Percent Female!!Margin of Error"
"Total population","43,764","±2,332","(X)","(X)","20,437","±1,275","(X)","(X)","23,327","±1,544","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,598","±627","5.9%","±1.3","1,223","±346","6.0%","±1.5","1,375","±577","5.9%","±2.4"
"        5 to 9 years","2,593","±733","5.9%","±1.5","1,786","±696","8.7%","±3.2","807","±251","3.5%","±1.0"
"        10 to 14 years","3,296","±680","7.5%","±1.4","1,361","±348","6.7%","±1.6","1,935","±498","8.3%","±1.9"
"        15 to 19 years","2,712","±582","6.2%","±1.3","1,610","±422","7.9%","±1.9","1,102","±296","4.7%","±1.2"
"        20 to 24 years","2,676","±498","6.1%","±1.1","1,426","±378","7.0%","±1.9","1,250","±370","5.4%","±1.5"
"        25 to 29 years","2,738","±459","6.3%","±1.0","1,245","±337","6.1%","±1.6","1,493","±384","6.4%","±1.6"
"        30 to 34 years","2,232","±737","5.1%","±1.7","910","±258","4.5%","±1.3","1,322","±640","5.7%","±2.7"
"        35 to 39 years","3,297","±655","7.5%","±1.4","1,310","±385","6.4%","±1.8","1,987","±382","8.5%","±1.5"
"        40 to 44 years","2,665","±487","6.1%","±1.1","1,104","±333","5.4%","±1.6","1,561","±353","6.7%","±1.5"
"        45 to 49 years","1,886","±458","4.3%","±1.0","903","±312","4.4%","±1.5","983","±270","4.2%","±1.1"
"        50 to 54 years","2,828","±541","6.5%","±1.2","1,201","±329","5.9%","±1.6","1,627","±322","7.0%","±1.3"
"        55 to 59 years","2,782","±484","6.4%","±1.1","1,351","±318","6.6%","±1.5","1,431","±327","6.1%","±1.5"
"        60 to 64 years","3,795","±562","8.7%","±1.4","1,658","±326","8.1%","±1.7","2,137","±375","9.2%","±1.7"
"        65 to 69 years","3,361","±515","7.7%","±1.2","1,654","±407","8.1%","±2.0","1,707","±346","7.3%","±1.5"
"        70 to 74 years","2,070","±369","4.7%","±0.8","781","±173","3.8%","±0.8","1,289","±271","5.5%","±1.2"
"        75 to 79 years","877","±229","2.0%","±0.5","394","±154","1.9%","±0.7","483","±137","2.1%","±0.6"
"        80 to 84 years","621","±226","1.4%","±0.5","240","±130","1.2%","±0.6","381","±140","1.6%","±0.6"
"        85 years and over","737","±194","1.7%","±0.5","280","±125","1.4%","±0.6","457","±126","2.0%","±0.6"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","5,889","±1,027","13.5%","±1.9","3,147","±794","15.4%","±3.4","2,742","±613","11.8%","±2.2"
"        15 to 17 years","1,758","±458","4.0%","±1.0","1,023","±312","5.0%","±1.5","735","±241","3.2%","±1.0"
"        Under 18 years","10,245","±1,544","23.4%","±2.7","5,393","±1,018","26.4%","±4.0","4,852","±912","20.8%","±3.2"
"        18 to 24 years","3,630","±547","8.3%","±1.2","2,013","±433","9.8%","±2.1","1,617","±374","6.9%","±1.5"
"        15 to 44 years","16,320","±1,144","37.3%","±1.8","7,605","±801","37.2%","±3.5","8,715","±1,023","37.4%","±3.0"
"        16 years and over","34,598","±1,591","79.1%","±2.7","15,701","±953","76.8%","±4.0","18,897","±1,204","81.0%","±3.2"
"        18 years and over","33,519","±1,564","76.6%","±2.7","15,044","±900","73.6%","±4.0","18,475","±1,185","79.2%","±3.2"
"        21 years and over","31,993","±1,504","73.1%","±2.8","14,237","±861","69.7%","±4.0","17,756","±1,112","76.1%","±3.3"
"        60 years and over","11,461","±844","26.2%","±2.1","5,007","±546","24.5%","±2.8","6,454","±533","27.7%","±2.6"
"        62 years and over","10,254","±822","23.4%","±2.0","4,636","±534","22.7%","±2.7","5,618","±539","24.1%","±2.5"
"        65 years and over","7,666","±730","17.5%","±1.7","3,349","±461","16.4%","±2.2","4,317","±460","18.5%","±2.1"
"        75 years and over","2,235","±377","5.1%","±0.9","914","±253","4.5%","±1.2","1,321","±205","5.7%","±1.0"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.2","±3.0","(X)","(X)","36.6","±2.4","(X)","(X)","41.2","±2.4","(X)","(X)"
"        Sex ratio (males per 100 females)","87.6","±6.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","69.3","±7.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","29.7","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.6","±6.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
