"Label (Grouping)","ZCTA5 40203!!Total!!Estimate","ZCTA5 40203!!Total!!Margin of Error","ZCTA5 40203!!Percent!!Estimate","ZCTA5 40203!!Percent!!Margin of Error","ZCTA5 40203!!Male!!Estimate","ZCTA5 40203!!Male!!Margin of Error","ZCTA5 40203!!Percent Male!!Estimate","ZCTA5 40203!!Percent Male!!Margin of Error","ZCTA5 40203!!Female!!Estimate","ZCTA5 40203!!Female!!Margin of Error","ZCTA5 40203!!Percent Female!!Estimate","ZCTA5 40203!!Percent Female!!Margin of Error"
"Total population","17,540","±1,631","(X)","(X)","8,458","±1,026","(X)","(X)","9,082","±960","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","1,195","±311","6.8%","±1.6","605","±223","7.2%","±2.4","590","±206","6.5%","±2.1"
"        5 to 9 years","719","±210","4.1%","±1.1","298","±141","3.5%","±1.6","421","±149","4.6%","±1.6"
"        10 to 14 years","820","±269","4.7%","±1.3","405","±183","4.8%","±1.9","415","±184","4.6%","±1.9"
"        15 to 19 years","1,193","±384","6.8%","±1.9","632","±223","7.5%","±2.3","561","±298","6.2%","±3.0"
"        20 to 24 years","1,505","±401","8.6%","±2.2","572","±203","6.8%","±2.4","933","±316","10.3%","±3.1"
"        25 to 29 years","1,839","±346","10.5%","±1.9","732","±239","8.7%","±2.7","1,107","±314","12.2%","±3.5"
"        30 to 34 years","1,547","±438","8.8%","±2.4","814","±314","9.6%","±3.5","733","±223","8.1%","±2.5"
"        35 to 39 years","845","±267","4.8%","±1.5","434","±210","5.1%","±2.4","411","±139","4.5%","±1.5"
"        40 to 44 years","1,118","±361","6.4%","±1.9","596","±229","7.0%","±2.6","522","±196","5.7%","±2.2"
"        45 to 49 years","937","±370","5.3%","±2.0","411","±195","4.9%","±2.3","526","±303","5.8%","±3.0"
"        50 to 54 years","1,135","±279","6.5%","±1.6","600","±203","7.1%","±2.2","535","±192","5.9%","±2.1"
"        55 to 59 years","1,138","±272","6.5%","±1.3","734","±238","8.7%","±2.6","404","±140","4.4%","±1.5"
"        60 to 64 years","1,214","±305","6.9%","±1.8","647","±208","7.6%","±2.5","567","±178","6.2%","±2.0"
"        65 to 69 years","1,100","±245","6.3%","±1.4","635","±202","7.5%","±2.4","465","±164","5.1%","±1.9"
"        70 to 74 years","469","±201","2.7%","±1.1","151","±83","1.8%","±0.9","318","±138","3.5%","±1.5"
"        75 to 79 years","348","±111","2.0%","±0.7","146","±64","1.7%","±0.8","202","±92","2.2%","±1.0"
"        80 to 84 years","142","±80","0.8%","±0.5","27","±27","0.3%","±0.3","115","±73","1.3%","±0.8"
"        85 years and over","276","±116","1.6%","±0.7","19","±24","0.2%","±0.3","257","±109","2.8%","±1.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,539","±385","8.8%","±1.8","703","±260","8.3%","±2.6","836","±252","9.2%","±2.5"
"        15 to 17 years","492","±219","2.8%","±1.2","342","±171","4.0%","±1.9","150","±107","1.7%","±1.2"
"        Under 18 years","3,226","±632","18.4%","±2.7","1,650","±451","19.5%","±4.0","1,576","±355","17.4%","±3.3"
"        18 to 24 years","2,206","±544","12.6%","±2.7","862","±238","10.2%","±2.6","1,344","±460","14.8%","±4.2"
"        15 to 44 years","8,047","±926","45.9%","±2.9","3,780","±596","44.7%","±4.4","4,267","±610","47.0%","±4.3"
"        16 years and over","14,583","±1,277","83.1%","±2.6","6,956","±777","82.2%","±3.9","7,627","±839","84.0%","±3.3"
"        18 years and over","14,314","±1,268","81.6%","±2.7","6,808","±763","80.5%","±4.0","7,506","±824","82.6%","±3.3"
"        21 years and over","13,261","±1,068","75.6%","±3.2","6,487","±734","76.7%","±4.1","6,774","±571","74.6%","±4.6"
"        60 years and over","3,549","±440","20.2%","±2.7","1,625","±272","19.2%","±3.2","1,924","±317","21.2%","±3.8"
"        62 years and over","2,904","±344","16.6%","±2.1","1,274","±236","15.1%","±2.8","1,630","±242","17.9%","±3.1"
"        65 years and over","2,335","±331","13.3%","±1.9","978","±213","11.6%","±2.5","1,357","±244","14.9%","±3.0"
"        75 years and over","766","±175","4.4%","±1.1","192","±73","2.3%","±0.9","574","±151","6.3%","±1.8"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","34.8","±2.5","(X)","(X)","36.4","±4.0","(X)","(X)","33.1","±3.5","(X)","(X)"
"        Sex ratio (males per 100 females)","93.1","±12.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","46.4","±6.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","19.5","±3.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","26.9","±4.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
