"Label (Grouping)","ZCTA5 40212!!Total!!Estimate","ZCTA5 40212!!Total!!Margin of Error","ZCTA5 40212!!Percent!!Estimate","ZCTA5 40212!!Percent!!Margin of Error","ZCTA5 40212!!Male!!Estimate","ZCTA5 40212!!Male!!Margin of Error","ZCTA5 40212!!Percent Male!!Estimate","ZCTA5 40212!!Percent Male!!Margin of Error","ZCTA5 40212!!Female!!Estimate","ZCTA5 40212!!Female!!Margin of Error","ZCTA5 40212!!Percent Female!!Estimate","ZCTA5 40212!!Percent Female!!Margin of Error"
"Total population","15,160","±1,219","(X)","(X)","7,197","±660","(X)","(X)","7,963","±908","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","779","±334","5.1%","±2.1","468","±306","6.5%","±4.0","311","±152","3.9%","±1.8"
"        5 to 9 years","743","±169","4.9%","±1.1","402","±145","5.6%","±2.0","341","±114","4.3%","±1.3"
"        10 to 14 years","1,404","±332","9.3%","±1.9","557","±175","7.7%","±2.4","847","±244","10.6%","±2.6"
"        15 to 19 years","1,157","±317","7.6%","±1.9","465","±182","6.5%","±2.5","692","±219","8.7%","±2.4"
"        20 to 24 years","943","±237","6.2%","±1.5","496","±177","6.9%","±2.4","447","±183","5.6%","±2.2"
"        25 to 29 years","628","±234","4.1%","±1.5","391","±193","5.4%","±2.6","237","±133","3.0%","±1.7"
"        30 to 34 years","917","±260","6.0%","±1.7","380","±163","5.3%","±2.1","537","±169","6.7%","±2.2"
"        35 to 39 years","1,350","±291","8.9%","±1.8","693","±176","9.6%","±2.3","657","±197","8.3%","±2.3"
"        40 to 44 years","683","±203","4.5%","±1.3","171","±111","2.4%","±1.5","512","±156","6.4%","±1.8"
"        45 to 49 years","724","±204","4.8%","±1.3","299","±117","4.2%","±1.5","425","±166","5.3%","±1.9"
"        50 to 54 years","1,240","±256","8.2%","±1.5","630","±178","8.8%","±2.4","610","±175","7.7%","±2.1"
"        55 to 59 years","875","±220","5.8%","±1.4","477","±168","6.6%","±2.3","398","±152","5.0%","±1.9"
"        60 to 64 years","1,176","±327","7.8%","±2.0","473","±142","6.6%","±2.0","703","±287","8.8%","±3.3"
"        65 to 69 years","1,116","±258","7.4%","±1.8","642","±162","8.9%","±2.3","474","±153","6.0%","±2.0"
"        70 to 74 years","553","±171","3.6%","±1.1","237","±108","3.3%","±1.5","316","±112","4.0%","±1.4"
"        75 to 79 years","316","±129","2.1%","±0.8","213","±115","3.0%","±1.6","103","±45","1.3%","±0.6"
"        80 to 84 years","353","±188","2.3%","±1.2","135","±124","1.9%","±1.7","218","±131","2.7%","±1.6"
"        85 years and over","203","±87","1.3%","±0.6","68","±47","0.9%","±0.7","135","±66","1.7%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","2,147","±360","14.2%","±1.9","959","±183","13.3%","±2.4","1,188","±274","14.9%","±2.6"
"        15 to 17 years","677","±180","4.5%","±1.1","318","±128","4.4%","±1.7","359","±130","4.5%","±1.5"
"        Under 18 years","3,603","±551","23.8%","±2.7","1,745","±369","24.2%","±4.2","1,858","±384","23.3%","±3.3"
"        18 to 24 years","1,423","±306","9.4%","±1.8","643","±208","8.9%","±2.8","780","±248","9.8%","±2.7"
"        15 to 44 years","5,678","±663","37.5%","±3.1","2,596","±422","36.1%","±4.3","3,082","±466","38.7%","±4.1"
"        16 years and over","11,956","±974","78.9%","±2.7","5,619","±558","78.1%","±4.3","6,337","±700","79.6%","±3.0"
"        18 years and over","11,557","±933","76.2%","±2.7","5,452","±531","75.8%","±4.2","6,105","±666","76.7%","±3.3"
"        21 years and over","10,960","±857","72.3%","±3.0","5,225","±526","72.6%","±4.3","5,735","±601","72.0%","±3.4"
"        60 years and over","3,717","±502","24.5%","±3.2","1,768","±271","24.6%","±4.0","1,949","±351","24.5%","±4.0"
"        62 years and over","3,313","±477","21.9%","±3.0","1,587","±250","22.1%","±3.6","1,726","±340","21.7%","±3.9"
"        65 years and over","2,541","±348","16.8%","±2.4","1,295","±251","18.0%","±3.6","1,246","±215","15.6%","±2.9"
"        75 years and over","872","±237","5.8%","±1.5","416","±172","5.8%","±2.4","456","±140","5.7%","±1.8"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","38.5","±2.3","(X)","(X)","37.1","±3.6","(X)","(X)","39.0","±3.0","(X)","(X)"
"        Sex ratio (males per 100 females)","90.4","±11.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","68.1","±7.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.2","±4.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","40.0","±5.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","3.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
