"Label (Grouping)","ZCTA5 40245!!Total!!Estimate","ZCTA5 40245!!Total!!Margin of Error","ZCTA5 40245!!Percent!!Estimate","ZCTA5 40245!!Percent!!Margin of Error","ZCTA5 40245!!Male!!Estimate","ZCTA5 40245!!Male!!Margin of Error","ZCTA5 40245!!Percent Male!!Estimate","ZCTA5 40245!!Percent Male!!Margin of Error","ZCTA5 40245!!Female!!Estimate","ZCTA5 40245!!Female!!Margin of Error","ZCTA5 40245!!Percent Female!!Estimate","ZCTA5 40245!!Percent Female!!Margin of Error"
"Total population","39,261","±2,057","(X)","(X)","19,173","±1,109","(X)","(X)","20,088","±1,224","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","2,768","±432","7.1%","±1.1","1,432","±311","7.5%","±1.6","1,336","±272","6.7%","±1.3"
"        5 to 9 years","1,983","±277","5.1%","±0.7","1,059","±238","5.5%","±1.2","924","±191","4.6%","±1.0"
"        10 to 14 years","2,493","±321","6.3%","±0.8","1,336","±247","7.0%","±1.3","1,157","±230","5.8%","±1.1"
"        15 to 19 years","2,813","±546","7.2%","±1.3","1,667","±454","8.7%","±2.2","1,146","±246","5.7%","±1.2"
"        20 to 24 years","2,058","±447","5.2%","±1.1","832","±233","4.3%","±1.2","1,226","±339","6.1%","±1.6"
"        25 to 29 years","2,152","±560","5.5%","±1.3","1,049","±353","5.5%","±1.7","1,103","±362","5.5%","±1.7"
"        30 to 34 years","2,216","±365","5.6%","±1.0","935","±209","4.9%","±1.1","1,281","±248","6.4%","±1.3"
"        35 to 39 years","2,821","±402","7.2%","±1.0","1,404","±301","7.3%","±1.5","1,417","±227","7.1%","±1.1"
"        40 to 44 years","2,500","±439","6.4%","±1.0","1,076","±241","5.6%","±1.2","1,424","±263","7.1%","±1.2"
"        45 to 49 years","2,496","±317","6.4%","±0.9","1,232","±236","6.4%","±1.3","1,264","±222","6.3%","±1.2"
"        50 to 54 years","3,272","±477","8.3%","±1.1","1,623","±275","8.5%","±1.4","1,649","±348","8.2%","±1.6"
"        55 to 59 years","2,794","±464","7.1%","±1.1","1,426","±298","7.4%","±1.5","1,368","±260","6.8%","±1.2"
"        60 to 64 years","2,398","±449","6.1%","±1.1","1,020","±209","5.3%","±1.1","1,378","±365","6.9%","±1.8"
"        65 to 69 years","2,366","±436","6.0%","±1.0","1,157","±337","6.0%","±1.7","1,209","±230","6.0%","±1.1"
"        70 to 74 years","1,733","±283","4.4%","±0.7","850","±192","4.4%","±1.0","883","±201","4.4%","±1.0"
"        75 to 79 years","1,255","±418","3.2%","±1.1","506","±207","2.6%","±1.1","749","±257","3.7%","±1.3"
"        80 to 84 years","812","±346","2.1%","±0.9","444","±215","2.3%","±1.1","368","±242","1.8%","±1.2"
"        85 years and over","331","±120","0.8%","±0.3","125","±72","0.7%","±0.4","206","±98","1.0%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","4,476","±438","11.4%","±1.1","2,395","±384","12.5%","±1.9","2,081","±317","10.4%","±1.6"
"        15 to 17 years","1,674","±303","4.3%","±0.8","803","±211","4.2%","±1.1","871","±206","4.3%","±1.0"
"        Under 18 years","8,918","±670","22.7%","±1.6","4,630","±582","24.1%","±2.7","4,288","±410","21.3%","±1.8"
"        18 to 24 years","3,197","±699","8.1%","±1.6","1,696","±437","8.8%","±2.1","1,501","±361","7.5%","±1.6"
"        15 to 44 years","14,560","±1,205","37.1%","±1.9","6,963","±746","36.3%","±2.6","7,597","±658","37.8%","±2.1"
"        16 years and over","31,468","±1,869","80.2%","±1.5","15,053","±1,004","78.5%","±2.7","16,415","±1,108","81.7%","±1.8"
"        18 years and over","30,343","±1,834","77.3%","±1.6","14,543","±998","75.9%","±2.7","15,800","±1,084","78.7%","±1.8"
"        21 years and over","28,859","±1,669","73.5%","±1.7","13,626","±909","71.1%","±3.0","15,233","±1,036","75.8%","±2.1"
"        60 years and over","8,895","±956","22.7%","±2.1","4,102","±465","21.4%","±2.2","4,793","±604","23.9%","±2.7"
"        62 years and over","7,995","±964","20.4%","±2.1","3,749","±478","19.6%","±2.3","4,246","±610","21.1%","±2.7"
"        65 years and over","6,497","±755","16.5%","±1.7","3,082","±416","16.1%","±2.0","3,415","±504","17.0%","±2.3"
"        75 years and over","2,398","±520","6.1%","±1.3","1,075","±271","5.6%","±1.4","1,323","±364","6.6%","±1.7"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","40.8","±1.4","(X)","(X)","39.6","±1.9","(X)","(X)","41.6","±1.6","(X)","(X)"
"        Sex ratio (males per 100 females)","95.4","±5.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","64.6","±5.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.2","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","37.4","±3.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
