"Label (Grouping)","ZCTA5 40242!!Total!!Estimate","ZCTA5 40242!!Total!!Margin of Error","ZCTA5 40242!!Percent!!Estimate","ZCTA5 40242!!Percent!!Margin of Error","ZCTA5 40242!!Male!!Estimate","ZCTA5 40242!!Male!!Margin of Error","ZCTA5 40242!!Percent Male!!Estimate","ZCTA5 40242!!Percent Male!!Margin of Error","ZCTA5 40242!!Female!!Estimate","ZCTA5 40242!!Female!!Margin of Error","ZCTA5 40242!!Percent Female!!Estimate","ZCTA5 40242!!Percent Female!!Margin of Error"
"Total population","11,099","±832","(X)","(X)","5,120","±522","(X)","(X)","5,979","±531","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","979","±301","8.8%","±2.5","551","±275","10.8%","±4.8","428","±135","7.2%","±2.1"
"        5 to 9 years","667","±210","6.0%","±1.8","285","±82","5.6%","±1.6","382","±168","6.4%","±2.7"
"        10 to 14 years","604","±155","5.4%","±1.3","281","±106","5.5%","±2.1","323","±104","5.4%","±1.7"
"        15 to 19 years","603","±175","5.4%","±1.4","242","±83","4.7%","±1.5","361","±142","6.0%","±2.1"
"        20 to 24 years","457","±150","4.1%","±1.3","186","±84","3.6%","±1.6","271","±132","4.5%","±2.2"
"        25 to 29 years","1,064","±302","9.6%","±2.6","512","±196","10.0%","±3.5","552","±204","9.2%","±3.3"
"        30 to 34 years","971","±303","8.7%","±2.6","501","±237","9.8%","±4.4","470","±146","7.9%","±2.4"
"        35 to 39 years","642","±150","5.8%","±1.3","354","±104","6.9%","±2.1","288","±94","4.8%","±1.5"
"        40 to 44 years","606","±112","5.5%","±1.0","264","±68","5.2%","±1.3","342","±88","5.7%","±1.5"
"        45 to 49 years","645","±160","5.8%","±1.4","275","±68","5.4%","±1.4","370","±132","6.2%","±2.0"
"        50 to 54 years","539","±101","4.9%","±1.0","278","±77","5.4%","±1.6","261","±66","4.4%","±1.1"
"        55 to 59 years","589","±160","5.3%","±1.5","277","±74","5.4%","±1.4","312","±135","5.2%","±2.2"
"        60 to 64 years","698","±144","6.3%","±1.2","346","±104","6.8%","±1.9","352","±87","5.9%","±1.5"
"        65 to 69 years","747","±177","6.7%","±1.6","263","±61","5.1%","±1.3","484","±157","8.1%","±2.6"
"        70 to 74 years","516","±102","4.6%","±1.0","208","±49","4.1%","±1.0","308","±77","5.2%","±1.3"
"        75 to 79 years","403","±91","3.6%","±0.9","138","±34","2.7%","±0.7","265","±78","4.4%","±1.3"
"        80 to 84 years","190","±48","1.7%","±0.5","61","±19","1.2%","±0.4","129","±44","2.2%","±0.8"
"        85 years and over","179","±49","1.6%","±0.4","98","±45","1.9%","±0.9","81","±28","1.4%","±0.5"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","1,271","±274","11.5%","±2.2","566","±143","11.1%","±2.8","705","±197","11.8%","±3.0"
"        15 to 17 years","494","±171","4.5%","±1.4","163","±63","3.2%","±1.2","331","±145","5.5%","±2.2"
"        Under 18 years","2,744","±481","24.7%","±3.3","1,280","±312","25.0%","±4.8","1,464","±309","24.5%","±3.9"
"        18 to 24 years","566","±155","5.1%","±1.3","265","±94","5.2%","±1.6","301","±132","5.0%","±2.2"
"        15 to 44 years","4,343","±528","39.1%","±3.0","2,059","±345","40.2%","±4.5","2,284","±322","38.2%","±3.5"
"        16 years and over","8,669","±645","78.1%","±3.3","3,967","±400","77.5%","±4.8","4,702","±428","78.6%","±4.0"
"        18 years and over","8,355","±606","75.3%","±3.3","3,840","±394","75.0%","±4.8","4,515","±374","75.5%","±3.9"
"        21 years and over","8,147","±585","73.4%","±3.3","3,709","±362","72.4%","±4.6","4,438","±377","74.2%","±3.9"
"        60 years and over","2,733","±277","24.6%","±2.6","1,114","±141","21.8%","±3.1","1,619","±218","27.1%","±3.8"
"        62 years and over","2,396","±255","21.6%","±2.6","960","±125","18.8%","±2.8","1,436","±198","24.0%","±3.5"
"        65 years and over","2,035","±226","18.3%","±2.3","768","±97","15.0%","±2.4","1,267","±189","21.2%","±3.3"
"        75 years and over","772","±113","7.0%","±1.2","297","±59","5.8%","±1.2","475","±89","7.9%","±1.6"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","36.3","±3.0","(X)","(X)","35.0","±4.0","(X)","(X)","38.3","±5.1","(X)","(X)"
"        Sex ratio (males per 100 females)","85.6","±10.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","75.6","±9.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","32.2","±4.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","43.4","±7.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
