"Label (Grouping)","ZCTA5 40211!!Total!!Estimate","ZCTA5 40211!!Total!!Margin of Error","ZCTA5 40211!!Percent!!Estimate","ZCTA5 40211!!Percent!!Margin of Error","ZCTA5 40211!!Male!!Estimate","ZCTA5 40211!!Male!!Margin of Error","ZCTA5 40211!!Percent Male!!Estimate","ZCTA5 40211!!Percent Male!!Margin of Error","ZCTA5 40211!!Female!!Estimate","ZCTA5 40211!!Female!!Margin of Error","ZCTA5 40211!!Percent Female!!Estimate","ZCTA5 40211!!Percent Female!!Margin of Error"
"Total population","21,165","±1,737","(X)","(X)","8,953","±945","(X)","(X)","12,212","±1,203","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","923","±287","4.4%","±1.2","523","±227","5.8%","±2.3","400","±155","3.3%","±1.2"
"        5 to 9 years","1,669","±418","7.9%","±1.8","916","±325","10.2%","±3.5","753","±246","6.2%","±1.9"
"        10 to 14 years","2,077","±399","9.8%","±1.5","1,111","±306","12.4%","±3.0","966","±303","7.9%","±2.1"
"        15 to 19 years","1,645","±454","7.8%","±1.9","791","±306","8.8%","±3.2","854","±312","7.0%","±2.3"
"        20 to 24 years","1,375","±411","6.5%","±1.8","409","±190","4.6%","±2.1","966","±368","7.9%","±2.8"
"        25 to 29 years","1,390","±434","6.6%","±1.9","786","±339","8.8%","±3.5","604","±223","4.9%","±1.8"
"        30 to 34 years","1,137","±293","5.4%","±1.3","484","±220","5.4%","±2.3","653","±179","5.3%","±1.4"
"        35 to 39 years","788","±256","3.7%","±1.2","323","±161","3.6%","±1.7","465","±206","3.8%","±1.7"
"        40 to 44 years","1,062","±330","5.0%","±1.5","360","±152","4.0%","±1.7","702","±270","5.7%","±2.2"
"        45 to 49 years","1,247","±306","5.9%","±1.4","411","±135","4.6%","±1.6","836","±271","6.8%","±2.1"
"        50 to 54 years","1,350","±367","6.4%","±1.7","445","±155","5.0%","±1.7","905","±328","7.4%","±2.6"
"        55 to 59 years","1,706","±517","8.1%","±2.4","554","±180","6.2%","±2.0","1,152","±462","9.4%","±3.6"
"        60 to 64 years","1,852","±375","8.8%","±1.8","841","±280","9.4%","±3.1","1,011","±280","8.3%","±2.4"
"        65 to 69 years","1,082","±248","5.1%","±1.2","451","±212","5.0%","±2.3","631","±127","5.2%","±1.0"
"        70 to 74 years","730","±179","3.4%","±0.9","276","±105","3.1%","±1.1","454","±146","3.7%","±1.3"
"        75 to 79 years","378","±113","1.8%","±0.6","44","±38","0.5%","±0.4","334","±105","2.7%","±0.9"
"        80 to 84 years","302","±124","1.4%","±0.6","141","±102","1.6%","±1.2","161","±115","1.3%","±0.9"
"        85 years and over","452","±116","2.1%","±0.6","87","±51","1.0%","±0.6","365","±104","3.0%","±0.9"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","3,746","±637","17.7%","±2.3","2,027","±431","22.6%","±4.1","1,719","±406","14.1%","±2.6"
"        15 to 17 years","1,251","±379","5.9%","±1.7","630","±291","7.0%","±3.1","621","±207","5.1%","±1.6"
"        Under 18 years","5,920","±876","28.0%","±2.8","3,180","±560","35.5%","±4.5","2,740","±567","22.4%","±3.4"
"        18 to 24 years","1,769","±513","8.4%","±2.2","570","±217","6.4%","±2.4","1,199","±440","9.8%","±3.2"
"        15 to 44 years","7,397","±993","34.9%","±3.2","3,153","±626","35.2%","±5.3","4,244","±654","34.8%","±3.6"
"        16 years and over","15,953","±1,288","75.4%","±3.0","6,073","±708","67.8%","±4.7","9,880","±942","80.9%","±3.5"
"        18 years and over","15,245","±1,200","72.0%","±2.8","5,773","±672","64.5%","±4.5","9,472","±888","77.6%","±3.4"
"        21 years and over","14,561","±1,093","68.8%","±2.9","5,525","±643","61.7%","±4.3","9,036","±811","74.0%","±3.9"
"        60 years and over","4,796","±488","22.7%","±2.5","1,840","±367","20.6%","±3.8","2,956","±372","24.2%","±3.5"
"        62 years and over","4,318","±495","20.4%","±2.5","1,660","±384","18.5%","±4.0","2,658","±355","21.8%","±3.4"
"        65 years and over","2,944","±358","13.9%","±1.8","999","±247","11.2%","±2.6","1,945","±258","15.9%","±2.4"
"        75 years and over","1,132","±202","5.3%","±1.0","272","±107","3.0%","±1.2","860","±184","7.0%","±1.6"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","36.9","±4.8","(X)","(X)","29.6","±3.5","(X)","(X)","42.5","±4.5","(X)","(X)"
"        Sex ratio (males per 100 females)","73.3","±9.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","72.1","±8.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.9","±3.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","48.1","±6.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
