"Label (Grouping)","ZCTA5 40209!!Total!!Estimate","ZCTA5 40209!!Total!!Margin of Error","ZCTA5 40209!!Percent!!Estimate","ZCTA5 40209!!Percent!!Margin of Error","ZCTA5 40209!!Male!!Estimate","ZCTA5 40209!!Male!!Margin of Error","ZCTA5 40209!!Percent Male!!Estimate","ZCTA5 40209!!Percent Male!!Margin of Error","ZCTA5 40209!!Female!!Estimate","ZCTA5 40209!!Female!!Margin of Error","ZCTA5 40209!!Percent Female!!Estimate","ZCTA5 40209!!Percent Female!!Margin of Error"
"Total population","571","±320","(X)","(X)","235","±128","(X)","(X)","336","±252","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","0","±13","0.0%","±6.4","0","±13","0.0%","±14.7","0","±13","0.0%","±10.6"
"        5 to 9 years","36","±49","6.3%","±7.8","4","±11","1.7%","±4.7","32","±48","9.5%","±14.7"
"        10 to 14 years","81","±81","14.2%","±11.2","57","±53","24.3%","±15.1","24","±37","7.1%","±10.5"
"        15 to 19 years","15","±25","2.6%","±3.9","0","±13","0.0%","±14.7","15","±25","4.5%","±7.0"
"        20 to 24 years","30","±37","5.3%","±6.8","30","±37","12.8%","±16.5","0","±13","0.0%","±10.6"
"        25 to 29 years","4","±11","0.7%","±2.0","0","±13","0.0%","±14.7","4","±11","1.2%","±3.9"
"        30 to 34 years","38","±51","6.7%","±9.2","4","±11","1.7%","±4.5","34","±52","10.1%","±17.4"
"        35 to 39 years","170","±222","29.8%","±30.4","0","±13","0.0%","±14.7","170","±222","50.6%","±39.4"
"        40 to 44 years","14","±23","2.5%","±3.4","14","±23","6.0%","±8.7","0","±13","0.0%","±10.6"
"        45 to 49 years","23","±34","4.0%","±5.3","0","±13","0.0%","±14.7","23","±34","6.8%","±10.0"
"        50 to 54 years","36","±44","6.3%","±7.3","36","±44","15.3%","±17.2","0","±13","0.0%","±10.6"
"        55 to 59 years","79","±75","13.8%","±14.4","60","±64","25.5%","±25.1","19","±27","5.7%","±9.8"
"        60 to 64 years","27","±28","4.7%","±5.3","12","±21","5.1%","±8.0","15","±22","4.5%","±7.8"
"        65 to 69 years","14","±23","2.5%","±4.1","14","±23","6.0%","±9.4","0","±13","0.0%","±10.6"
"        70 to 74 years","4","±11","0.7%","±2.0","4","±11","1.7%","±4.4","0","±13","0.0%","±10.6"
"        75 to 79 years","0","±13","0.0%","±6.4","0","±13","0.0%","±14.7","0","±13","0.0%","±10.6"
"        80 to 84 years","0","±13","0.0%","±6.4","0","±13","0.0%","±14.7","0","±13","0.0%","±10.6"
"        85 years and over","0","±13","0.0%","±6.4","0","±13","0.0%","±14.7","0","±13","0.0%","±10.6"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","117","±116","20.5%","±16.0","61","±55","26.0%","±14.6","56","±66","16.7%","±18.9"
"        15 to 17 years","15","±25","2.6%","±3.9","0","±13","0.0%","±14.7","15","±25","4.5%","±7.0"
"        Under 18 years","132","±133","23.1%","±18.3","61","±55","26.0%","±14.6","71","±85","21.1%","±23.8"
"        18 to 24 years","30","±37","5.3%","±6.8","30","±37","12.8%","±16.5","0","±13","0.0%","±10.6"
"        15 to 44 years","271","±246","47.5%","±28.0","48","±42","20.4%","±16.6","223","±231","66.4%","±32.1"
"        16 years and over","439","±259","76.9%","±18.3","174","±89","74.0%","±14.6","265","±228","78.9%","±23.8"
"        18 years and over","439","±259","76.9%","±18.3","174","±89","74.0%","±14.6","265","±228","78.9%","±23.8"
"        21 years and over","439","±259","76.9%","±18.3","174","±89","74.0%","±14.6","265","±228","78.9%","±23.8"
"        60 years and over","45","±40","7.9%","±7.9","30","±35","12.8%","±12.7","15","±22","4.5%","±7.8"
"        62 years and over","18","±25","3.2%","±4.7","18","±25","7.7%","±10.1","0","±13","0.0%","±10.6"
"        65 years and over","18","±25","3.2%","±4.7","18","±25","7.7%","±10.1","0","±13","0.0%","±10.6"
"        75 years and over","0","±13","0.0%","±6.4","0","±13","0.0%","±14.7","0","±13","0.0%","±10.6"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","39.0","±3.0","(X)","(X)","50.2","±18.9","(X)","(X)","38.6","±4.5","(X)","(X)"
"        Sex ratio (males per 100 females)","69.9","±61.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","35.6","±34.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","4.3","±6.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.4","±32.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
