"Label (Grouping)","ZCTA5 40218!!Total!!Estimate","ZCTA5 40218!!Total!!Margin of Error","ZCTA5 40218!!Percent!!Estimate","ZCTA5 40218!!Percent!!Margin of Error","ZCTA5 40218!!Male!!Estimate","ZCTA5 40218!!Male!!Margin of Error","ZCTA5 40218!!Percent Male!!Estimate","ZCTA5 40218!!Percent Male!!Margin of Error","ZCTA5 40218!!Female!!Estimate","ZCTA5 40218!!Female!!Margin of Error","ZCTA5 40218!!Percent Female!!Estimate","ZCTA5 40218!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","3,051","±628","(X)","(X)","1,593","±453","(X)","(X)","1,458","±371","(X)","(X)"
"        Less than high school graduate","363","±201","11.9%","±6.5","221","±143","13.9%","±8.9","142","±140","9.7%","±8.8"
"        High school graduate (includes equivalency)","1,301","±413","42.6%","±10.7","702","±289","44.1%","±16.9","599","±261","41.1%","±14.5"
"        Some college or associate's degree","1,002","±411","32.8%","±10.0","523","±346","32.8%","±17.5","479","±224","32.9%","±13.4"
"        Bachelor's degree or higher","385","±207","12.6%","±6.8","147","±131","9.2%","±7.9","238","±160","16.3%","±10.8"
"    Population 25 years and over","21,808","±1,311","(X)","(X)","10,314","±901","(X)","(X)","11,494","±763","(X)","(X)"
"        Less than 9th grade","787","±212","3.6%","±1.0","224","±88","2.2%","±0.8","563","±179","4.9%","±1.6"
"        9th to 12th grade, no diploma","1,686","±494","7.7%","±2.1","845","±332","8.2%","±3.0","841","±332","7.3%","±2.8"
"        High school graduate (includes equivalency)","6,961","±933","31.9%","±3.8","3,861","±637","37.4%","±5.5","3,100","±500","27.0%","±4.2"
"        Some college, no degree","4,653","±583","21.3%","±2.6","2,213","±401","21.5%","±3.4","2,440","±464","21.2%","±3.8"
"        Associate's degree","1,474","±350","6.8%","±1.5","433","±157","4.2%","±1.5","1,041","±325","9.1%","±2.6"
"        Bachelor's degree","4,711","±661","21.6%","±2.6","2,239","±486","21.7%","±4.1","2,472","±437","21.5%","±3.4"
"        Graduate or professional degree","1,536","±320","7.0%","±1.4","499","±145","4.8%","±1.4","1,037","±268","9.0%","±2.3"
"        High school graduate or higher","19,335","±1,206","88.7%","±2.1","9,245","±816","89.6%","±3.1","10,090","±753","87.8%","±2.8"
"        Bachelor's degree or higher","6,247","±735","28.6%","±2.8","2,738","±496","26.5%","±4.1","3,509","±499","30.5%","±3.7"
