"Label (Grouping)","ZCTA5 40242!!Total!!Estimate","ZCTA5 40242!!Total!!Margin of Error","ZCTA5 40242!!Percent!!Estimate","ZCTA5 40242!!Percent!!Margin of Error","ZCTA5 40242!!Male!!Estimate","ZCTA5 40242!!Male!!Margin of Error","ZCTA5 40242!!Percent Male!!Estimate","ZCTA5 40242!!Percent Male!!Margin of Error","ZCTA5 40242!!Female!!Estimate","ZCTA5 40242!!Female!!Margin of Error","ZCTA5 40242!!Percent Female!!Estimate","ZCTA5 40242!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","566","±155","(X)","(X)","265","±94","(X)","(X)","301","±132","(X)","(X)"
"        Less than high school graduate","27","±16","4.8%","±3.3","5","±5","1.9%","±2.1","22","±14","7.3%","±6.4"
"        High school graduate (includes equivalency)","199","±85","35.2%","±13.7","163","±84","61.5%","±16.3","36","±16","12.0%","±7.3"
"        Some college or associate's degree","183","±80","32.3%","±10.9","46","±24","17.4%","±9.5","137","±82","45.5%","±17.4"
"        Bachelor's degree or higher","157","±87","27.7%","±11.3","51","±32","19.2%","±12.1","106","±80","35.2%","±17.4"
"    Population 25 years and over","7,789","±562","(X)","(X)","3,575","±347","(X)","(X)","4,214","±360","(X)","(X)"
"        Less than 9th grade","250","±124","3.2%","±1.5","138","±88","3.9%","±2.3","112","±63","2.7%","±1.5"
"        9th to 12th grade, no diploma","164","±108","2.1%","±1.3","92","±57","2.6%","±1.6","72","±66","1.7%","±1.5"
"        High school graduate (includes equivalency)","1,494","±259","19.2%","±3.0","669","±158","18.7%","±4.0","825","±166","19.6%","±3.8"
"        Some college, no degree","1,496","±240","19.2%","±3.1","755","±180","21.1%","±4.4","741","±164","17.6%","±3.9"
"        Associate's degree","687","±161","8.8%","±1.8","256","±119","7.2%","±3.0","431","±116","10.2%","±2.5"
"        Bachelor's degree","2,118","±295","27.2%","±3.3","984","±141","27.5%","±4.2","1,134","±211","26.9%","±4.0"
"        Graduate or professional degree","1,580","±213","20.3%","±2.4","681","±112","19.0%","±2.7","899","±172","21.3%","±3.9"
"        High school graduate or higher","7,375","±498","94.7%","±1.9","3,345","±323","93.6%","±2.6","4,030","±327","95.6%","±2.0"
"        Bachelor's degree or higher","3,698","±382","47.5%","±3.8","1,665","±177","46.6%","±4.7","2,033","±280","48.2%","±4.9"
"    Population 25 to 34 years","2,035","±403","(X)","(X)","1,013","±302","(X)","(X)","1,022","±224","(X)","(X)"
"        High school graduate or higher","1,971","±393","96.9%","±2.8","1,012","±302","99.9%","±0.2","959","±197","93.8%","±5.0"
"        Bachelor's degree or higher","960","±234","47.2%","±9.2","445","±141","43.9%","±11.2","515","±142","50.4%","±11.1"
"    Population 35 to 44 years","1,248","±178","(X)","(X)","618","±118","(X)","(X)","630","±123","(X)","(X)"
"        High school graduate or higher","1,154","±170","92.5%","±4.8","550","±107","89.0%","±7.7","604","±117","95.9%","±5.0"
"        Bachelor's degree or higher","729","±141","58.4%","±8.3","327","±87","52.9%","±10.6","402","±102","63.8%","±10.9"
"    Population 45 to 64 years","2,471","±293","(X)","(X)","1,176","±158","(X)","(X)","1,295","±217","(X)","(X)"
"        High school graduate or higher","2,313","±276","93.6%","±3.8","1,054","±140","89.6%","±6.6","1,259","±213","97.2%","±2.0"
"        Bachelor's degree or higher","1,155","±183","46.7%","±5.9","535","±95","45.5%","±7.1","620","±148","47.9%","±9.1"
"    Population 65 years and over","2,035","±226","(X)","(X)","768","±97","(X)","(X)","1,267","±189","(X)","(X)"
"        High school graduate or higher","1,937","±224","95.2%","±2.6","729","±92","94.9%","±3.5","1,208","±185","95.3%","±3.6"
"        Bachelor's degree or higher","854","±178","42.0%","±6.0","358","±63","46.6%","±6.5","496","±160","39.1%","±8.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","6,195","±508","(X)","(X)","2,822","±286","(X)","(X)","3,373","±345","(X)","(X)"
"        High school graduate or higher","6,067","±488","97.9%","±1.1","2,767","±284","98.1%","±1.1","3,300","±325","97.8%","±1.9"
"        Bachelor's degree or higher","3,271","±360","52.8%","±3.9","1,523","±174","54.0%","±4.7","1,748","±262","51.8%","±4.8"
"    White alone, not Hispanic or Latino","6,148","±503","(X)","(X)","2,787","±282","(X)","(X)","3,361","±344","(X)","(X)"
"        High school graduate or higher","6,020","±483","97.9%","±1.2","2,732","±281","98.0%","±1.1","3,288","±325","97.8%","±1.9"
"        Bachelor's degree or higher","3,245","±358","52.8%","±4.0","1,499","±173","53.8%","±4.8","1,746","±261","51.9%","±4.8"
"    Black alone","965","±264","(X)","(X)","486","±186","(X)","(X)","479","±159","(X)","(X)"
"        High school graduate or higher","738","±195","76.5%","±9.3","367","±142","75.5%","±13.5","371","±143","77.5%","±12.6"
"        Bachelor's degree or higher","167","±76","17.3%","±7.1","68","±43","14.0%","±9.9","99","±62","20.7%","±11.6"
"    American Indian or Alaska Native alone","5","±7","(X)","(X)","4","±7","(X)","(X)","1","±3","(X)","(X)"
"        High school graduate or higher","5","±7","100.0%","±100.0","4","±7","100.0%","±100.0","1","±3","100.0%","±100.0"
"        Bachelor's degree or higher","5","±7","100.0%","±100.0","4","±7","100.0%","±100.0","1","±3","100.0%","±100.0"
"    Asian alone","240","±143","(X)","(X)","70","±46","(X)","(X)","170","±131","(X)","(X)"
"        High school graduate or higher","216","±136","90.0%","±13.2","48","±33","68.6%","±34.1","168","±130","98.8%","±2.3"
"        Bachelor's degree or higher","112","±85","46.7%","±26.5","25","±17","35.7%","±24.4","87","±79","51.2%","±37.9"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","114","±63","(X)","(X)","59","±40","(X)","(X)","55","±42","(X)","(X)"
"        High school graduate or higher","91","±56","79.8%","±29.3","36","±24","61.0%","±46.1","55","±42","100.0%","±43.0"
