"Label (Grouping)","ZCTA5 40206!!Total!!Estimate","ZCTA5 40206!!Total!!Margin of Error","ZCTA5 40206!!Percent!!Estimate","ZCTA5 40206!!Percent!!Margin of Error","ZCTA5 40206!!Male!!Estimate","ZCTA5 40206!!Male!!Margin of Error","ZCTA5 40206!!Percent Male!!Estimate","ZCTA5 40206!!Percent Male!!Margin of Error","ZCTA5 40206!!Female!!Estimate","ZCTA5 40206!!Female!!Margin of Error","ZCTA5 40206!!Percent Female!!Estimate","ZCTA5 40206!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,561","±357","(X)","(X)","753","±235","(X)","(X)","808","±257","(X)","(X)"
"        Less than high school graduate","98","±70","6.3%","±4.1","17","±17","2.3%","±2.5","81","±69","10.0%","±8.7"
"        High school graduate (includes equivalency)","393","±148","25.2%","±8.2","254","±120","33.7%","±10.5","139","±70","17.2%","±9.5"
"        Some college or associate's degree","528","±207","33.8%","±9.6","298","±143","39.6%","±12.6","230","±159","28.5%","±15.3"
"        Bachelor's degree or higher","542","±195","34.7%","±10.7","184","±92","24.4%","±12.2","358","±169","44.3%","±15.4"
"    Population 25 years and over","15,744","±835","(X)","(X)","7,862","±519","(X)","(X)","7,882","±566","(X)","(X)"
"        Less than 9th grade","268","±133","1.7%","±0.8","153","±94","1.9%","±1.2","115","±62","1.5%","±0.8"
"        9th to 12th grade, no diploma","574","±291","3.6%","±1.8","337","±190","4.3%","±2.4","237","±134","3.0%","±1.7"
"        High school graduate (includes equivalency)","2,458","±441","15.6%","±2.5","1,291","±317","16.4%","±3.7","1,167","±298","14.8%","±3.4"
"        Some college, no degree","2,821","±388","17.9%","±2.3","1,648","±311","21.0%","±3.7","1,173","±244","14.9%","±3.1"
"        Associate's degree","933","±265","5.9%","±1.7","490","±188","6.2%","±2.4","443","±158","5.6%","±2.0"
"        Bachelor's degree","4,605","±499","29.2%","±3.1","2,155","±349","27.4%","±4.2","2,450","±331","31.1%","±3.9"
"        Graduate or professional degree","4,085","±491","25.9%","±2.7","1,788","±286","22.7%","±3.4","2,297","±383","29.1%","±4.2"
"        High school graduate or higher","14,902","±815","94.7%","±1.9","7,372","±514","93.8%","±2.5","7,530","±554","95.5%","±1.9"
"        Bachelor's degree or higher","8,690","±638","55.2%","±3.3","3,943","±422","50.2%","±4.8","4,747","±466","60.2%","±4.3"
"    Population 25 to 34 years","4,256","±617","(X)","(X)","2,146","±320","(X)","(X)","2,110","±403","(X)","(X)"
"        High school graduate or higher","4,178","±625","98.2%","±1.7","2,107","±328","98.2%","±2.3","2,071","±404","98.2%","±2.1"
"        Bachelor's degree or higher","2,772","±448","65.1%","±5.2","1,126","±212","52.5%","±8.9","1,646","±366","78.0%","±6.9"
"    Population 35 to 44 years","3,087","±404","(X)","(X)","1,566","±247","(X)","(X)","1,521","±272","(X)","(X)"
"        High school graduate or higher","2,944","±402","95.4%","±3.4","1,450","±237","92.6%","±5.6","1,494","±276","98.2%","±3.1"
