"Label (Grouping)","ZCTA5 40209!!Total!!Estimate","ZCTA5 40209!!Total!!Margin of Error","ZCTA5 40209!!Percent!!Estimate","ZCTA5 40209!!Percent!!Margin of Error","ZCTA5 40209!!Male!!Estimate","ZCTA5 40209!!Male!!Margin of Error","ZCTA5 40209!!Percent Male!!Estimate","ZCTA5 40209!!Percent Male!!Margin of Error","ZCTA5 40209!!Female!!Estimate","ZCTA5 40209!!Female!!Margin of Error","ZCTA5 40209!!Percent Female!!Estimate","ZCTA5 40209!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","30","±37","(X)","(X)","30","±37","(X)","(X)","0","±13","(X)","(X)"
"        Less than high school graduate","0","±13","0.0%","±58.2","0","±13","0.0%","±58.2","0","±13","-","**"
"        High school graduate (includes equivalency)","0","±13","0.0%","±58.2","0","±13","0.0%","±58.2","0","±13","-","**"
"        Some college or associate's degree","6","±11","20.0%","±47.3","6","±11","20.0%","±47.3","0","±13","-","**"
"        Bachelor's degree or higher","24","±36","80.0%","±47.3","24","±36","80.0%","±47.3","0","±13","-","**"
"    Population 25 years and over","409","±250","(X)","(X)","144","±85","(X)","(X)","265","±228","(X)","(X)"
"        Less than 9th grade","41","±46","10.0%","±12.3","11","±19","7.6%","±11.4","30","±37","11.3%","±18.3"
"        9th to 12th grade, no diploma","94","±106","23.0%","±17.5","39","±61","27.1%","±36.1","55","±83","20.8%","±18.6"
"        High school graduate (includes equivalency)","86","±60","21.0%","±17.8","41","±35","28.5%","±22.3","45","±37","17.0%","±20.5"
"        Some college, no degree","30","±30","7.3%","±8.4","18","±22","12.5%","±18.1","12","±20","4.5%","±9.6"
"        Associate's degree","135","±152","33.0%","±22.5","12","±21","8.3%","±13.2","123","±151","46.4%","±24.9"
"        Bachelor's degree","23","±37","5.6%","±9.1","23","±37","16.0%","±24.7","0","±13","0.0%","±13.2"
"        Graduate or professional degree","0","±13","0.0%","±8.8","0","±13","0.0%","±22.7","0","±13","0.0%","±13.2"
