"Label (Grouping)","ZCTA5 40272!!Total!!Estimate","ZCTA5 40272!!Total!!Margin of Error","ZCTA5 40272!!Percent!!Estimate","ZCTA5 40272!!Percent!!Margin of Error","ZCTA5 40272!!Male!!Estimate","ZCTA5 40272!!Male!!Margin of Error","ZCTA5 40272!!Percent Male!!Estimate","ZCTA5 40272!!Percent Male!!Margin of Error","ZCTA5 40272!!Female!!Estimate","ZCTA5 40272!!Female!!Margin of Error","ZCTA5 40272!!Percent Female!!Estimate","ZCTA5 40272!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","3,110","±454","(X)","(X)","1,368","±332","(X)","(X)","1,742","±322","(X)","(X)"
"        Less than high school graduate","435","±158","14.0%","±4.6","288","±135","21.1%","±8.8","147","±95","8.4%","±5.2"
"        High school graduate (includes equivalency)","1,303","±341","41.9%","±7.7","660","±205","48.2%","±11.6","643","±239","36.9%","±10.6"
"        Some college or associate's degree","1,125","±286","36.2%","±7.5","384","±226","28.1%","±12.9","741","±212","42.5%","±10.0"
"        Bachelor's degree or higher","247","±128","7.9%","±4.5","36","±35","2.6%","±2.8","211","±114","12.1%","±6.6"
"    Population 25 years and over","25,488","±1,299","(X)","(X)","12,115","±816","(X)","(X)","13,373","±684","(X)","(X)"
"        Less than 9th grade","949","±256","3.7%","±1.0","429","±135","3.5%","±1.1","520","±217","3.9%","±1.6"
"        9th to 12th grade, no diploma","1,605","±398","6.3%","±1.5","902","±261","7.4%","±2.0","703","±223","5.3%","±1.6"
"        High school graduate (includes equivalency)","9,891","±868","38.8%","±3.0","5,033","±560","41.5%","±4.1","4,858","±525","36.3%","±3.5"
"        Some college, no degree","5,612","±643","22.0%","±2.0","2,462","±363","20.3%","±2.7","3,150","±490","23.6%","±3.1"
"        Associate's degree","2,473","±410","9.7%","±1.5","1,107","±332","9.1%","±2.5","1,366","±267","10.2%","±2.0"
"        Bachelor's degree","2,834","±492","11.1%","±1.9","1,344","±327","11.1%","±2.7","1,490","±329","11.1%","±2.4"
"        Graduate or professional degree","2,124","±569","8.3%","±2.3","838","±275","6.9%","±2.3","1,286","±359","9.6%","±2.7"
"        High school graduate or higher","22,934","±1,187","90.0%","±1.7","10,784","±721","89.0%","±2.5","12,150","±671","90.9%","±1.9"
"        Bachelor's degree or higher","4,958","±655","19.5%","±2.6","2,182","±406","18.0%","±3.3","2,776","±433","20.8%","±3.2"
"    Population 25 to 34 years","4,460","±570","(X)","(X)","2,056","±324","(X)","(X)","2,404","±428","(X)","(X)"
"        High school graduate or higher","4,092","±539","91.7%","±3.5","1,858","±311","90.4%","±4.6","2,234","±401","92.9%","±4.4"
"        Bachelor's degree or higher","1,316","±318","29.5%","±6.2","620","±190","30.2%","±8.3","696","±196","29.0%","±7.3"
"    Population 35 to 44 years","5,265","±683","(X)","(X)","2,630","±439","(X)","(X)","2,635","±412","(X)","(X)"
"        High school graduate or higher","4,822","±653","91.6%","±3.4","2,386","±415","90.7%","±4.9","2,436","±396","92.4%","±3.8"
"        Bachelor's degree or higher","1,261","±308","24.0%","±6.0","467","±163","17.8%","±5.8","794","±279","30.1%","±9.5"
"    Population 45 to 64 years","9,682","±800","(X)","(X)","4,508","±460","(X)","(X)","5,174","±468","(X)","(X)"
"        High school graduate or higher","8,875","±776","91.7%","±2.2","4,060","±435","90.1%","±3.7","4,815","±450","93.1%","±2.3"
"        Bachelor's degree or higher","1,655","±426","17.1%","±4.0","703","±267","15.6%","±5.6","952","±230","18.4%","±4.2"
"    Population 65 years and over","6,081","±570","(X)","(X)","2,921","±369","(X)","(X)","3,160","±424","(X)","(X)"
"        High school graduate or higher","5,145","±505","84.6%","±3.4","2,480","±353","84.9%","±5.0","2,665","±364","84.3%","±4.7"
"        Bachelor's degree or higher","726","±214","11.9%","±3.3","392","±134","13.4%","±4.5","334","±157","10.6%","±4.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","20,635","±1,169","(X)","(X)","9,966","±732","(X)","(X)","10,669","±640","(X)","(X)"
"        High school graduate or higher","18,452","±1,047","89.4%","±1.8","8,871","±670","89.0%","±2.5","9,581","±611","89.8%","±2.2"
"        Bachelor's degree or higher","3,619","±509","17.5%","±2.4","1,711","±319","17.2%","±3.1","1,908","±332","17.9%","±3.0"
"    White alone, not Hispanic or Latino","20,443","±1,159","(X)","(X)","9,860","±718","(X)","(X)","10,583","±646","(X)","(X)"
"        High school graduate or higher","18,318","±1,035","89.6%","±1.8","8,769","±654","88.9%","±2.5","9,549","±613","90.2%","±2.3"
"        Bachelor's degree or higher","3,592","±505","17.6%","±2.4","1,700","±320","17.2%","±3.1","1,892","±331","17.9%","±3.0"
"    Black alone","2,177","±497","(X)","(X)","989","±263","(X)","(X)","1,188","±315","(X)","(X)"
"        High school graduate or higher","2,072","±455","95.2%","±4.0","908","±234","91.8%","±8.1","1,164","±304","98.0%","±3.2"
"        Bachelor's degree or higher","394","±152","18.1%","±6.7","140","±86","14.2%","±9.7","254","±125","21.4%","±9.4"
"    American Indian or Alaska Native alone","21","±28","(X)","(X)","1","±3","(X)","(X)","20","±28","(X)","(X)"
"        High school graduate or higher","21","±28","100.0%","±69.5","1","±3","100.0%","±100.0","20","±28","100.0%","±71.2"
"        Bachelor's degree or higher","0","±27","0.0%","±69.5","0","±27","0.0%","±100.0","0","±27","0.0%","±71.2"
"    Asian alone","110","±83","(X)","(X)","45","±49","(X)","(X)","65","±66","(X)","(X)"
"        High school graduate or higher","99","±81","90.0%","±20.4","34","±45","75.6%","±47.3","65","±66","100.0%","±39.5"
"        Bachelor's degree or higher","69","±66","62.7%","±33.6","34","±45","75.6%","±47.3","35","±47","53.8%","±39.8"
"    Native Hawaiian and Other Pacific Islander alone","49","±66","(X)","(X)","22","±33","(X)","(X)","27","±37","(X)","(X)"
"        High school graduate or higher","32","±38","65.3%","±23.9","5","±9","22.7%","±47.1","27","±37","100.0%","±61.3"
"        Bachelor's degree or higher","0","±27","0.0%","±45.5","0","±27","0.0%","±67.9","0","±27","0.0%","±61.3"
"    Some other race alone","296","±174","(X)","(X)","110","±93","(X)","(X)","186","±111","(X)","(X)"
"        High school graduate or higher","150","±119","50.7%","±23.8","56","±65","50.9%","±35.8","94","±80","50.5%","±32.3"
"        Bachelor's degree or higher","51","±62","17.2%","±18.4","0","±27","0.0%","±28.2","51","±62","27.4%","±29.6"
"    Two or more races","2,200","±706","(X)","(X)","982","±369","(X)","(X)","1,218","±423","(X)","(X)"
"        High school graduate or higher","2,108","±694","95.8%","±3.4","909","±359","92.6%","±6.8","1,199","±420","98.4%","±2.1"
"        Bachelor's degree or higher","825","±465","37.5%","±16.4","297","±250","30.2%","±21.2","528","±285","43.3%","±17.5"
"    Hispanic or Latino Origin","1,764","±546","(X)","(X)","781","±259","(X)","(X)","983","±344","(X)","(X)"
"        High school graduate or higher","1,534","±505","87.0%","±7.0","712","±258","91.2%","±7.5","822","±305","83.6%","±10.1"
"        Bachelor's degree or higher","663","±393","37.6%","±18.8","287","±244","36.7%","±26.8","376","±196","38.3%","±16.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","31.4%","±7.2","(X)","(X)","26.8%","±9.8","(X)","(X)","36.5%","±11.6"
