"Label (Grouping)","ZCTA5 40215!!Total!!Estimate","ZCTA5 40215!!Total!!Margin of Error","ZCTA5 40215!!Percent!!Estimate","ZCTA5 40215!!Percent!!Margin of Error","ZCTA5 40215!!Male!!Estimate","ZCTA5 40215!!Male!!Margin of Error","ZCTA5 40215!!Percent Male!!Estimate","ZCTA5 40215!!Percent Male!!Margin of Error","ZCTA5 40215!!Female!!Estimate","ZCTA5 40215!!Female!!Margin of Error","ZCTA5 40215!!Percent Female!!Estimate","ZCTA5 40215!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,282","±287","(X)","(X)","673","±182","(X)","(X)","609","±200","(X)","(X)"
"        Less than high school graduate","333","±186","26.0%","±12.4","191","±112","28.4%","±14.4","142","±96","23.3%","±14.2"
"        High school graduate (includes equivalency)","566","±159","44.1%","±10.2","345","±125","51.3%","±13.9","221","±119","36.3%","±15.8"
"        Some college or associate's degree","350","±163","27.3%","±10.8","130","±91","19.3%","±11.9","220","±130","36.1%","±16.2"
"        Bachelor's degree or higher","33","±30","2.6%","±2.4","7","±12","1.0%","±1.9","26","±28","4.3%","±4.8"
"    Population 25 years and over","13,000","±1,090","(X)","(X)","6,442","±715","(X)","(X)","6,558","±561","(X)","(X)"
"        Less than 9th grade","751","±189","5.8%","±1.5","352","±128","5.5%","±2.0","399","±141","6.1%","±2.2"
"        9th to 12th grade, no diploma","2,011","±428","15.5%","±3.0","909","±273","14.1%","±4.2","1,102","±244","16.8%","±3.2"
"        High school graduate (includes equivalency)","5,006","±682","38.5%","±3.9","2,824","±546","43.8%","±5.7","2,182","±369","33.3%","±5.2"
"        Some college, no degree","2,742","±429","21.1%","±2.7","1,461","±325","22.7%","±4.3","1,281","±243","19.5%","±3.3"
"        Associate's degree","823","±202","6.3%","±1.4","292","±101","4.5%","±1.6","531","±159","8.1%","±2.2"
"        Bachelor's degree","1,014","±263","7.8%","±1.9","362","±132","5.6%","±2.1","652","±199","9.9%","±2.8"
"        Graduate or professional degree","653","±206","5.0%","±1.6","242","±97","3.8%","±1.5","411","±145","6.3%","±2.2"
"        High school graduate or higher","10,238","±980","78.8%","±3.1","5,181","±694","80.4%","±4.7","5,057","±497","77.1%","±3.8"
"        Bachelor's degree or higher","1,667","±353","12.8%","±2.5","604","±181","9.4%","±2.8","1,063","±247","16.2%","±3.5"
"    Population 25 to 34 years","2,840","±519","(X)","(X)","1,270","±283","(X)","(X)","1,570","±363","(X)","(X)"
"        High school graduate or higher","2,321","±456","81.7%","±9.0","1,034","±255","81.4%","±10.6","1,287","±311","82.0%","±9.5"
"        Bachelor's degree or higher","493","±168","17.4%","±5.9","142","±65","11.2%","±5.5","351","±146","22.4%","±8.2"
"    Population 35 to 44 years","2,700","±478","(X)","(X)","1,144","±273","(X)","(X)","1,556","±335","(X)","(X)"
"        High school graduate or higher","1,940","±376","71.9%","±9.2","841","±239","73.5%","±11.7","1,099","±253","70.6%","±12.9"
"        Bachelor's degree or higher","378","±138","14.0%","±4.9","73","±56","6.4%","±4.8","305","±128","19.6%","±8.1"
"    Population 45 to 64 years","5,242","±705","(X)","(X)","3,033","±559","(X)","(X)","2,209","±290","(X)","(X)"
"        High school graduate or higher","4,280","±640","81.6%","±4.3","2,493","±562","82.2%","±6.9","1,787","±248","80.9%","±5.3"
"        Bachelor's degree or higher","508","±152","9.7%","±2.7","241","±108","7.9%","±3.7","267","±109","12.1%","±4.4"
"    Population 65 years and over","2,218","±250","(X)","(X)","995","±145","(X)","(X)","1,223","±205","(X)","(X)"
"        High school graduate or higher","1,697","±242","76.5%","±6.5","813","±141","81.7%","±7.9","884","±173","72.3%","±9.3"
"        Bachelor's degree or higher","288","±112","13.0%","±4.9","148","±84","14.9%","±8.2","140","±62","11.4%","±5.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","7,679","±762","(X)","(X)","3,930","±505","(X)","(X)","3,749","±406","(X)","(X)"
"        High school graduate or higher","6,055","±590","78.9%","±3.8","3,269","±440","83.2%","±5.5","2,786","±320","74.3%","±4.9"
"        Bachelor's degree or higher","1,087","±276","14.2%","±3.4","544","±167","13.8%","±4.1","543","±146","14.5%","±3.8"
"    White alone, not Hispanic or Latino","7,491","±718","(X)","(X)","3,854","±492","(X)","(X)","3,637","±386","(X)","(X)"
"        High school graduate or higher","5,938","±559","79.3%","±3.8","3,208","±430","83.2%","±5.6","2,730","±304","75.1%","±4.6"
"        Bachelor's degree or higher","1,023","±257","13.7%","±3.4","506","±156","13.1%","±4.0","517","±140","14.2%","±3.8"
"    Black alone","3,757","±663","(X)","(X)","1,831","±508","(X)","(X)","1,926","±362","(X)","(X)"
"        High school graduate or higher","2,951","±650","78.5%","±6.6","1,375","±509","75.1%","±10.4","1,576","±339","81.8%","±7.5"
"        Bachelor's degree or higher","330","±148","8.8%","±3.8","22","±26","1.2%","±1.5","308","±147","16.0%","±6.5"
