"Label (Grouping)","ZCTA5 40241!!Total!!Estimate","ZCTA5 40241!!Total!!Margin of Error","ZCTA5 40241!!Percent!!Estimate","ZCTA5 40241!!Percent!!Margin of Error","ZCTA5 40241!!Male!!Estimate","ZCTA5 40241!!Male!!Margin of Error","ZCTA5 40241!!Percent Male!!Estimate","ZCTA5 40241!!Percent Male!!Margin of Error","ZCTA5 40241!!Female!!Estimate","ZCTA5 40241!!Female!!Margin of Error","ZCTA5 40241!!Percent Female!!Estimate","ZCTA5 40241!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,002","±322","(X)","(X)","999","±222","(X)","(X)","1,003","±226","(X)","(X)"
"        Less than high school graduate","276","±103","13.8%","±4.9","152","±80","15.2%","±7.9","124","±83","12.4%","±7.9"
"        High school graduate (includes equivalency)","649","±173","32.4%","±6.9","338","±109","33.8%","±10.1","311","±114","31.0%","±9.2"
"        Some college or associate's degree","691","±203","34.5%","±7.2","320","±160","32.0%","±12.3","371","±150","37.0%","±11.3"
"        Bachelor's degree or higher","386","±112","19.3%","±5.5","189","±87","18.9%","±7.8","197","±85","19.6%","±8.3"
"    Population 25 years and over","22,351","±995","(X)","(X)","10,693","±567","(X)","(X)","11,658","±601","(X)","(X)"
"        Less than 9th grade","325","±133","1.5%","±0.6","170","±98","1.6%","±0.9","155","±74","1.3%","±0.6"
"        9th to 12th grade, no diploma","282","±101","1.3%","±0.4","137","±74","1.3%","±0.7","145","±68","1.2%","±0.6"
"        High school graduate (includes equivalency)","3,021","±346","13.5%","±1.5","1,540","±278","14.4%","±2.4","1,481","±166","12.7%","±1.5"
"        Some college, no degree","3,913","±473","17.5%","±2.0","1,632","±285","15.3%","±2.5","2,281","±331","19.6%","±2.7"
"        Associate's degree","1,858","±237","8.3%","±1.0","608","±176","5.7%","±1.6","1,250","±236","10.7%","±2.0"
"        Bachelor's degree","7,252","±757","32.4%","±2.6","3,946","±465","36.9%","±3.6","3,306","±497","28.4%","±3.5"
"        Graduate or professional degree","5,700","±409","25.5%","±1.8","2,660","±246","24.9%","±2.3","3,040","±287","26.1%","±2.4"
"        High school graduate or higher","21,744","±1,008","97.3%","±0.7","10,386","±572","97.1%","±1.1","11,358","±600","97.4%","±0.8"
"        Bachelor's degree or higher","12,952","±858","57.9%","±2.4","6,606","±516","61.8%","±3.7","6,346","±552","54.4%","±3.1"
"    Population 25 to 34 years","4,523","±855","(X)","(X)","2,323","±462","(X)","(X)","2,200","±454","(X)","(X)"
"        High school graduate or higher","4,253","±871","94.0%","±3.2","2,175","±471","93.6%","±4.5","2,078","±451","94.5%","±3.7"
"        Bachelor's degree or higher","2,759","±679","61.0%","±6.9","1,327","±334","57.1%","±10.1","1,432","±423","65.1%","±8.5"
"    Population 35 to 44 years","3,663","±361","(X)","(X)","1,788","±233","(X)","(X)","1,875","±221","(X)","(X)"
"        High school graduate or higher","3,561","±357","97.2%","±1.6","1,755","±231","98.2%","±1.5","1,806","±219","96.3%","±2.4"
"        Bachelor's degree or higher","2,141","±270","58.4%","±5.9","1,067","±174","59.7%","±8.0","1,074","±154","57.3%","±7.1"
"    Population 45 to 64 years","7,484","±561","(X)","(X)","3,772","±338","(X)","(X)","3,712","±325","(X)","(X)"
"        High school graduate or higher","7,323","±549","97.8%","±1.0","3,662","±328","97.1%","±1.8","3,661","±319","98.6%","±1.0"
"        Bachelor's degree or higher","4,500","±451","60.1%","±4.1","2,480","±300","65.7%","±4.5","2,020","±281","54.4%","±6.4"
"    Population 65 years and over","6,681","±475","(X)","(X)","2,810","±276","(X)","(X)","3,871","±364","(X)","(X)"
"        High school graduate or higher","6,607","±469","98.9%","±0.5","2,794","±274","99.4%","±0.5","3,813","±362","98.5%","±0.8"
"        Bachelor's degree or higher","3,552","±337","53.2%","±4.0","1,732","±205","61.6%","±5.8","1,820","±204","47.0%","±4.9"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","17,147","±996","(X)","(X)","8,013","±473","(X)","(X)","9,134","±652","(X)","(X)"
"        High school graduate or higher","16,906","±998","98.6%","±0.5","7,896","±463","98.5%","±0.8","9,010","±656","98.6%","±0.6"
"        Bachelor's degree or higher","10,216","±672","59.6%","±2.5","5,112","±349","63.8%","±4.0","5,104","±536","55.9%","±3.3"
"    White alone, not Hispanic or Latino","16,852","±1,000","(X)","(X)","7,890","±465","(X)","(X)","8,962","±675","(X)","(X)"
"        High school graduate or higher","16,664","±1,004","98.9%","±0.4","7,805","±457","98.9%","±0.6","8,859","±679","98.9%","±0.5"
"        Bachelor's degree or higher","10,108","±676","60.0%","±2.6","5,076","±353","64.3%","±4.1","5,032","±548","56.1%","±3.5"
"    Black alone","2,258","±345","(X)","(X)","1,176","±231","(X)","(X)","1,082","±196","(X)","(X)"
"        High school graduate or higher","2,081","±325","92.2%","±4.3","1,099","±219","93.5%","±6.2","982","±187","90.8%","±6.7"
"        Bachelor's degree or higher","942","±248","41.7%","±8.7","494","±158","42.0%","±11.1","448","±146","41.4%","±11.4"
"    American Indian or Alaska Native alone","10","±10","(X)","(X)","3","±5","(X)","(X)","7","±9","(X)","(X)"
"        High school graduate or higher","7","±9","70.0%","±46.8","0","±27","0.0%","±100.0","7","±9","100.0%","±100.0"
"        Bachelor's degree or higher","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0","0","±27","0.0%","±100.0"
"    Asian alone","1,397","±303","(X)","(X)","637","±157","(X)","(X)","760","±173","(X)","(X)"
"        High school graduate or higher","1,348","±294","96.5%","±2.2","607","±154","95.3%","±5.4","741","±170","97.5%","±2.1"
"        Bachelor's degree or higher","1,014","±247","72.6%","±7.6","492","±138","77.2%","±8.7","522","±138","68.7%","±9.7"
"    Native Hawaiian and Other Pacific Islander alone","14","±22","(X)","(X)","0","±27","(X)","(X)","14","±22","(X)","(X)"
"        High school graduate or higher","14","±22","100.0%","±85.1","0","±27","-","**","14","±22","100.0%","±85.1"
"        Bachelor's degree or higher","0","±27","0.0%","±85.1","0","±27","-","**","0","±27","0.0%","±85.1"
"    Some other race alone","278","±129","(X)","(X)","148","±94","(X)","(X)","130","±74","(X)","(X)"
"        High school graduate or higher","208","±100","74.8%","±14.6","105","±80","70.9%","±25.5","103","±67","79.2%","±18.9"
"        Bachelor's degree or higher","140","±93","50.4%","±21.2","85","±77","57.4%","±29.0","55","±59","42.3%","±28.6"
"    Two or more races","1,247","±373","(X)","(X)","716","±319","(X)","(X)","531","±145","(X)","(X)"
"        High school graduate or higher","1,180","±371","94.6%","±4.1","679","±318","94.8%","±4.4","501","±144","94.4%","±4.6"
"        Bachelor's degree or higher","640","±307","51.3%","±14.6","423","±296","59.1%","±20.6","217","±79","40.9%","±13.7"
"    Hispanic or Latino Origin","1,128","±287","(X)","(X)","613","±184","(X)","(X)","515","±145","(X)","(X)"
"        High school graduate or higher","934","±256","82.8%","±8.0","500","±166","81.6%","±10.3","434","±141","84.3%","±10.1"
"        Bachelor's degree or higher","461","±169","40.9%","±11.6","273","±130","44.5%","±15.5","188","±91","36.5%","±14.7"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","8.8%","±6.2","(X)","(X)","3.3%","±3.1","(X)","(X)","14.7%","±11.4"
"    High school graduate (includes equivalency)","(X)","(X)","11.0%","±3.6","(X)","(X)","9.7%","±5.3","(X)","(X)","12.3%","±5.3"
"    Some college or associate's degree","(X)","(X)","5.6%","±2.0","(X)","(X)","2.9%","±2.1","(X)","(X)","7.3%","±3.0"
"    Bachelor's degree or higher","(X)","(X)","1.7%","±0.8","(X)","(X)","2.0%","±1.4","(X)","(X)","1.4%","±0.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","62,163","±2,987","(X)","(X)","72,462","±6,809","(X)","(X)","53,392","±2,269","(X)","(X)"
"        Less than high school graduate","40,357","±8,837","(X)","(X)","45,660","±5,076","(X)","(X)","31,579","±8,941","(X)","(X)"
"        High school graduate (includes equivalency)","35,583","±3,163","(X)","(X)","37,117","±14,453","(X)","(X)","34,417","±4,876","(X)","(X)"
"        Some college or associate's degree","47,090","±7,963","(X)","(X)","61,802","±12,561","(X)","(X)","40,692","±6,394","(X)","(X)"
"        Bachelor's degree","67,614","±7,926","(X)","(X)","76,595","±13,308","(X)","(X)","53,744","±3,776","(X)","(X)"
"        Graduate or professional degree","84,923","±8,208","(X)","(X)","107,100","±18,342","(X)","(X)","77,300","±7,628","(X)","(X)"
