"Label (Grouping)","ZCTA5 40202!!Total!!Estimate","ZCTA5 40202!!Total!!Margin of Error","ZCTA5 40202!!Percent!!Estimate","ZCTA5 40202!!Percent!!Margin of Error","ZCTA5 40202!!Male!!Estimate","ZCTA5 40202!!Male!!Margin of Error","ZCTA5 40202!!Percent Male!!Estimate","ZCTA5 40202!!Percent Male!!Margin of Error","ZCTA5 40202!!Female!!Estimate","ZCTA5 40202!!Female!!Margin of Error","ZCTA5 40202!!Percent Female!!Estimate","ZCTA5 40202!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","652","±230","(X)","(X)","383","±151","(X)","(X)","269","±130","(X)","(X)"
"        Less than high school graduate","98","±59","15.0%","±9.3","98","±59","25.6%","±14.2","0","±18","0.0%","±13.0"
"        High school graduate (includes equivalency)","239","±111","36.7%","±15.4","182","±103","47.5%","±19.5","57","±43","21.2%","±15.6"
"        Some college or associate's degree","67","±47","10.3%","±7.6","25","±30","6.5%","±7.5","42","±43","15.6%","±14.7"
"        Bachelor's degree or higher","248","±173","38.0%","±17.3","78","±77","20.4%","±17.3","170","±108","63.2%","±20.4"
"    Population 25 years and over","6,179","±645","(X)","(X)","3,877","±533","(X)","(X)","2,302","±432","(X)","(X)"
"        Less than 9th grade","206","±81","3.3%","±1.3","143","±65","3.7%","±1.7","63","±74","2.7%","±3.1"
"        9th to 12th grade, no diploma","850","±157","13.8%","±2.7","645","±162","16.6%","±4.0","205","±120","8.9%","±5.0"
"        High school graduate (includes equivalency)","1,819","±370","29.4%","±5.2","1,175","±337","30.3%","±6.8","644","±224","28.0%","±10.0"
"        Some college, no degree","1,364","±314","22.1%","±4.3","898","±243","23.2%","±5.5","466","±159","20.2%","±6.5"
"        Associate's degree","278","±127","4.5%","±2.0","145","±96","3.7%","±2.4","133","±89","5.8%","±3.5"
"        Bachelor's degree","755","±239","12.2%","±3.4","478","±188","12.3%","±4.3","277","±143","12.0%","±5.6"
"        Graduate or professional degree","907","±287","14.7%","±4.5","393","±143","10.1%","±4.0","514","±269","22.3%","±9.5"
"        High school graduate or higher","5,123","±620","82.9%","±2.8","3,089","±482","79.7%","±4.2","2,034","±413","88.4%","±6.8"
"        Bachelor's degree or higher","1,662","±376","26.9%","±5.1","871","±214","22.5%","±5.0","791","±324","34.4%","±10.3"
"    Population 25 to 34 years","2,075","±381","(X)","(X)","1,131","±273","(X)","(X)","944","±303","(X)","(X)"
"        High school graduate or higher","1,866","±344","89.9%","±3.6","1,014","±261","89.7%","±3.9","852","±261","90.3%","±7.1"
"        Bachelor's degree or higher","838","±251","40.4%","±9.5","420","±169","37.1%","±11.4","418","±222","44.3%","±17.9"
"    Population 35 to 44 years","1,064","±306","(X)","(X)","664","±205","(X)","(X)","400","±219","(X)","(X)"
"        High school graduate or higher","832","±258","78.2%","±9.9","473","±155","71.2%","±12.8","359","±205","89.8%","±17.3"
"        Bachelor's degree or higher","325","±217","30.5%","±16.0","96","±83","14.5%","±11.1","229","±199","57.3%","±28.8"
"    Population 45 to 64 years","2,274","±410","(X)","(X)","1,396","±284","(X)","(X)","878","±239","(X)","(X)"
"        High school graduate or higher","1,861","±420","81.8%","±6.2","1,088","±257","77.9%","±8.0","773","±259","88.0%","±9.4"
"        Bachelor's degree or higher","400","±165","17.6%","±6.1","256","±121","18.3%","±7.8","144","±84","16.4%","±7.9"
"    Population 65 years and over","766","±303","(X)","(X)","686","±295","(X)","(X)","80","±67","(X)","(X)"
"        High school graduate or higher","564","±300","73.6%","±13.4","514","±297","74.9%","±15.4","50","±55","62.5%","±42.7"
"        Bachelor's degree or higher","99","±101","12.9%","±14.4","99","±101","14.4%","±16.1","0","±18","0.0%","±35.3"
