"Label (Grouping)","ZCTA5 40203!!Total!!Estimate","ZCTA5 40203!!Total!!Margin of Error","ZCTA5 40203!!Percent!!Estimate","ZCTA5 40203!!Percent!!Margin of Error","ZCTA5 40203!!Male!!Estimate","ZCTA5 40203!!Male!!Margin of Error","ZCTA5 40203!!Percent Male!!Estimate","ZCTA5 40203!!Percent Male!!Margin of Error","ZCTA5 40203!!Female!!Estimate","ZCTA5 40203!!Female!!Margin of Error","ZCTA5 40203!!Percent Female!!Estimate","ZCTA5 40203!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,206","±544","(X)","(X)","862","±238","(X)","(X)","1,344","±460","(X)","(X)"
"        Less than high school graduate","384","±151","17.4%","±7.0","280","±124","32.5%","±11.6","104","±83","7.7%","±6.2"
"        High school graduate (includes equivalency)","820","±276","37.2%","±10.3","248","±96","28.8%","±11.2","572","±235","42.6%","±15.7"
"        Some college or associate's degree","836","±376","37.9%","±11.4","237","±108","27.5%","±9.7","599","±365","44.6%","±17.3"
"        Bachelor's degree or higher","166","±143","7.5%","±6.2","97","±120","11.3%","±12.8","69","±65","5.1%","±5.2"
"    Population 25 years and over","12,108","±1,054","(X)","(X)","5,946","±690","(X)","(X)","6,162","±607","(X)","(X)"
"        Less than 9th grade","603","±191","5.0%","±1.5","321","±135","5.4%","±2.2","282","±125","4.6%","±2.0"
"        9th to 12th grade, no diploma","1,118","±285","9.2%","±2.4","586","±193","9.9%","±3.5","532","±209","8.6%","±3.2"
"        High school graduate (includes equivalency)","4,066","±637","33.6%","±4.0","2,318","±488","39.0%","±6.3","1,748","±322","28.4%","±4.6"
"        Some college, no degree","2,558","±411","21.1%","±3.0","985","±287","16.6%","±4.3","1,573","±294","25.5%","±4.3"
"        Associate's degree","1,065","±317","8.8%","±2.5","437","±236","7.3%","±3.7","628","±209","10.2%","±3.5"
"        Bachelor's degree","1,757","±472","14.5%","±3.6","834","±285","14.0%","±4.6","923","±331","15.0%","±4.7"
"        Graduate or professional degree","941","±219","7.8%","±1.7","465","±167","7.8%","±2.7","476","±137","7.7%","±2.3"
