"Label (Grouping)","ZCTA5 40219!!Total!!Estimate","ZCTA5 40219!!Total!!Margin of Error","ZCTA5 40219!!Percent!!Estimate","ZCTA5 40219!!Percent!!Margin of Error","ZCTA5 40219!!Male!!Estimate","ZCTA5 40219!!Male!!Margin of Error","ZCTA5 40219!!Percent Male!!Estimate","ZCTA5 40219!!Percent Male!!Margin of Error","ZCTA5 40219!!Female!!Estimate","ZCTA5 40219!!Female!!Margin of Error","ZCTA5 40219!!Percent Female!!Estimate","ZCTA5 40219!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,871","±598","(X)","(X)","1,510","±311","(X)","(X)","1,361","±431","(X)","(X)"
"        Less than high school graduate","268","±142","9.3%","±4.7","195","±127","12.9%","±7.9","73","±64","5.4%","±4.7"
"        High school graduate (includes equivalency)","1,614","±339","56.2%","±6.6","1,032","±214","68.3%","±8.8","582","±216","42.8%","±9.6"
"        Some college or associate's degree","851","±310","29.6%","±7.5","271","±151","17.9%","±8.3","580","±243","42.6%","±11.2"
"        Bachelor's degree or higher","138","±140","4.8%","±4.7","12","±19","0.8%","±1.3","126","±139","9.3%","±9.5"
"    Population 25 years and over","25,772","±1,383","(X)","(X)","11,929","±818","(X)","(X)","13,843","±885","(X)","(X)"
"        Less than 9th grade","1,000","±355","3.9%","±1.4","351","±180","2.9%","±1.5","649","±245","4.7%","±1.7"
"        9th to 12th grade, no diploma","2,231","±476","8.7%","±1.7","1,168","±244","9.8%","±2.0","1,063","±353","7.7%","±2.4"
"        High school graduate (includes equivalency)","8,997","±922","34.9%","±3.0","4,531","±577","38.0%","±3.8","4,466","±606","32.3%","±4.1"
"        Some college, no degree","5,719","±642","22.2%","±2.5","2,597","±453","21.8%","±3.6","3,122","±476","22.6%","±3.3"
"        Associate's degree","2,768","±464","10.7%","±1.8","1,231","±284","10.3%","±2.2","1,537","±289","11.1%","±2.1"
"        Bachelor's degree","3,669","±634","14.2%","±2.2","1,576","±359","13.2%","±2.8","2,093","±521","15.1%","±3.5"
"        Graduate or professional degree","1,388","±345","5.4%","±1.3","475","±175","4.0%","±1.5","913","±265","6.6%","±1.8"
"        High school graduate or higher","22,541","±1,267","87.5%","±2.1","10,410","±807","87.3%","±2.5","12,131","±780","87.6%","±2.8"
"        Bachelor's degree or higher","5,057","±784","19.6%","±2.7","2,051","±384","17.2%","±3.0","3,006","±603","21.7%","±3.9"
"    Population 25 to 34 years","6,233","±918","(X)","(X)","2,985","±540","(X)","(X)","3,248","±677","(X)","(X)"
"        High school graduate or higher","5,664","±806","90.9%","±5.0","2,756","±510","92.3%","±5.0","2,908","±591","89.5%","±6.7"
"        Bachelor's degree or higher","1,879","±589","30.1%","±7.8","673","±273","22.5%","±8.8","1,206","±493","37.1%","±11.1"
"    Population 35 to 44 years","4,730","±719","(X)","(X)","2,384","±437","(X)","(X)","2,346","±402","(X)","(X)"
"        High school graduate or higher","3,939","±678","83.3%","±5.1","1,937","±421","81.3%","±7.5","2,002","±399","85.3%","±6.5"
"        Bachelor's degree or higher","1,261","±385","26.7%","±5.9","504","±201","21.1%","±7.4","757","±267","32.3%","±8.4"
"    Population 45 to 64 years","9,410","±800","(X)","(X)","4,343","±401","(X)","(X)","5,067","±539","(X)","(X)"
"        High school graduate or higher","8,371","±688","89.0%","±2.9","3,768","±377","86.8%","±4.8","4,603","±478","90.8%","±3.5"
"        Bachelor's degree or higher","1,273","±273","13.5%","±2.6","567","±191","13.1%","±4.0","706","±172","13.9%","±3.5"
"    Population 65 years and over","5,399","±498","(X)","(X)","2,217","±305","(X)","(X)","3,182","±376","(X)","(X)"
"        High school graduate or higher","4,567","±504","84.6%","±4.0","1,949","±303","87.9%","±4.8","2,618","±343","82.3%","±5.6"
"        Bachelor's degree or higher","644","±156","11.9%","±2.7","307","±95","13.8%","±4.0","337","±131","10.6%","±4.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","14,656","±1,041","(X)","(X)","6,986","±596","(X)","(X)","7,670","±623","(X)","(X)"
