"Label (Grouping)","ZCTA5 40208!!Total!!Estimate","ZCTA5 40208!!Total!!Margin of Error","ZCTA5 40208!!Percent!!Estimate","ZCTA5 40208!!Percent!!Margin of Error","ZCTA5 40208!!Male!!Estimate","ZCTA5 40208!!Male!!Margin of Error","ZCTA5 40208!!Percent Male!!Estimate","ZCTA5 40208!!Percent Male!!Margin of Error","ZCTA5 40208!!Female!!Estimate","ZCTA5 40208!!Female!!Margin of Error","ZCTA5 40208!!Percent Female!!Estimate","ZCTA5 40208!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","6,418","±601","(X)","(X)","3,011","±517","(X)","(X)","3,407","±378","(X)","(X)"
"        Less than high school graduate","175","±100","2.7%","±1.6","125","±89","4.2%","±3.0","50","±56","1.5%","±1.6"
"        High school graduate (includes equivalency)","1,849","±315","28.8%","±4.9","750","±156","24.9%","±5.5","1,099","±271","32.3%","±6.8"
"        Some college or associate's degree","3,592","±521","56.0%","±5.5","1,686","±406","56.0%","±8.0","1,906","±314","55.9%","±6.5"
"        Bachelor's degree or higher","802","±300","12.5%","±4.3","450","±220","14.9%","±6.2","352","±154","10.3%","±4.7"
"    Population 25 years and over","6,477","±801","(X)","(X)","3,510","±471","(X)","(X)","2,967","±480","(X)","(X)"
"        Less than 9th grade","318","±133","4.9%","±2.0","198","±118","5.6%","±3.2","120","±59","4.0%","±2.1"
"        9th to 12th grade, no diploma","456","±220","7.0%","±3.1","314","±185","8.9%","±4.8","142","±89","4.8%","±2.9"
"        High school graduate (includes equivalency)","1,402","±302","21.6%","±3.9","775","±177","22.1%","±4.3","627","±234","21.1%","±6.8"
"        Some college, no degree","1,657","±336","25.6%","±4.8","743","±212","21.2%","±5.8","914","±284","30.8%","±8.2"
"        Associate's degree","413","±230","6.4%","±3.2","242","±161","6.9%","±4.2","171","±121","5.8%","±4.1"
"        Bachelor's degree","1,072","±316","16.6%","±4.3","682","±214","19.4%","±5.8","390","±201","13.1%","±6.3"
"        Graduate or professional degree","1,159","±288","17.9%","±4.0","556","±199","15.8%","±5.3","603","±199","20.3%","±5.7"
"        High school graduate or higher","5,703","±732","88.1%","±3.4","2,998","±402","85.4%","±5.2","2,705","±461","91.2%","±3.1"
"        Bachelor's degree or higher","2,231","±429","34.4%","±5.0","1,238","±264","35.3%","±6.6","993","±278","33.5%","±7.3"
"    Population 25 to 34 years","2,221","±584","(X)","(X)","1,198","±358","(X)","(X)","1,023","±357","(X)","(X)"
"        High school graduate or higher","2,112","±535","95.1%","±5.4","1,106","±303","92.3%","±9.5","1,006","±354","98.3%","±2.8"
"        Bachelor's degree or higher","935","±274","42.1%","±10.0","568","±202","47.4%","±14.3","367","±171","35.9%","±13.6"
"    Population 35 to 44 years","1,445","±343","(X)","(X)","826","±275","(X)","(X)","619","±185","(X)","(X)"
"        High school graduate or higher","1,201","±298","83.1%","±6.9","734","±254","88.9%","±10.0","467","±166","75.4%","±9.6"
"        Bachelor's degree or higher","458","±193","31.7%","±10.4","280","±173","33.9%","±15.5","178","±79","28.8%","±10.6"
"    Population 45 to 64 years","1,720","±294","(X)","(X)","966","±230","(X)","(X)","754","±201","(X)","(X)"
"        High school graduate or higher","1,383","±275","80.4%","±7.5","689","±187","71.3%","±11.4","694","±192","92.0%","±5.6"
"        Bachelor's degree or higher","443","±166","25.8%","±8.5","204","±97","21.1%","±9.7","239","±106","31.7%","±12.1"
"    Population 65 years and over","1,091","±257","(X)","(X)","520","±172","(X)","(X)","571","±188","(X)","(X)"
"        High school graduate or higher","1,007","±260","92.3%","±4.7","469","±171","90.2%","±7.8","538","±187","94.2%","±5.9"
"        Bachelor's degree or higher","395","±176","36.2%","±12.2","186","±102","35.8%","±14.7","209","±127","36.6%","±16.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","4,239","±635","(X)","(X)","2,327","±401","(X)","(X)","1,912","±351","(X)","(X)"
"        High school graduate or higher","3,829","±571","90.3%","±4.0","2,028","±355","87.2%","±5.3","1,801","±326","94.2%","±3.9"
"        Bachelor's degree or higher","1,664","±370","39.3%","±6.4","912","±252","39.2%","±8.5","752","±225","39.3%","±9.1"
"    White alone, not Hispanic or Latino","4,221","±640","(X)","(X)","2,309","±404","(X)","(X)","1,912","±351","(X)","(X)"
"        High school graduate or higher","3,811","±576","90.3%","±4.0","2,010","±358","87.1%","±5.3","1,801","±326","94.2%","±3.9"
"        Bachelor's degree or higher","1,646","±369","39.0%","±6.3","894","±249","38.7%","±8.5","752","±225","39.3%","±9.1"
"    Black alone","1,577","±368","(X)","(X)","864","±256","(X)","(X)","713","±249","(X)","(X)"
"        High school graduate or higher","1,354","±340","85.9%","±5.7","769","±233","89.0%","±10.1","585","±242","82.0%","±9.8"
"        Bachelor's degree or higher","363","±212","23.0%","±10.4","195","±141","22.6%","±13.0","168","±152","23.6%","±16.5"
"    American Indian or Alaska Native alone","51","±46","(X)","(X)","29","±39","(X)","(X)","22","±22","(X)","(X)"
"        High school graduate or higher","38","±41","74.5%","±36.5","29","±39","100.0%","±59.2","9","±12","40.9%","±58.1"
"        Bachelor's degree or higher","31","±41","60.8%","±43.7","25","±39","86.2%","±40.2","6","±10","27.3%","±46.6"
"    Asian alone","41","±30","(X)","(X)","30","±27","(X)","(X)","11","±22","(X)","(X)"
"        High school graduate or higher","40","±30","97.6%","±6.9","30","±27","100.0%","±58.2","10","±22","90.9%","±29.9"
"        Bachelor's degree or higher","34","±29","82.9%","±24.6","24","±25","80.0%","±32.6","10","±22","90.9%","±29.9"
"    Native Hawaiian and Other Pacific Islander alone","4","±7","(X)","(X)","4","±7","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","3","±6","75.0%","±75.0","3","±6","75.0%","±75.0","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","-","**"
"    Some other race alone","21","±24","(X)","(X)","11","±16","(X)","(X)","10","±17","(X)","(X)"
"        High school graduate or higher","20","±24","95.2%","±14.8","10","±16","90.9%","±28.8","10","±17","100.0%","±100.0"
"        Bachelor's degree or higher","10","±16","47.6%","±52.4","10","±16","90.9%","±28.8","0","±20","0.0%","±100.0"
"    Two or more races","544","±289","(X)","(X)","245","±146","(X)","(X)","299","±228","(X)","(X)"
"        High school graduate or higher","419","±244","77.0%","±20.8","129","±74","52.7%","±34.9","290","±228","97.0%","±8.0"
"        Bachelor's degree or higher","129","±85","23.7%","±17.4","72","±59","29.4%","±25.9","57","±47","19.1%","±19.0"
"    Hispanic or Latino Origin","313","±218","(X)","(X)","174","±138","(X)","(X)","139","±180","(X)","(X)"
"        High school graduate or higher","278","±217","88.8%","±15.1","139","±132","79.9%","±23.4","139","±180","100.0%","±23.3"
"        Bachelor's degree or higher","127","±129","40.6%","±33.8","127","±129","73.0%","±29.5","0","±20","0.0%","±23.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","62.5%","±15.8","(X)","(X)","56.6%","±22.5","(X)","(X)","74.0%","±14.5"
"    High school graduate (includes equivalency)","(X)","(X)","25.0%","±9.9","(X)","(X)","24.3%","±14.0","(X)","(X)","25.8%","±13.2"
"    Some college or associate's degree","(X)","(X)","20.7%","±7.5","(X)","(X)","16.9%","±9.8","(X)","(X)","24.1%","±10.7"
"    Bachelor's degree or higher","(X)","(X)","8.2%","±3.9","(X)","(X)","11.4%","±6.4","(X)","(X)","4.2%","±4.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","34,946","±3,459","(X)","(X)","38,364","±5,428","(X)","(X)","31,719","±5,064","(X)","(X)"
