"Label (Grouping)","ZCTA5 40211!!Total!!Estimate","ZCTA5 40211!!Total!!Margin of Error","ZCTA5 40211!!Percent!!Estimate","ZCTA5 40211!!Percent!!Margin of Error","ZCTA5 40211!!Male!!Estimate","ZCTA5 40211!!Male!!Margin of Error","ZCTA5 40211!!Percent Male!!Estimate","ZCTA5 40211!!Percent Male!!Margin of Error","ZCTA5 40211!!Female!!Estimate","ZCTA5 40211!!Female!!Margin of Error","ZCTA5 40211!!Percent Female!!Estimate","ZCTA5 40211!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,769","±513","(X)","(X)","570","±217","(X)","(X)","1,199","±440","(X)","(X)"
"        Less than high school graduate","216","±130","12.2%","±7.7","109","±96","19.1%","±14.9","107","±78","8.9%","±7.4"
"        High school graduate (includes equivalency)","994","±452","56.2%","±16.5","337","±166","59.1%","±17.6","657","±405","54.8%","±23.2"
"        Some college or associate's degree","480","±280","27.1%","±14.4","67","±52","11.8%","±8.4","413","±281","34.4%","±21.6"
"        Bachelor's degree or higher","79","±66","4.5%","±3.7","57","±54","10.0%","±8.3","22","±39","1.8%","±3.4"
"    Population 25 years and over","13,476","±1,003","(X)","(X)","5,203","±639","(X)","(X)","8,273","±722","(X)","(X)"
"        Less than 9th grade","213","±125","1.6%","±0.9","126","±75","2.4%","±1.4","87","±80","1.1%","±1.0"
"        9th to 12th grade, no diploma","1,711","±379","12.7%","±2.7","528","±166","10.1%","±3.1","1,183","±341","14.3%","±3.8"
"        High school graduate (includes equivalency)","5,218","±743","38.7%","±4.6","2,476","±529","47.6%","±7.3","2,742","±464","33.1%","±5.4"
"        Some college, no degree","3,731","±642","27.7%","±4.2","1,285","±329","24.7%","±5.7","2,446","±556","29.6%","±5.5"
"        Associate's degree","1,167","±298","8.7%","±2.2","404","±168","7.8%","±3.2","763","±233","9.2%","±2.8"
"        Bachelor's degree","952","±291","7.1%","±2.1","258","±103","5.0%","±1.9","694","±248","8.4%","±3.0"
"        Graduate or professional degree","484","±166","3.6%","±1.2","126","±60","2.4%","±1.2","358","±159","4.3%","±1.9"
"        High school graduate or higher","11,552","±957","85.7%","±2.8","4,549","±601","87.4%","±3.3","7,003","±686","84.6%","±3.8"
"        Bachelor's degree or higher","1,436","±356","10.7%","±2.5","384","±124","7.4%","±2.3","1,052","±322","12.7%","±3.8"
"    Population 25 to 34 years","2,527","±487","(X)","(X)","1,270","±411","(X)","(X)","1,257","±270","(X)","(X)"
"        High school graduate or higher","2,230","±474","88.2%","±6.1","1,196","±391","94.2%","±4.9","1,034","±264","82.3%","±10.1"
"        Bachelor's degree or higher","195","±127","7.7%","±4.5","54","±48","4.3%","±3.6","141","±111","11.2%","±8.2"
"    Population 35 to 44 years","1,850","±369","(X)","(X)","683","±210","(X)","(X)","1,167","±290","(X)","(X)"
"        High school graduate or higher","1,450","±330","78.4%","±11.4","560","±196","82.0%","±13.0","890","±248","76.3%","±14.3"
"        Bachelor's degree or higher","265","±165","14.3%","±8.1","25","±25","3.7%","±3.9","240","±162","20.6%","±11.9"
"    Population 45 to 64 years","6,155","±840","(X)","(X)","2,251","±368","(X)","(X)","3,904","±608","(X)","(X)"
"        High school graduate or higher","5,275","±821","85.7%","±4.3","1,886","±358","83.8%","±6.6","3,389","±609","86.8%","±5.5"
"        Bachelor's degree or higher","529","±184","8.6%","±3.1","181","±77","8.0%","±3.3","348","±153","8.9%","±4.1"
"    Population 65 years and over","2,944","±358","(X)","(X)","999","±247","(X)","(X)","1,945","±258","(X)","(X)"
"        High school graduate or higher","2,597","±330","88.2%","±3.9","907","±235","90.8%","±5.0","1,690","±250","86.9%","±5.4"
"        Bachelor's degree or higher","447","±154","15.2%","±4.8","124","±69","12.4%","±7.2","323","±150","16.6%","±6.8"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","668","±210","(X)","(X)","300","±140","(X)","(X)","368","±128","(X)","(X)"
"        High school graduate or higher","537","±172","80.4%","±11.6","242","±105","80.7%","±12.1","295","±116","80.2%","±15.5"
"        Bachelor's degree or higher","67","±40","10.0%","±6.8","51","±28","17.0%","±12.4","16","±18","4.3%","±4.9"
"    White alone, not Hispanic or Latino","645","±198","(X)","(X)","277","±131","(X)","(X)","368","±128","(X)","(X)"
"        High school graduate or higher","516","±159","80.0%","±11.9","221","±94","79.8%","±12.8","295","±116","80.2%","±15.5"
"        Bachelor's degree or higher","67","±40","10.4%","±7.0","51","±28","18.4%","±13.4","16","±18","4.3%","±4.9"
"    Black alone","12,285","±983","(X)","(X)","4,679","±610","(X)","(X)","7,606","±737","(X)","(X)"
"        High school graduate or higher","10,567","±970","86.0%","±2.9","4,083","±578","87.3%","±3.7","6,484","±704","85.2%","±3.8"
"        Bachelor's degree or higher","1,250","±328","10.2%","±2.6","273","±113","5.8%","±2.3","977","±305","12.8%","±3.9"
"    American Indian or Alaska Native alone","15","±20","(X)","(X)","4","±5","(X)","(X)","11","±16","(X)","(X)"
"        High school graduate or higher","10","±12","66.7%","±19.4","4","±5","100.0%","±100.0","6","±8","54.5%","±27.6"
"        Bachelor's degree or higher","0","±24","0.0%","±82.3","0","±24","0.0%","±100.0","0","±24","0.0%","±96.0"
"    Asian alone","17","±22","(X)","(X)","11","±19","(X)","(X)","6","±11","(X)","(X)"
"        High school graduate or higher","17","±22","100.0%","±77.3","11","±19","100.0%","±96.0","6","±11","100.0%","±100.0"
"        Bachelor's degree or higher","6","±11","35.3%","±57.7","0","±24","0.0%","±96.0","6","±11","100.0%","±100.0"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
