"Label (Grouping)","ZCTA5 40025!!Total!!Estimate","ZCTA5 40025!!Total!!Margin of Error","ZCTA5 40025!!Percent!!Estimate","ZCTA5 40025!!Percent!!Margin of Error","ZCTA5 40025!!Male!!Estimate","ZCTA5 40025!!Male!!Margin of Error","ZCTA5 40025!!Percent Male!!Estimate","ZCTA5 40025!!Percent Male!!Margin of Error","ZCTA5 40025!!Female!!Estimate","ZCTA5 40025!!Female!!Margin of Error","ZCTA5 40025!!Percent Female!!Estimate","ZCTA5 40025!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","9","±9","(X)","(X)","7","±7","(X)","(X)","2","±3","(X)","(X)"
"        Less than high school graduate","1","±5","11.1%","±56.1","1","±5","14.3%","±61.3","0","±13","0.0%","±100.0"
"        High school graduate (includes equivalency)","0","±13","0.0%","±100.0","0","±13","0.0%","±100.0","0","±13","0.0%","±100.0"
"        Some college or associate's degree","2","±3","22.2%","±32.2","0","±13","0.0%","±100.0","2","±3","100.0%","±100.0"
"        Bachelor's degree or higher","6","±6","66.7%","±40.8","6","±6","85.7%","±61.3","0","±13","0.0%","±100.0"
"    Population 25 years and over","465","±126","(X)","(X)","259","±72","(X)","(X)","206","±59","(X)","(X)"
"        Less than 9th grade","2","±3","0.4%","±0.7","0","±13","0.0%","±13.5","2","±3","1.0%","±1.5"
"        9th to 12th grade, no diploma","2","±5","0.4%","±1.0","0","±13","0.0%","±13.5","2","±5","1.0%","±2.4"
"        High school graduate (includes equivalency)","16","±14","3.4%","±3.1","10","±11","3.9%","±4.4","6","±7","2.9%","±3.6"
"        Some college, no degree","14","±8","3.0%","±1.9","6","±6","2.3%","±2.5","8","±7","3.9%","±3.3"
"        Associate's degree","9","±9","1.9%","±1.9","0","±13","0.0%","±13.5","9","±9","4.4%","±4.3"
"        Bachelor's degree","143","±41","30.8%","±11.0","66","±26","25.5%","±11.7","77","±22","37.4%","±12.9"
"        Graduate or professional degree","279","±120","60.0%","±12.5","177","±71","68.3%","±12.7","102","±54","49.5%","±15.1"
"        High school graduate or higher","461","±126","99.1%","±1.1","259","±72","100.0%","±13.5","202","±59","98.1%","±2.6"
"        Bachelor's degree or higher","422","±123","90.8%","±4.3","243","±72","93.8%","±5.4","179","±57","86.9%","±7.8"
"    Population 25 to 34 years","9","±8","(X)","(X)","5","±5","(X)","(X)","4","±4","(X)","(X)"
"        High school graduate or higher","9","±8","100.0%","±100.0","5","±5","100.0%","±100.0","4","±4","100.0%","±100.0"
"        Bachelor's degree or higher","9","±8","100.0%","±100.0","5","±5","100.0%","±100.0","4","±4","100.0%","±100.0"
