"Label (Grouping)","ZCTA5 40213!!Total!!Estimate","ZCTA5 40213!!Total!!Margin of Error","ZCTA5 40213!!Percent!!Estimate","ZCTA5 40213!!Percent!!Margin of Error","ZCTA5 40213!!Male!!Estimate","ZCTA5 40213!!Male!!Margin of Error","ZCTA5 40213!!Percent Male!!Estimate","ZCTA5 40213!!Percent Male!!Margin of Error","ZCTA5 40213!!Female!!Estimate","ZCTA5 40213!!Female!!Margin of Error","ZCTA5 40213!!Percent Female!!Estimate","ZCTA5 40213!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,284","±281","(X)","(X)","645","±211","(X)","(X)","639","±188","(X)","(X)"
"        Less than high school graduate","90","±74","7.0%","±5.3","72","±73","11.2%","±11.0","18","±20","2.8%","±2.9"
"        High school graduate (includes equivalency)","660","±231","51.4%","±13.2","352","±177","54.6%","±17.1","308","±146","48.2%","±17.5"
"        Some college or associate's degree","397","±145","30.9%","±9.7","210","±102","32.6%","±14.6","187","±111","29.3%","±15.5"
"        Bachelor's degree or higher","137","±73","10.7%","±6.0","11","±12","1.7%","±2.2","126","±72","19.7%","±10.6"
"    Population 25 years and over","11,205","±827","(X)","(X)","5,526","±533","(X)","(X)","5,679","±489","(X)","(X)"
"        Less than 9th grade","340","±182","3.0%","±1.6","83","±57","1.5%","±1.1","257","±169","4.5%","±2.8"
"        9th to 12th grade, no diploma","770","±168","6.9%","±1.6","540","±158","9.8%","±2.9","230","±78","4.1%","±1.4"
"        High school graduate (includes equivalency)","3,286","±414","29.3%","±3.1","1,625","±267","29.4%","±4.4","1,661","±324","29.2%","±5.0"
"        Some college, no degree","2,845","±528","25.4%","±3.8","1,462","±384","26.5%","±5.5","1,383","±287","24.4%","±4.2"
"        Associate's degree","1,130","±263","10.1%","±2.2","630","±232","11.4%","±4.0","500","±143","8.8%","±2.5"
"        Bachelor's degree","1,671","±246","14.9%","±2.0","748","±165","13.5%","±2.9","923","±172","16.3%","±3.0"
"        Graduate or professional degree","1,163","±239","10.4%","±2.2","438","±122","7.9%","±2.3","725","±166","12.8%","±3.0"
"        High school graduate or higher","10,095","±815","90.1%","±2.4","4,903","±545","88.7%","±3.2","5,192","±448","91.4%","±3.3"
"        Bachelor's degree or higher","2,834","±307","25.3%","±2.7","1,186","±189","21.5%","±3.5","1,648","±207","29.0%","±3.7"
"    Population 25 to 34 years","2,195","±374","(X)","(X)","1,060","±216","(X)","(X)","1,135","±225","(X)","(X)"
"        High school graduate or higher","2,113","±370","96.3%","±2.6","1,019","±217","96.1%","±3.0","1,094","±226","96.4%","±4.2"
"        Bachelor's degree or higher","707","±190","32.2%","±8.4","328","±98","30.9%","±8.9","379","±129","33.4%","±10.7"
"    Population 35 to 44 years","2,324","±451","(X)","(X)","1,166","±225","(X)","(X)","1,158","±344","(X)","(X)"
"        High school graduate or higher","2,004","±382","86.2%","±8.0","971","±207","83.3%","±9.7","1,033","±271","89.2%","±13.3"
"        Bachelor's degree or higher","869","±180","37.4%","±6.0","310","±104","26.6%","±8.7","559","±144","48.3%","±10.6"
"    Population 45 to 64 years","4,324","±471","(X)","(X)","2,238","±356","(X)","(X)","2,086","±250","(X)","(X)"
"        High school graduate or higher","3,889","±464","89.9%","±3.4","2,009","±330","89.8%","±4.6","1,880","±248","90.1%","±3.6"
"        Bachelor's degree or higher","901","±198","20.8%","±4.5","331","±109","14.8%","±5.2","570","±144","27.3%","±6.5"
"    Population 65 years and over","2,362","±392","(X)","(X)","1,062","±282","(X)","(X)","1,300","±226","(X)","(X)"
"        High school graduate or higher","2,089","±391","88.4%","±4.4","904","±276","85.1%","±7.3","1,185","±228","91.2%","±4.8"
"        Bachelor's degree or higher","357","±111","15.1%","±4.5","217","±100","20.4%","±9.0","140","±47","10.8%","±4.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","7,723","±632","(X)","(X)","3,909","±430","(X)","(X)","3,814","±353","(X)","(X)"
"        High school graduate or higher","7,111","±622","92.1%","±2.0","3,530","±438","90.3%","±3.2","3,581","±343","93.9%","±1.9"
