"Label (Grouping)","ZCTA5 40023!!Total!!Estimate","ZCTA5 40023!!Total!!Margin of Error","ZCTA5 40023!!Percent!!Estimate","ZCTA5 40023!!Percent!!Margin of Error","ZCTA5 40023!!Male!!Estimate","ZCTA5 40023!!Male!!Margin of Error","ZCTA5 40023!!Percent Male!!Estimate","ZCTA5 40023!!Percent Male!!Margin of Error","ZCTA5 40023!!Female!!Estimate","ZCTA5 40023!!Female!!Margin of Error","ZCTA5 40023!!Percent Female!!Estimate","ZCTA5 40023!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","281","±101","(X)","(X)","91","±65","(X)","(X)","190","±84","(X)","(X)"
"        Less than high school graduate","57","±36","20.3%","±12.3","19","±21","20.9%","±23.4","38","±28","20.0%","±15.1"
"        High school graduate (includes equivalency)","119","±69","42.3%","±18.3","0","±18","0.0%","±32.4","119","±69","62.6%","±20.3"
"        Some college or associate's degree","93","±64","33.1%","±19.2","72","±62","79.1%","±23.4","21","±21","11.1%","±11.2"
"        Bachelor's degree or higher","12","±19","4.3%","±7.0","0","±18","0.0%","±32.4","12","±19","6.3%","±9.4"
"    Population 25 years and over","4,572","±681","(X)","(X)","2,279","±483","(X)","(X)","2,293","±293","(X)","(X)"
"        Less than 9th grade","12","±19","0.3%","±0.4","12","±19","0.5%","±0.9","0","±18","0.0%","±1.6"
"        9th to 12th grade, no diploma","47","±46","1.0%","±1.0","23","±35","1.0%","±1.6","24","±29","1.0%","±1.3"
"        High school graduate (includes equivalency)","833","±252","18.2%","±4.4","453","±189","19.9%","±7.1","380","±128","16.6%","±5.0"
"        Some college, no degree","948","±271","20.7%","±5.1","650","±239","28.5%","±8.3","298","±97","13.0%","±4.2"
"        Associate's degree","440","±199","9.6%","±4.1","160","±88","7.0%","±3.8","280","±163","12.2%","±6.8"
"        Bachelor's degree","1,297","±364","28.4%","±5.7","724","±247","31.8%","±7.5","573","±202","25.0%","±7.4"
"        Graduate or professional degree","995","±220","21.8%","±5.2","257","±92","11.3%","±3.9","738","±173","32.2%","±7.6"
"        High school graduate or higher","4,513","±685","98.7%","±1.1","2,244","±485","98.5%","±1.8","2,269","±296","99.0%","±1.3"
"        Bachelor's degree or higher","2,292","±465","50.1%","±7.5","981","±286","43.0%","±8.4","1,311","±272","57.2%","±9.3"
"    Population 25 to 34 years","849","±357","(X)","(X)","403","±181","(X)","(X)","446","±198","(X)","(X)"
"        High school graduate or higher","826","±365","97.3%","±4.7","380","±192","94.3%","±10.0","446","±198","100.0%","±8.1"
"        Bachelor's degree or higher","440","±229","51.8%","±25.9","132","±96","32.8%","±24.8","308","±148","69.1%","±28.4"
"    Population 35 to 44 years","731","±221","(X)","(X)","235","±102","(X)","(X)","496","±155","(X)","(X)"
"        High school graduate or higher","731","±221","100.0%","±5.0","235","±102","100.0%","±14.7","496","±155","100.0%","±7.3"
"        Bachelor's degree or higher","438","±176","59.9%","±16.1","131","±71","55.7%","±22.2","307","±131","61.9%","±17.4"
"    Population 45 to 64 years","1,961","±340","(X)","(X)","933","±183","(X)","(X)","1,028","±223","(X)","(X)"
"        High school graduate or higher","1,954","±339","99.6%","±0.6","933","±183","100.0%","±3.9","1,021","±222","99.3%","±1.1"
"        Bachelor's degree or higher","983","±269","50.1%","±9.0","442","±126","47.4%","±10.4","541","±209","52.6%","±12.8"
"    Population 65 years and over","1,031","±392","(X)","(X)","708","±381","(X)","(X)","323","±83","(X)","(X)"
"        High school graduate or higher","1,002","±393","97.2%","±3.3","696","±382","98.3%","±2.9","306","±77","94.7%","±8.0"
"        Bachelor's degree or higher","431","±212","41.8%","±12.1","276","±196","39.0%","±15.2","155","±61","48.0%","±15.4"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","4,001","±688","(X)","(X)","2,037","±489","(X)","(X)","1,964","±284","(X)","(X)"
"        High school graduate or higher","3,949","±690","98.7%","±1.2","2,002","±490","98.3%","±2.0","1,947","±286","99.1%","±1.4"
"        Bachelor's degree or higher","1,874","±445","46.8%","±7.9","815","±286","40.0%","±9.2","1,059","±245","53.9%","±9.9"
"    White alone, not Hispanic or Latino","3,989","±685","(X)","(X)","2,025","±487","(X)","(X)","1,964","±284","(X)","(X)"
"        High school graduate or higher","3,937","±687","98.7%","±1.2","1,990","±488","98.3%","±2.0","1,947","±286","99.1%","±1.4"
"        Bachelor's degree or higher","1,862","±445","46.7%","±8.0","803","±286","39.7%","±9.3","1,059","±245","53.9%","±9.9"
"    Black alone","224","±123","(X)","(X)","94","±52","(X)","(X)","130","±73","(X)","(X)"
"        High school graduate or higher","217","±119","96.9%","±4.8","94","±52","100.0%","±31.7","123","±68","94.6%","±7.8"
"        Bachelor's degree or higher","188","±109","83.9%","±22.8","86","±50","91.5%","±13.3","102","±60","78.5%","±28.6"
"    American Indian or Alaska Native alone","2","±3","(X)","(X)","0","±18","(X)","(X)","2","±3","(X)","(X)"
"        High school graduate or higher","2","±3","100.0%","±100.0","0","±18","-","**","2","±3","100.0%","±100.0"
"        Bachelor's degree or higher","0","±18","0.0%","±100.0","0","±18","-","**","0","±18","0.0%","±100.0"
"    Asian alone","118","±105","(X)","(X)","62","±61","(X)","(X)","56","±48","(X)","(X)"
"        High school graduate or higher","118","±105","100.0%","±26.7","62","±61","100.0%","±40.5","56","±48","100.0%","±42.6"
"        Bachelor's degree or higher","62","±52","52.5%","±12.5","12","±18","19.4%","±31.9","50","±48","89.3%","±21.9"
"    Native Hawaiian and Other Pacific Islander alone","0","±18","(X)","(X)","0","±18","(X)","(X)","0","±18","(X)","(X)"
"        High school graduate or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"        Bachelor's degree or higher","0","±18","-","**","0","±18","-","**","0","±18","-","**"
"    Some other race alone","105","±84","(X)","(X)","0","±18","(X)","(X)","105","±84","(X)","(X)"
"        High school graduate or higher","105","±84","100.0%","±29.2","0","±18","-","**","105","±84","100.0%","±29.2"
