"Label (Grouping)","ZCTA5 40291!!Total!!Estimate","ZCTA5 40291!!Total!!Margin of Error","ZCTA5 40291!!Percent!!Estimate","ZCTA5 40291!!Percent!!Margin of Error","ZCTA5 40291!!Male!!Estimate","ZCTA5 40291!!Male!!Margin of Error","ZCTA5 40291!!Percent Male!!Estimate","ZCTA5 40291!!Percent Male!!Margin of Error","ZCTA5 40291!!Female!!Estimate","ZCTA5 40291!!Female!!Margin of Error","ZCTA5 40291!!Percent Female!!Estimate","ZCTA5 40291!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","3,226","±577","(X)","(X)","1,673","±413","(X)","(X)","1,553","±358","(X)","(X)"
"        Less than high school graduate","167","±79","5.2%","±2.5","85","±55","5.1%","±3.2","82","±69","5.3%","±4.6"
"        High school graduate (includes equivalency)","1,231","±387","38.2%","±9.5","808","±346","48.3%","±15.2","423","±175","27.2%","±9.3"
"        Some college or associate's degree","1,464","±413","45.4%","±10.3","686","±290","41.0%","±15.6","778","±257","50.1%","±12.0"
"        Bachelor's degree or higher","364","±204","11.3%","±5.9","94","±82","5.6%","±4.8","270","±152","17.4%","±8.3"
"    Population 25 years and over","28,288","±1,521","(X)","(X)","13,111","±801","(X)","(X)","15,177","±958","(X)","(X)"
"        Less than 9th grade","365","±153","1.3%","±0.5","226","±122","1.7%","±0.9","139","±71","0.9%","±0.5"
"        9th to 12th grade, no diploma","1,194","±304","4.2%","±1.0","535","±192","4.1%","±1.4","659","±197","4.3%","±1.3"
"        High school graduate (includes equivalency)","7,857","±755","27.8%","±2.2","3,611","±361","27.5%","±2.4","4,246","±619","28.0%","±3.4"
"        Some college, no degree","6,349","±695","22.4%","±2.3","2,859","±348","21.8%","±2.7","3,490","±500","23.0%","±2.9"
"        Associate's degree","3,261","±648","11.5%","±2.2","1,581","±357","12.1%","±2.6","1,680","±425","11.1%","±2.7"
"        Bachelor's degree","5,735","±691","20.3%","±2.3","2,965","±466","22.6%","±3.2","2,770","±385","18.3%","±2.5"
"        Graduate or professional degree","3,527","±522","12.5%","±1.7","1,334","±355","10.2%","±2.5","2,193","±358","14.4%","±2.3"
"        High school graduate or higher","26,729","±1,432","94.5%","±1.2","12,350","±730","94.2%","±1.6","14,379","±951","94.7%","±1.5"
"        Bachelor's degree or higher","9,262","±903","32.7%","±2.7","4,299","±573","32.8%","±3.6","4,963","±471","32.7%","±2.9"
"    Population 25 to 34 years","5,390","±937","(X)","(X)","2,610","±597","(X)","(X)","2,780","±518","(X)","(X)"
"        High school graduate or higher","5,079","±889","94.2%","±3.5","2,458","±544","94.2%","±4.7","2,621","±494","94.3%","±4.8"
"        Bachelor's degree or higher","2,149","±602","39.9%","±7.1","934","±386","35.8%","±10.4","1,215","±306","43.7%","±8.5"
"    Population 35 to 44 years","5,179","±600","(X)","(X)","2,420","±308","(X)","(X)","2,759","±431","(X)","(X)"
