"Label (Grouping)","ZCTA5 40216!!Total!!Estimate","ZCTA5 40216!!Total!!Margin of Error","ZCTA5 40216!!Percent!!Estimate","ZCTA5 40216!!Percent!!Margin of Error","ZCTA5 40216!!Male!!Estimate","ZCTA5 40216!!Male!!Margin of Error","ZCTA5 40216!!Percent Male!!Estimate","ZCTA5 40216!!Percent Male!!Margin of Error","ZCTA5 40216!!Female!!Estimate","ZCTA5 40216!!Female!!Margin of Error","ZCTA5 40216!!Percent Female!!Estimate","ZCTA5 40216!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","3,630","±547","(X)","(X)","2,013","±433","(X)","(X)","1,617","±374","(X)","(X)"
"        Less than high school graduate","793","±278","21.8%","±6.3","601","±261","29.9%","±11.2","192","±101","11.9%","±6.5"
"        High school graduate (includes equivalency)","1,722","±447","47.4%","±9.1","937","±313","46.5%","±11.1","785","±303","48.5%","±14.3"
"        Some college or associate's degree","959","±286","26.4%","±8.6","402","±186","20.0%","±9.0","557","±259","34.4%","±13.2"
"        Bachelor's degree or higher","156","±127","4.3%","±3.3","73","±62","3.6%","±2.9","83","±102","5.1%","±6.4"
"    Population 25 years and over","29,889","±1,518","(X)","(X)","13,031","±819","(X)","(X)","16,858","±1,092","(X)","(X)"
"        Less than 9th grade","1,134","±258","3.8%","±0.9","497","±172","3.8%","±1.3","637","±197","3.8%","±1.2"
"        9th to 12th grade, no diploma","2,862","±724","9.6%","±2.2","1,244","±328","9.5%","±2.4","1,618","±636","9.6%","±3.5"
"        High school graduate (includes equivalency)","12,139","±942","40.6%","±2.7","5,845","±675","44.9%","±4.5","6,294","±582","37.3%","±3.0"
"        Some college, no degree","6,944","±756","23.2%","±2.4","3,032","±458","23.3%","±3.2","3,912","±558","23.2%","±3.2"
"        Associate's degree","2,761","±461","9.2%","±1.6","1,009","±264","7.7%","±2.1","1,752","±354","10.4%","±2.1"
"        Bachelor's degree","3,040","±632","10.2%","±1.9","1,173","±372","9.0%","±2.7","1,867","±390","11.1%","±2.2"
"        Graduate or professional degree","1,009","±243","3.4%","±0.8","231","±111","1.8%","±0.9","778","±218","4.6%","±1.3"
"        High school graduate or higher","25,893","±1,298","86.6%","±2.1","11,290","±759","86.6%","±2.6","14,603","±889","86.6%","±3.3"
"        Bachelor's degree or higher","4,049","±685","13.5%","±2.1","1,404","±389","10.8%","±2.8","2,645","±443","15.7%","±2.4"
"    Population 25 to 34 years","4,970","±821","(X)","(X)","2,155","±417","(X)","(X)","2,815","±759","(X)","(X)"
"        High school graduate or higher","4,084","±623","82.2%","±9.7","1,832","±386","85.0%","±7.0","2,252","±471","80.0%","±16.2"
"        Bachelor's degree or higher","736","±273","14.8%","±5.3","133","±73","6.2%","±3.6","603","±236","21.4%","±8.7"
"    Population 35 to 44 years","5,962","±797","(X)","(X)","2,414","±497","(X)","(X)","3,548","±503","(X)","(X)"
"        High school graduate or higher","5,434","±756","91.1%","±3.5","2,251","±491","93.2%","±3.4","3,183","±475","89.7%","±5.2"
"        Bachelor's degree or higher","1,320","±521","22.1%","±7.3","405","±290","16.8%","±10.3","915","±296","25.8%","±7.4"
"    Population 45 to 64 years","11,291","±958","(X)","(X)","5,113","±500","(X)","(X)","6,178","±636","(X)","(X)"
"        High school graduate or higher","10,183","±926","90.2%","±2.1","4,575","±503","89.5%","±2.6","5,608","±604","90.8%","±3.1"
"        Bachelor's degree or higher","1,416","±296","12.5%","±2.4","509","±202","10.0%","±3.7","907","±224","14.7%","±3.3"
"    Population 65 years and over","7,666","±730","(X)","(X)","3,349","±461","(X)","(X)","4,317","±460","(X)","(X)"
"        High school graduate or higher","6,192","±656","80.8%","±4.3","2,632","±427","78.6%","±6.3","3,560","±425","82.5%","±5.8"
"        Bachelor's degree or higher","577","±175","7.5%","±2.3","357","±135","10.7%","±4.0","220","±108","5.1%","±2.5"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","15,465","±1,122","(X)","(X)","7,118","±727","(X)","(X)","8,347","±618","(X)","(X)"
"        High school graduate or higher","13,488","±1,104","87.2%","±2.4","6,090","±667","85.6%","±3.2","7,398","±618","88.6%","±3.2"
"        Bachelor's degree or higher","2,073","±603","13.4%","±3.5","799","±318","11.2%","±4.1","1,274","±359","15.3%","±4.0"
"    White alone, not Hispanic or Latino","15,055","±1,081","(X)","(X)","6,883","±702","(X)","(X)","8,172","±607","(X)","(X)"
"        High school graduate or higher","13,111","±1,077","87.1%","±2.5","5,881","±655","85.4%","±3.4","7,230","±609","88.5%","±3.3"
"        Bachelor's degree or higher","1,923","±594","12.8%","±3.6","777","±317","11.3%","±4.2","1,146","±346","14.0%","±4.0"
"    Black alone","12,335","±1,324","(X)","(X)","5,027","±580","(X)","(X)","7,308","±1,066","(X)","(X)"
"        High school graduate or higher","10,784","±1,041","87.4%","±4.1","4,549","±586","90.5%","±3.5","6,235","±782","85.3%","±6.6"
"        Bachelor's degree or higher","1,642","±372","13.3%","±2.8","520","±220","10.3%","±4.2","1,122","±265","15.4%","±3.5"
"    American Indian or Alaska Native alone","17","±24","(X)","(X)","17","±24","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","8","±11","47.1%","±52.9","8","±11","47.1%","±52.9","0","±27","-","**"
"        Bachelor's degree or higher","0","±27","0.0%","±77.3","0","±27","0.0%","±77.3","0","±27","-","**"
"    Asian alone","300","±195","(X)","(X)","160","±116","(X)","(X)","140","±115","(X)","(X)"
"        High school graduate or higher","177","±136","59.0%","±22.1","110","±99","68.8%","±28.8","67","±59","47.9%","±19.1"
"        Bachelor's degree or higher","7","±12","2.3%","±4.6","7","±12","4.4%","±8.8","0","±27","0.0%","±23.2"
"    Native Hawaiian and Other Pacific Islander alone","0","±27","(X)","(X)","0","±27","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"        Bachelor's degree or higher","0","±27","-","**","0","±27","-","**","0","±27","-","**"
"    Some other race alone","346","±216","(X)","(X)","182","±115","(X)","(X)","164","±119","(X)","(X)"
"        High school graduate or higher","265","±151","76.6%","±8.9","143","±94","78.6%","±20.8","122","±76","74.4%","±18.9"
"        Bachelor's degree or higher","91","±59","26.3%","±20.4","34","±49","18.7%","±26.4","57","±42","34.8%","±28.3"
"    Two or more races","1,426","±340","(X)","(X)","527","±174","(X)","(X)","899","±223","(X)","(X)"
"        High school graduate or higher","1,171","±281","82.1%","±7.1","390","±145","74.0%","±11.7","781","±199","86.9%","±7.6"
"        Bachelor's degree or higher","236","±118","16.5%","±7.9","44","±41","8.3%","±7.2","192","±117","21.4%","±11.6"
"    Hispanic or Latino Origin","1,533","±454","(X)","(X)","791","±263","(X)","(X)","742","±237","(X)","(X)"
"        High school graduate or higher","1,195","±389","78.0%","±8.9","582","±231","73.6%","±12.7","613","±201","82.6%","±9.1"
"        Bachelor's degree or higher","305","±157","19.9%","±7.9","90","±66","11.4%","±7.7","215","±140","29.0%","±15.2"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","27.6%","±8.1","(X)","(X)","20.0%","±6.7","(X)","(X)","33.5%","±13.0"
"    High school graduate (includes equivalency)","(X)","(X)","15.2%","±4.0","(X)","(X)","11.0%","±4.7","(X)","(X)","19.1%","±5.2"
"    Some college or associate's degree","(X)","(X)","11.6%","±3.1","(X)","(X)","4.9%","±2.4","(X)","(X)","16.4%","±4.8"
"    Bachelor's degree or higher","(X)","(X)","4.2%","±2.6","(X)","(X)","4.0%","±3.1","(X)","(X)","4.2%","±3.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","40,856","±2,308","(X)","(X)","43,796","±2,981","(X)","(X)","37,693","±4,482","(X)","(X)"
"        Less than high school graduate","24,167","±10,777","(X)","(X)","37,850","±8,501","(X)","(X)","18,524","±7,421","(X)","(X)"
"        High school graduate (includes equivalency)","34,224","±2,665","(X)","(X)","36,049","±5,271","(X)","(X)","31,382","±5,417","(X)","(X)"
"        Some college or associate's degree","42,183","±2,390","(X)","(X)","45,570","±2,913","(X)","(X)","40,056","±5,544","(X)","(X)"
"        Bachelor's degree","57,538","±7,435","(X)","(X)","58,203","±6,577","(X)","(X)","54,184","±14,416","(X)","(X)"
"        Graduate or professional degree","60,833","±7,589","(X)","(X)","56,667","±27,452","(X)","(X)","60,895","±6,953","(X)","(X)"
