"Label (Grouping)","ZCTA5 40204!!Total!!Estimate","ZCTA5 40204!!Total!!Margin of Error","ZCTA5 40204!!Percent!!Estimate","ZCTA5 40204!!Percent!!Margin of Error","ZCTA5 40204!!Male!!Estimate","ZCTA5 40204!!Male!!Margin of Error","ZCTA5 40204!!Percent Male!!Estimate","ZCTA5 40204!!Percent Male!!Margin of Error","ZCTA5 40204!!Female!!Estimate","ZCTA5 40204!!Female!!Margin of Error","ZCTA5 40204!!Percent Female!!Estimate","ZCTA5 40204!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,264","±290","(X)","(X)","465","±200","(X)","(X)","799","±251","(X)","(X)"
"        Less than high school graduate","74","±67","5.9%","±5.2","67","±67","14.4%","±13.5","7","±12","0.9%","±1.6"
"        High school graduate (includes equivalency)","199","±99","15.7%","±7.3","59","±44","12.7%","±10.6","140","±79","17.5%","±9.3"
"        Some college or associate's degree","337","±162","26.7%","±11.0","120","±94","25.8%","±16.1","217","±111","27.2%","±11.5"
"        Bachelor's degree or higher","654","±216","51.7%","±12.3","219","±138","47.1%","±17.7","435","±187","54.4%","±14.2"
"    Population 25 years and over","11,264","±820","(X)","(X)","5,822","±611","(X)","(X)","5,442","±532","(X)","(X)"
"        Less than 9th grade","132","±65","1.2%","±0.6","80","±55","1.4%","±1.0","52","±41","1.0%","±0.7"
"        9th to 12th grade, no diploma","253","±111","2.2%","±1.0","119","±66","2.0%","±1.1","134","±76","2.5%","±1.4"
"        High school graduate (includes equivalency)","1,320","±289","11.7%","±2.6","763","±214","13.1%","±3.7","557","±144","10.2%","±2.6"
"        Some college, no degree","1,904","±384","16.9%","±2.9","1,203","±350","20.7%","±4.8","701","±173","12.9%","±3.0"
"        Associate's degree","556","±170","4.9%","±1.4","270","±120","4.6%","±2.0","286","±116","5.3%","±2.1"
"        Bachelor's degree","3,707","±463","32.9%","±2.9","1,820","±349","31.3%","±4.1","1,887","±270","34.7%","±4.2"
"        Graduate or professional degree","3,392","±403","30.1%","±3.3","1,567","±230","26.9%","±4.5","1,825","±372","33.5%","±5.4"
"        High school graduate or higher","10,879","±810","96.6%","±1.1","5,623","±604","96.6%","±1.5","5,256","±509","96.6%","±1.7"
"        Bachelor's degree or higher","7,099","±615","63.0%","±3.0","3,387","±385","58.2%","±4.4","3,712","±456","68.2%","±4.4"
"    Population 25 to 34 years","3,383","±480","(X)","(X)","1,761","±374","(X)","(X)","1,622","±303","(X)","(X)"
"        High school graduate or higher","3,331","±495","98.5%","±1.8","1,732","±376","98.4%","±1.8","1,599","±312","98.6%","±1.9"
"        Bachelor's degree or higher","2,341","±377","69.2%","±6.2","979","±216","55.6%","±8.7","1,362","±299","84.0%","±5.8"
"    Population 35 to 44 years","2,097","±277","(X)","(X)","1,274","±229","(X)","(X)","823","±148","(X)","(X)"
"        High school graduate or higher","2,069","±270","98.7%","±1.7","1,260","±228","98.9%","±1.5","809","±142","98.3%","±2.2"
"        Bachelor's degree or higher","1,660","±264","79.2%","±6.2","969","±227","76.1%","±8.4","691","±124","84.0%","±6.9"
"    Population 45 to 64 years","3,568","±461","(X)","(X)","1,804","±246","(X)","(X)","1,764","±307","(X)","(X)"
"        High school graduate or higher","3,425","±450","96.0%","±1.8","1,711","±237","94.8%","±2.8","1,714","±304","97.2%","±2.3"
"        Bachelor's degree or higher","2,249","±378","63.0%","±5.5","1,030","±203","57.1%","±8.1","1,219","±272","69.1%","±7.4"
"    Population 65 years and over","2,216","±289","(X)","(X)","983","±208","(X)","(X)","1,233","±217","(X)","(X)"
"        High school graduate or higher","2,054","±291","92.7%","±3.2","920","±206","93.6%","±4.5","1,134","±219","92.0%","±5.7"
"        Bachelor's degree or higher","849","±188","38.3%","±7.4","409","±98","41.6%","±10.2","440","±143","35.7%","±10.0"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","9,869","±754","(X)","(X)","5,050","±575","(X)","(X)","4,819","±472","(X)","(X)"
"        High school graduate or higher","9,583","±755","97.1%","±1.1","4,866","±570","96.4%","±1.6","4,717","±463","97.9%","±1.2"
"        Bachelor's degree or higher","6,458","±598","65.4%","±3.3","3,019","±375","59.8%","±5.0","3,439","±425","71.4%","±4.4"
"    White alone, not Hispanic or Latino","9,697","±765","(X)","(X)","4,950","±582","(X)","(X)","4,747","±458","(X)","(X)"
"        High school graduate or higher","9,411","±768","97.1%","±1.1","4,766","±578","96.3%","±1.7","4,645","±450","97.9%","±1.2"
"        Bachelor's degree or higher","6,317","±600","65.1%","±3.4","2,950","±378","59.6%","±5.1","3,367","±408","70.9%","±4.4"
"    Black alone","647","±207","(X)","(X)","294","±105","(X)","(X)","353","±194","(X)","(X)"
"        High school graduate or higher","563","±183","87.0%","±7.5","287","±102","97.6%","±3.8","276","±167","78.2%","±13.1"
"        Bachelor's degree or higher","212","±148","32.8%","±16.5","81","±53","27.6%","±16.0","131","±135","37.1%","±26.3"
"    American Indian or Alaska Native alone","5","±7","(X)","(X)","5","±7","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","5","±7","100.0%","±100.0","5","±7","100.0%","±100.0","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","-","**"
"    Asian alone","287","±122","(X)","(X)","202","±106","(X)","(X)","85","±48","(X)","(X)"
"        High school graduate or higher","283","±122","98.6%","±2.4","198","±106","98.0%","±3.5","85","±48","100.0%","±33.9"
"        Bachelor's degree or higher","240","±112","83.6%","±15.6","167","±94","82.7%","±18.7","73","±45","85.9%","±17.9"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","42","±36","(X)","(X)","18","±21","(X)","(X)","24","±28","(X)","(X)"
"        High school graduate or higher","42","±36","100.0%","±49.2","18","±21","100.0%","±75.1","24","±28","100.0%","±65.0"
"        Bachelor's degree or higher","16","±17","38.1%","±40.7","8","±12","44.4%","±55.6","8","±13","33.3%","±54.3"
"    Two or more races","414","±126","(X)","(X)","253","±91","(X)","(X)","161","±91","(X)","(X)"
"        High school graduate or higher","403","±126","97.3%","±3.1","249","±91","98.4%","±2.5","154","±91","95.7%","±7.5"
"        Bachelor's degree or higher","173","±76","41.8%","±16.7","112","±63","44.3%","±20.8","61","±42","37.9%","±25.2"
"    Hispanic or Latino Origin","394","±122","(X)","(X)","259","±92","(X)","(X)","135","±66","(X)","(X)"
"        High school graduate or higher","394","±122","100.0%","±9.1","259","±92","100.0%","±13.5","135","±66","100.0%","±23.9"
"        Bachelor's degree or higher","222","±96","56.3%","±16.5","139","±73","53.7%","±19.2","83","±55","61.5%","±27.4"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","39.7%","±13.6","(X)","(X)","19.8%","±15.7","(X)","(X)","62.9%","±25.4"
"    High school graduate (includes equivalency)","(X)","(X)","14.2%","±6.4","(X)","(X)","15.3%","±7.0","(X)","(X)","12.1%","±11.6"
"    Some college or associate's degree","(X)","(X)","11.2%","±5.1","(X)","(X)","9.7%","±7.2","(X)","(X)","13.4%","±6.6"
"    Bachelor's degree or higher","(X)","(X)","4.4%","±1.6","(X)","(X)","5.7%","±2.4","(X)","(X)","3.2%","±1.7"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","53,602","±3,818","(X)","(X)","52,979","±5,798","(X)","(X)","54,115","±5,770","(X)","(X)"
"        Less than high school graduate","28,333","±21,608","(X)","(X)","29,427","±28,460","(X)","(X)","-","**","(X)","(X)"
"        High school graduate (includes equivalency)","41,104","±4,650","(X)","(X)","42,364","±6,803","(X)","(X)","29,423","±24,460","(X)","(X)"
"        Some college or associate's degree","45,489","±6,747","(X)","(X)","42,500","±13,949","(X)","(X)","45,932","±1,673","(X)","(X)"
"        Bachelor's degree","51,790","±3,335","(X)","(X)","51,930","±9,984","(X)","(X)","51,692","±4,834","(X)","(X)"
"        Graduate or professional degree","70,926","±2,894","(X)","(X)","79,783","±15,736","(X)","(X)","63,287","±6,534","(X)","(X)"
