"Label (Grouping)","ZCTA5 40207!!Total!!Estimate","ZCTA5 40207!!Total!!Margin of Error","ZCTA5 40207!!Percent!!Estimate","ZCTA5 40207!!Percent!!Margin of Error","ZCTA5 40207!!Male!!Estimate","ZCTA5 40207!!Male!!Margin of Error","ZCTA5 40207!!Percent Male!!Estimate","ZCTA5 40207!!Percent Male!!Margin of Error","ZCTA5 40207!!Female!!Estimate","ZCTA5 40207!!Female!!Margin of Error","ZCTA5 40207!!Percent Female!!Estimate","ZCTA5 40207!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,466","±263","(X)","(X)","600","±162","(X)","(X)","866","±198","(X)","(X)"
"        Less than high school graduate","174","±97","11.9%","±6.3","122","±87","20.3%","±13.0","52","±28","6.0%","±3.2"
"        High school graduate (includes equivalency)","343","±143","23.4%","±8.1","149","±97","24.8%","±13.4","194","±107","22.4%","±10.5"
"        Some college or associate's degree","398","±134","27.1%","±8.4","196","±89","32.7%","±12.8","202","±85","23.3%","±9.7"
"        Bachelor's degree or higher","551","±166","37.6%","±9.1","133","±55","22.2%","±8.1","418","±142","48.3%","±11.5"
"    Population 25 years and over","21,741","±716","(X)","(X)","10,358","±363","(X)","(X)","11,383","±518","(X)","(X)"
"        Less than 9th grade","168","±94","0.8%","±0.4","108","±87","1.0%","±0.8","60","±36","0.5%","±0.3"
"        9th to 12th grade, no diploma","225","±81","1.0%","±0.4","140","±75","1.4%","±0.7","85","±38","0.7%","±0.3"
"        High school graduate (includes equivalency)","2,082","±320","9.6%","±1.5","936","±181","9.0%","±1.7","1,146","±228","10.1%","±2.0"
"        Some college, no degree","3,506","±446","16.1%","±1.8","1,455","±229","14.0%","±2.1","2,051","±305","18.0%","±2.3"
"        Associate's degree","1,028","±197","4.7%","±0.9","455","±139","4.4%","±1.4","573","±123","5.0%","±1.2"
"        Bachelor's degree","7,655","±488","35.2%","±2.0","3,511","±320","33.9%","±3.1","4,144","±370","36.4%","±2.8"
"        Graduate or professional degree","7,077","±535","32.6%","±2.3","3,753","±351","36.2%","±3.1","3,324","±363","29.2%","±2.9"
"        High school graduate or higher","21,348","±715","98.2%","±0.6","10,110","±368","97.6%","±1.1","11,238","±517","98.7%","±0.5"
"        Bachelor's degree or higher","14,732","±685","67.8%","±2.4","7,264","±367","70.1%","±3.0","7,468","±459","65.6%","±2.8"
"    Population 25 to 34 years","4,417","±548","(X)","(X)","2,302","±290","(X)","(X)","2,115","±332","(X)","(X)"
"        High school graduate or higher","4,284","±544","97.0%","±2.2","2,181","±300","94.7%","±4.2","2,103","±333","99.4%","±0.8"
"        Bachelor's degree or higher","3,243","±538","73.4%","±6.3","1,654","±292","71.9%","±6.8","1,589","±310","75.1%","±8.2"
"    Population 35 to 44 years","3,843","±413","(X)","(X)","1,846","±243","(X)","(X)","1,997","±256","(X)","(X)"
"        High school graduate or higher","3,815","±414","99.3%","±0.7","1,838","±245","99.6%","±0.6","1,977","±255","99.0%","±1.1"
"        Bachelor's degree or higher","2,861","±343","74.4%","±5.6","1,332","±188","72.2%","±6.6","1,529","±225","76.6%","±6.0"
"    Population 45 to 64 years","7,157","±475","(X)","(X)","3,591","±325","(X)","(X)","3,566","±293","(X)","(X)"
"        High school graduate or higher","7,077","±478","98.9%","±0.6","3,541","±327","98.6%","±1.0","3,536","±294","99.2%","±0.6"
"        Bachelor's degree or higher","4,755","±469","66.4%","±4.2","2,497","±320","69.5%","±5.0","2,258","±244","63.3%","±5.4"
"    Population 65 years and over","6,324","±390","(X)","(X)","2,619","±212","(X)","(X)","3,705","±285","(X)","(X)"
"        High school graduate or higher","6,172","±386","97.6%","±0.8","2,550","±200","97.4%","±1.4","3,622","±287","97.8%","±1.0"
"        Bachelor's degree or higher","3,873","±285","61.2%","±3.1","1,781","±166","68.0%","±4.6","2,092","±186","56.5%","±3.5"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","19,625","±725","(X)","(X)","9,338","±332","(X)","(X)","10,287","±534","(X)","(X)"
