"Label (Grouping)","ZCTA5 40245!!Total!!Estimate","ZCTA5 40245!!Total!!Margin of Error","ZCTA5 40245!!Percent!!Estimate","ZCTA5 40245!!Percent!!Margin of Error","ZCTA5 40245!!Male!!Estimate","ZCTA5 40245!!Male!!Margin of Error","ZCTA5 40245!!Percent Male!!Estimate","ZCTA5 40245!!Percent Male!!Margin of Error","ZCTA5 40245!!Female!!Estimate","ZCTA5 40245!!Female!!Margin of Error","ZCTA5 40245!!Percent Female!!Estimate","ZCTA5 40245!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","3,197","±699","(X)","(X)","1,696","±437","(X)","(X)","1,501","±361","(X)","(X)"
"        Less than high school graduate","494","±183","15.5%","±5.5","393","±158","23.2%","±8.7","101","±79","6.7%","±5.4"
"        High school graduate (includes equivalency)","872","±312","27.3%","±9.7","328","±217","19.3%","±11.8","544","±203","36.2%","±13.4"
"        Some college or associate's degree","1,227","±580","38.4%","±12.3","667","±325","39.3%","±13.5","560","±301","37.3%","±14.9"
"        Bachelor's degree or higher","604","±206","18.9%","±7.0","308","±112","18.2%","±7.3","296","±168","19.7%","±10.5"
"    Population 25 years and over","27,146","±1,551","(X)","(X)","12,847","±859","(X)","(X)","14,299","±951","(X)","(X)"
"        Less than 9th grade","393","±133","1.4%","±0.5","91","±54","0.7%","±0.4","302","±123","2.1%","±0.9"
"        9th to 12th grade, no diploma","549","±179","2.0%","±0.7","197","±134","1.5%","±1.0","352","±118","2.5%","±0.8"
"        High school graduate (includes equivalency)","3,379","±471","12.4%","±1.6","1,558","±361","12.1%","±2.6","1,821","±311","12.7%","±2.1"
"        Some college, no degree","5,190","±528","19.1%","±1.7","2,406","±354","18.7%","±2.5","2,784","±454","19.5%","±2.6"
"        Associate's degree","1,623","±321","6.0%","±1.2","548","±193","4.3%","±1.5","1,075","±196","7.5%","±1.4"
"        Bachelor's degree","9,708","±929","35.8%","±2.4","5,044","±637","39.3%","±3.9","4,664","±522","32.6%","±3.0"
"        Graduate or professional degree","6,304","±685","23.2%","±2.1","3,003","±401","23.4%","±3.1","3,301","±508","23.1%","±3.0"
"        High school graduate or higher","26,204","±1,535","96.5%","±0.8","12,559","±797","97.8%","±1.1","13,645","±955","95.4%","±1.2"
"        Bachelor's degree or higher","16,012","±1,251","59.0%","±2.5","8,047","±687","62.6%","±3.6","7,965","±715","55.7%","±3.0"
"    Population 25 to 34 years","4,368","±680","(X)","(X)","1,984","±391","(X)","(X)","2,384","±433","(X)","(X)"
