"Label (Grouping)","ZCTA5 40220!!Total!!Estimate","ZCTA5 40220!!Total!!Margin of Error","ZCTA5 40220!!Percent!!Estimate","ZCTA5 40220!!Percent!!Margin of Error","ZCTA5 40220!!Male!!Estimate","ZCTA5 40220!!Male!!Margin of Error","ZCTA5 40220!!Percent Male!!Estimate","ZCTA5 40220!!Percent Male!!Margin of Error","ZCTA5 40220!!Female!!Estimate","ZCTA5 40220!!Female!!Margin of Error","ZCTA5 40220!!Percent Female!!Estimate","ZCTA5 40220!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,845","±369","(X)","(X)","1,030","±256","(X)","(X)","815","±235","(X)","(X)"
"        Less than high school graduate","160","±92","8.7%","±4.7","42","±37","4.1%","±3.5","118","±85","14.5%","±9.5"
"        High school graduate (includes equivalency)","684","±246","37.1%","±8.9","412","±144","40.0%","±10.5","272","±155","33.4%","±13.6"
"        Some college or associate's degree","540","±177","29.3%","±8.6","312","±123","30.3%","±9.3","228","±106","28.0%","±12.5"
"        Bachelor's degree or higher","461","±167","25.0%","±8.9","264","±131","25.6%","±10.7","197","±102","24.2%","±12.4"
"    Population 25 years and over","25,484","±1,516","(X)","(X)","11,805","±857","(X)","(X)","13,679","±933","(X)","(X)"
"        Less than 9th grade","404","±133","1.6%","±0.5","166","±76","1.4%","±0.7","238","±106","1.7%","±0.8"
"        9th to 12th grade, no diploma","697","±206","2.7%","±0.8","345","±161","2.9%","±1.4","352","±117","2.6%","±0.8"
"        High school graduate (includes equivalency)","5,457","±648","21.4%","±2.2","2,507","±373","21.2%","±3.2","2,950","±476","21.6%","±3.0"
"        Some college, no degree","5,311","±550","20.8%","±2.0","2,205","±355","18.7%","±2.9","3,106","±387","22.7%","±2.5"
"        Associate's degree","2,479","±480","9.7%","±1.7","1,185","±348","10.0%","±2.7","1,294","±349","9.5%","±2.4"
"        Bachelor's degree","6,742","±835","26.5%","±2.6","3,361","±537","28.5%","±3.7","3,381","±510","24.7%","±3.3"
"        Graduate or professional degree","4,394","±619","17.2%","±2.4","2,036","±401","17.2%","±3.2","2,358","±418","17.2%","±3.0"
"        High school graduate or higher","24,383","±1,470","95.7%","±1.0","11,294","±857","95.7%","±1.6","13,089","±897","95.7%","±1.1"
"        Bachelor's degree or higher","11,136","±1,011","43.7%","±2.9","5,397","±628","45.7%","±3.7","5,739","±618","42.0%","±3.8"
"    Population 25 to 34 years","6,666","±962","(X)","(X)","3,452","±625","(X)","(X)","3,214","±540","(X)","(X)"
"        High school graduate or higher","6,438","±930","96.6%","±2.4","3,285","±603","95.2%","±4.2","3,153","±532","98.1%","±2.0"
"        Bachelor's degree or higher","3,595","±757","53.9%","±7.4","1,774","±480","51.4%","±9.4","1,821","±400","56.7%","±7.9"
"    Population 35 to 44 years","3,644","±497","(X)","(X)","1,932","±312","(X)","(X)","1,712","±283","(X)","(X)"
"        High school graduate or higher","3,480","±518","95.5%","±2.1","1,841","±318","95.3%","±2.9","1,639","±296","95.7%","±3.7"
"        Bachelor's degree or higher","1,906","±346","52.3%","±5.0","996","±216","51.6%","±6.7","910","±210","53.2%","±7.1"
"    Population 45 to 64 years","8,155","±919","(X)","(X)","3,633","±509","(X)","(X)","4,522","±528","(X)","(X)"
"        High school graduate or higher","7,809","±917","95.8%","±1.9","3,501","±507","96.4%","±1.9","4,308","±518","95.3%","±2.7"
"        Bachelor's degree or higher","3,329","±567","40.8%","±5.2","1,600","±402","44.0%","±8.0","1,729","±276","38.2%","±5.7"
"    Population 65 years and over","7,019","±658","(X)","(X)","2,788","±300","(X)","(X)","4,231","±601","(X)","(X)"
"        High school graduate or higher","6,656","±658","94.8%","±1.6","2,667","±296","95.7%","±2.2","3,989","±588","94.3%","±2.1"
"        Bachelor's degree or higher","2,306","±368","32.9%","±3.9","1,027","±204","36.8%","±6.3","1,279","±320","30.2%","±5.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","19,617","±1,306","(X)","(X)","8,963","±682","(X)","(X)","10,654","±782","(X)","(X)"
"        High school graduate or higher","18,905","±1,281","96.4%","±1.1","8,614","±679","96.1%","±1.8","10,291","±769","96.6%","±1.2"
"        Bachelor's degree or higher","8,765","±751","44.7%","±3.1","4,286","±482","47.8%","±4.0","4,479","±470","42.0%","±4.0"
"    White alone, not Hispanic or Latino","19,404","±1,314","(X)","(X)","8,869","±680","(X)","(X)","10,535","±786","(X)","(X)"
"        High school graduate or higher","18,710","±1,288","96.4%","±1.1","8,520","±674","96.1%","±1.8","10,190","±778","96.7%","±1.2"
"        Bachelor's degree or higher","8,671","±768","44.7%","±3.1","4,241","±487","47.8%","±4.1","4,430","±477","42.1%","±4.0"
"    Black alone","3,408","±610","(X)","(X)","1,585","±365","(X)","(X)","1,823","±420","(X)","(X)"
"        High school graduate or higher","3,155","±594","92.6%","±4.0","1,485","±354","93.7%","±5.2","1,670","±406","91.6%","±5.2"
"        Bachelor's degree or higher","954","±361","28.0%","±8.7","414","±226","26.1%","±12.9","540","±264","29.6%","±11.4"
"    American Indian or Alaska Native alone","18","±13","(X)","(X)","7","±7","(X)","(X)","11","±9","(X)","(X)"
"        High school graduate or higher","11","±8","61.1%","±44.2","4","±5","57.1%","±57.1","7","±7","63.6%","±46.6"
"        Bachelor's degree or higher","7","±5","38.9%","±33.7","3","±5","42.9%","±57.1","4","±6","36.4%","±46.1"
"    Asian alone","1,369","±351","(X)","(X)","656","±178","(X)","(X)","713","±226","(X)","(X)"
"        High school graduate or higher","1,299","±342","94.9%","±4.2","650","±179","99.1%","±1.9","649","±211","91.0%","±7.1"
"        Bachelor's degree or higher","1,050","±320","76.7%","±9.9","506","±160","77.1%","±11.8","544","±203","76.3%","±11.2"
"    Native Hawaiian and Other Pacific Islander alone","8","±15","(X)","(X)","8","±15","(X)","(X)","0","±27","(X)","(X)"
"        High school graduate or higher","8","±15","100.0%","±100.0","8","±15","100.0%","±100.0","0","±27","-","**"
"        Bachelor's degree or higher","8","±15","100.0%","±100.0","8","±15","100.0%","±100.0","0","±27","-","**"
"    Some other race alone","62","±48","(X)","(X)","24","±23","(X)","(X)","38","±38","(X)","(X)"
"        High school graduate or higher","62","±48","100.0%","±40.5","24","±23","100.0%","±65.0","38","±38","100.0%","±51.7"
"        Bachelor's degree or higher","60","±48","96.8%","±8.1","22","±23","91.7%","±22.3","38","±38","100.0%","±51.7"
"    Two or more races","1,002","±290","(X)","(X)","562","±209","(X)","(X)","440","±139","(X)","(X)"
"        High school graduate or higher","943","±287","94.1%","±4.7","509","±213","90.6%","±8.8","434","±140","98.6%","±2.3"
"        Bachelor's degree or higher","292","±141","29.1%","±12.9","158","±105","28.1%","±17.1","134","±86","30.5%","±17.1"
"    Hispanic or Latino Origin","672","±223","(X)","(X)","346","±146","(X)","(X)","326","±118","(X)","(X)"
"        High school graduate or higher","599","±215","89.1%","±7.5","293","±146","84.7%","±13.7","306","±108","93.9%","±7.8"
"        Bachelor's degree or higher","284","±162","42.3%","±17.5","167","±122","48.3%","±23.2","117","±70","35.9%","±18.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","22.3%","±11.1","(X)","(X)","15.4%","±11.6","(X)","(X)","29.2%","±16.1"
"    High school graduate (includes equivalency)","(X)","(X)","11.7%","±3.5","(X)","(X)","8.1%","±4.7","(X)","(X)","14.8%","±4.9"
"    Some college or associate's degree","(X)","(X)","7.2%","±2.6","(X)","(X)","5.7%","±3.2","(X)","(X)","8.4%","±3.2"
"    Bachelor's degree or higher","(X)","(X)","4.9%","±2.2","(X)","(X)","6.4%","±3.6","(X)","(X)","3.5%","±1.5"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","50,976","±2,346","(X)","(X)","56,340","±4,708","(X)","(X)","44,907","±3,533","(X)","(X)"
"        Less than high school graduate","37,935","±17,817","(X)","(X)","-","**","(X)","(X)","31,630","±17,405","(X)","(X)"
"        High school graduate (includes equivalency)","41,609","±6,759","(X)","(X)","49,353","±6,025","(X)","(X)","30,647","±11,533","(X)","(X)"
"        Some college or associate's degree","43,944","±4,490","(X)","(X)","52,560","±7,209","(X)","(X)","34,606","±8,028","(X)","(X)"
"        Bachelor's degree","57,440","±4,105","(X)","(X)","65,606","±10,285","(X)","(X)","51,544","±1,482","(X)","(X)"
"        Graduate or professional degree","69,621","±8,565","(X)","(X)","78,321","±14,296","(X)","(X)","66,266","±6,436","(X)","(X)"
