"Label (Grouping)","ZCTA5 40059!!Total!!Estimate","ZCTA5 40059!!Total!!Margin of Error","ZCTA5 40059!!Percent!!Estimate","ZCTA5 40059!!Percent!!Margin of Error","ZCTA5 40059!!Male!!Estimate","ZCTA5 40059!!Male!!Margin of Error","ZCTA5 40059!!Percent Male!!Estimate","ZCTA5 40059!!Percent Male!!Margin of Error","ZCTA5 40059!!Female!!Estimate","ZCTA5 40059!!Female!!Margin of Error","ZCTA5 40059!!Percent Female!!Estimate","ZCTA5 40059!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,132","±242","(X)","(X)","625","±181","(X)","(X)","507","±144","(X)","(X)"
"        Less than high school graduate","94","±78","8.3%","±6.3","61","±51","9.8%","±7.6","33","±36","6.5%","±6.8"
"        High school graduate (includes equivalency)","351","±124","31.0%","±9.1","233","±108","37.3%","±13.1","118","±64","23.3%","±12.1"
"        Some college or associate's degree","535","±171","47.3%","±10.6","268","±129","42.9%","±15.8","267","±111","52.7%","±15.7"
"        Bachelor's degree or higher","152","±75","13.4%","±6.5","63","±46","10.1%","±7.7","89","±61","17.6%","±10.4"
"    Population 25 years and over","14,345","±768","(X)","(X)","6,933","±464","(X)","(X)","7,412","±513","(X)","(X)"
"        Less than 9th grade","34","±25","0.2%","±0.2","25","±23","0.4%","±0.3","9","±18","0.1%","±0.2"
"        9th to 12th grade, no diploma","130","±68","0.9%","±0.5","41","±29","0.6%","±0.4","89","±53","1.2%","±0.7"
"        High school graduate (includes equivalency)","1,233","±259","8.6%","±1.7","464","±174","6.7%","±2.4","769","±197","10.4%","±2.6"
"        Some college, no degree","2,111","±362","14.7%","±2.4","923","±214","13.3%","±3.0","1,188","±239","16.0%","±3.1"
"        Associate's degree","713","±163","5.0%","±1.1","278","±88","4.0%","±1.3","435","±136","5.9%","±1.8"
"        Bachelor's degree","5,329","±527","37.1%","±2.8","2,580","±359","37.2%","±3.8","2,749","±345","37.1%","±3.6"
"        Graduate or professional degree","4,795","±459","33.4%","±2.9","2,622","±282","37.8%","±3.8","2,173","±292","29.3%","±3.3"
"        High school graduate or higher","14,181","±774","98.9%","±0.5","6,867","±463","99.0%","±0.6","7,314","±517","98.7%","±0.7"
"        Bachelor's degree or higher","10,124","±695","70.6%","±2.9","5,202","±445","75.0%","±3.5","4,922","±461","66.4%","±3.6"
"    Population 25 to 34 years","1,070","±286","(X)","(X)","548","±180","(X)","(X)","522","±172","(X)","(X)"
"        High school graduate or higher","1,044","±283","97.6%","±1.8","531","±178","96.9%","±2.6","513","±173","98.3%","±2.6"
"        Bachelor's degree or higher","849","±267","79.3%","±8.3","390","±146","71.2%","±12.1","459","±162","87.9%","±9.1"
"    Population 35 to 44 years","2,287","±328","(X)","(X)","1,101","±219","(X)","(X)","1,186","±182","(X)","(X)"
"        High school graduate or higher","2,245","±331","98.2%","±2.0","1,087","±217","98.7%","±1.8","1,158","±189","97.6%","±2.6"
"        Bachelor's degree or higher","1,902","±309","83.2%","±5.3","886","±202","80.5%","±9.4","1,016","±185","85.7%","±5.1"
"    Population 45 to 64 years","6,347","±533","(X)","(X)","3,338","±360","(X)","(X)","3,009","±277","(X)","(X)"
"        High school graduate or higher","6,326","±534","99.7%","±0.3","3,329","±359","99.7%","±0.4","2,997","±279","99.6%","±0.6"
"        Bachelor's degree or higher","4,563","±486","71.9%","±4.1","2,487","±360","74.5%","±4.8","2,076","±232","69.0%","±5.0"
"    Population 65 years and over","4,641","±523","(X)","(X)","1,946","±232","(X)","(X)","2,695","±364","(X)","(X)"
"        High school graduate or higher","4,566","±520","98.4%","±0.9","1,920","±230","98.7%","±1.2","2,646","±365","98.2%","±1.5"
"        Bachelor's degree or higher","2,810","±368","60.5%","±5.2","1,439","±160","73.9%","±6.3","1,371","±305","50.9%","±7.2"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","12,688","±704","(X)","(X)","6,262","±448","(X)","(X)","6,426","±448","(X)","(X)"
"        High school graduate or higher","12,534","±702","98.8%","±0.5","6,196","±443","98.9%","±0.6","6,338","±449","98.6%","±0.7"
"        Bachelor's degree or higher","9,120","±663","71.9%","±3.1","4,829","±446","77.1%","±3.6","4,291","±397","66.8%","±4.0"
"    White alone, not Hispanic or Latino","12,618","±704","(X)","(X)","6,244","±449","(X)","(X)","6,374","±449","(X)","(X)"
"        High school graduate or higher","12,470","±702","98.8%","±0.5","6,182","±444","99.0%","±0.6","6,288","±451","98.7%","±0.8"
"        Bachelor's degree or higher","9,080","±665","72.0%","±3.2","4,820","±447","77.2%","±3.7","4,260","±400","66.8%","±4.0"
"    Black alone","540","±275","(X)","(X)","167","±97","(X)","(X)","373","±220","(X)","(X)"
"        High school graduate or higher","540","±275","100.0%","±6.7","167","±97","100.0%","±20.0","373","±220","100.0%","±9.6"
"        Bachelor's degree or higher","374","±226","69.3%","±13.8","77","±60","46.1%","±24.3","297","±205","79.6%","±12.9"
"    American Indian or Alaska Native alone","25","±38","(X)","(X)","0","±20","(X)","(X)","25","±38","(X)","(X)"
"        High school graduate or higher","25","±38","100.0%","±63.7","0","±20","-","**","25","±38","100.0%","±63.7"
"        Bachelor's degree or higher","25","±38","100.0%","±63.7","0","±20","-","**","25","±38","100.0%","±63.7"
"    Asian alone","547","±133","(X)","(X)","229","±82","(X)","(X)","318","±94","(X)","(X)"
"        High school graduate or higher","537","±131","98.2%","±3.0","229","±82","100.0%","±15.1","308","±94","96.9%","±5.3"
"        Bachelor's degree or higher","405","±105","74.0%","±13.0","188","±79","82.1%","±17.3","217","±76","68.2%","±18.2"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","41","±48","(X)","(X)","0","±20","(X)","(X)","41","±48","(X)","(X)"
"        High school graduate or higher","41","±48","100.0%","±49.7","0","±20","-","**","41","±48","100.0%","±49.7"
"        Bachelor's degree or higher","1","±3","2.4%","±6.8","0","±20","-","**","1","±3","2.4%","±6.8"
"    Two or more races","504","±158","(X)","(X)","275","±107","(X)","(X)","229","±100","(X)","(X)"
