"Label (Grouping)","ZCTA5 40223!!Total!!Estimate","ZCTA5 40223!!Total!!Margin of Error","ZCTA5 40223!!Percent!!Estimate","ZCTA5 40223!!Percent!!Margin of Error","ZCTA5 40223!!Male!!Estimate","ZCTA5 40223!!Male!!Margin of Error","ZCTA5 40223!!Percent Male!!Estimate","ZCTA5 40223!!Percent Male!!Margin of Error","ZCTA5 40223!!Female!!Estimate","ZCTA5 40223!!Female!!Margin of Error","ZCTA5 40223!!Percent Female!!Estimate","ZCTA5 40223!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,085","±278","(X)","(X)","574","±171","(X)","(X)","511","±187","(X)","(X)"
"        Less than high school graduate","73","±45","6.7%","±4.5","24","±29","4.2%","±5.2","49","±41","9.6%","±8.1"
"        High school graduate (includes equivalency)","332","±131","30.6%","±10.5","196","±97","34.1%","±16.0","136","±86","26.6%","±13.8"
"        Some college or associate's degree","369","±152","34.0%","±10.5","215","±91","37.5%","±14.7","154","±97","30.1%","±13.5"
"        Bachelor's degree or higher","311","±151","28.7%","±10.8","139","±126","24.2%","±18.0","172","±77","33.7%","±11.2"
"    Population 25 years and over","16,839","±825","(X)","(X)","7,999","±504","(X)","(X)","8,840","±524","(X)","(X)"
"        Less than 9th grade","184","±143","1.1%","±0.9","147","±132","1.8%","±1.7","37","±35","0.4%","±0.4"
"        9th to 12th grade, no diploma","243","±123","1.4%","±0.7","100","±64","1.3%","±0.8","143","±98","1.6%","±1.1"
"        High school graduate (includes equivalency)","2,527","±478","15.0%","±2.7","995","±264","12.4%","±3.2","1,532","±329","17.3%","±3.6"
"        Some college, no degree","3,065","±487","18.2%","±2.6","1,449","±343","18.1%","±4.1","1,616","±287","18.3%","±2.9"
"        Associate's degree","1,106","±242","6.6%","±1.5","355","±143","4.4%","±1.8","751","±196","8.5%","±2.2"
"        Bachelor's degree","4,813","±419","28.6%","±2.6","2,625","±326","32.8%","±3.8","2,188","±317","24.8%","±3.6"
"        Graduate or professional degree","4,901","±631","29.1%","±3.2","2,328","±371","29.1%","±4.1","2,573","±437","29.1%","±4.3"
"        High school graduate or higher","16,412","±832","97.5%","±1.1","7,752","±512","96.9%","±1.6","8,660","±519","98.0%","±1.2"
"        Bachelor's degree or higher","9,714","±768","57.7%","±3.8","4,953","±512","61.9%","±5.2","4,761","±474","53.9%","±4.2"
"    Population 25 to 34 years","2,604","±448","(X)","(X)","1,352","±305","(X)","(X)","1,252","±227","(X)","(X)"
"        High school graduate or higher","2,503","±449","96.1%","±4.1","1,260","±284","93.2%","±7.4","1,243","±231","99.3%","±1.2"
"        Bachelor's degree or higher","1,645","±359","63.2%","±7.1","795","±218","58.8%","±12.8","850","±207","67.9%","±9.0"
"    Population 35 to 44 years","3,572","±430","(X)","(X)","1,780","±259","(X)","(X)","1,792","±279","(X)","(X)"
"        High school graduate or higher","3,456","±450","96.8%","±4.3","1,720","±271","96.6%","±5.3","1,736","±279","96.9%","±4.7"
"        Bachelor's degree or higher","2,486","±380","69.6%","±6.6","1,216","±231","68.3%","±9.7","1,270","±251","70.9%","±7.7"
"    Population 45 to 64 years","5,636","±699","(X)","(X)","2,643","±405","(X)","(X)","2,993","±428","(X)","(X)"
"        High school graduate or higher","5,536","±693","98.2%","±1.1","2,588","±396","97.9%","±2.0","2,948","±432","98.5%","±1.2"
"        Bachelor's degree or higher","3,212","±449","57.0%","±8.3","1,659","±293","62.8%","±10.5","1,553","±280","51.9%","±8.3"
"    Population 65 years and over","5,027","±616","(X)","(X)","2,224","±343","(X)","(X)","2,803","±404","(X)","(X)"
"        High school graduate or higher","4,917","±611","97.8%","±1.2","2,184","±340","98.2%","±1.4","2,733","±403","97.5%","±1.8"
"        Bachelor's degree or higher","2,371","±442","47.2%","±5.6","1,283","±289","57.7%","±7.5","1,088","±299","38.8%","±7.5"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","14,465","±910","(X)","(X)","6,696","±557","(X)","(X)","7,769","±536","(X)","(X)"
"        High school graduate or higher","14,204","±892","98.2%","±0.9","6,585","±535","98.3%","±0.9","7,619","±544","98.1%","±1.3"
"        Bachelor's degree or higher","8,541","±767","59.0%","±4.0","4,321","±513","64.5%","±5.5","4,220","±472","54.3%","±4.5"
"    White alone, not Hispanic or Latino","14,197","±882","(X)","(X)","6,516","±534","(X)","(X)","7,681","±526","(X)","(X)"
"        High school graduate or higher","13,938","±867","98.2%","±0.9","6,405","±514","98.3%","±1.0","7,533","±534","98.1%","±1.3"
"        Bachelor's degree or higher","8,473","±774","59.7%","±3.9","4,276","±515","65.6%","±5.3","4,197","±467","54.6%","±4.5"
"    Black alone","1,275","±414","(X)","(X)","770","±260","(X)","(X)","505","±236","(X)","(X)"
"        High school graduate or higher","1,131","±357","88.7%","±9.1","640","±237","83.1%","±16.0","491","±233","97.2%","±2.9"
"        Bachelor's degree or higher","286","±120","22.4%","±9.0","191","±89","24.8%","±11.7","95","±55","18.8%","±10.6"
"    American Indian or Alaska Native alone","22","±20","(X)","(X)","4","±7","(X)","(X)","18","±18","(X)","(X)"
"        High school graduate or higher","13","±12","59.1%","±45.8","4","±7","100.0%","±100.0","9","±10","50.0%","±50.0"
"        Bachelor's degree or higher","8","±11","36.4%","±41.0","3","±7","75.0%","±72.2","5","±8","27.8%","±38.4"
"    Asian alone","515","±185","(X)","(X)","270","±109","(X)","(X)","245","±94","(X)","(X)"
"        High school graduate or higher","506","±184","98.3%","±2.5","266","±109","98.5%","±2.4","240","±93","98.0%","±2.8"
"        Bachelor's degree or higher","478","±185","92.8%","±5.7","264","±109","97.8%","±3.2","214","±94","87.3%","±10.1"
"    Native Hawaiian and Other Pacific Islander alone","0","±24","(X)","(X)","0","±24","(X)","(X)","0","±24","(X)","(X)"
"        High school graduate or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"        Bachelor's degree or higher","0","±24","-","**","0","±24","-","**","0","±24","-","**"
"    Some other race alone","156","±184","(X)","(X)","66","±85","(X)","(X)","90","±104","(X)","(X)"
"        High school graduate or higher","152","±183","97.4%","±5.0","64","±84","97.0%","±7.3","88","±103","97.8%","±5.6"
"        Bachelor's degree or higher","152","±183","97.4%","±5.0","64","±84","97.0%","±7.3","88","±103","97.8%","±5.6"
"    Two or more races","406","±140","(X)","(X)","193","±100","(X)","(X)","213","±83","(X)","(X)"
"        High school graduate or higher","406","±140","100.0%","±8.8","193","±100","100.0%","±17.6","213","±83","100.0%","±16.1"
"        Bachelor's degree or higher","249","±101","61.3%","±16.6","110","±59","57.0%","±25.3","139","±76","65.3%","±18.9"
"    Hispanic or Latino Origin","573","±301","(X)","(X)","340","±191","(X)","(X)","233","±145","(X)","(X)"
"        High school graduate or higher","567","±300","99.0%","±1.4","338","±190","99.4%","±1.0","229","±144","98.3%","±2.5"
"        Bachelor's degree or higher","319","±208","55.7%","±29.1","155","±104","45.6%","±31.1","164","±126","70.4%","±29.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","33.0%","±26.3","(X)","(X)","29.1%","±36.8","(X)","(X)","38.6%","±35.0"
"    High school graduate (includes equivalency)","(X)","(X)","7.3%","±3.7","(X)","(X)","2.9%","±2.7","(X)","(X)","10.1%","±5.7"
"    Some college or associate's degree","(X)","(X)","6.7%","±3.0","(X)","(X)","5.0%","±4.3","(X)","(X)","8.0%","±4.1"
"    Bachelor's degree or higher","(X)","(X)","4.0%","±1.9","(X)","(X)","4.1%","±1.7","(X)","(X)","3.9%","±2.4"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","66,890","±5,759","(X)","(X)","80,088","±5,493","(X)","(X)","55,618","±6,414","(X)","(X)"
"        Less than high school graduate","58,017","±15,330","(X)","(X)","58,211","±34,873","(X)","(X)","49,135","±46,386","(X)","(X)"
"        High school graduate (includes equivalency)","41,119","±7,759","(X)","(X)","50,000","±13,757","(X)","(X)","31,424","±8,418","(X)","(X)"
"        Some college or associate's degree","53,142","±7,173","(X)","(X)","54,875","±12,024","(X)","(X)","51,404","±10,326","(X)","(X)"
"        Bachelor's degree","76,409","±6,997","(X)","(X)","100,585","±18,210","(X)","(X)","55,571","±14,829","(X)","(X)"
"        Graduate or professional degree","79,886","±5,280","(X)","(X)","96,724","±14,826","(X)","(X)","70,052","±13,038","(X)","(X)"
