"Label (Grouping)","ZCTA5 40212!!Total!!Estimate","ZCTA5 40212!!Total!!Margin of Error","ZCTA5 40212!!Percent!!Estimate","ZCTA5 40212!!Percent!!Margin of Error","ZCTA5 40212!!Male!!Estimate","ZCTA5 40212!!Male!!Margin of Error","ZCTA5 40212!!Percent Male!!Estimate","ZCTA5 40212!!Percent Male!!Margin of Error","ZCTA5 40212!!Female!!Estimate","ZCTA5 40212!!Female!!Margin of Error","ZCTA5 40212!!Percent Female!!Estimate","ZCTA5 40212!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,423","±306","(X)","(X)","643","±208","(X)","(X)","780","±248","(X)","(X)"
"        Less than high school graduate","404","±198","28.4%","±11.9","131","±107","20.4%","±14.5","273","±162","35.0%","±17.2"
"        High school graduate (includes equivalency)","594","±211","41.7%","±11.6","390","±167","60.7%","±16.1","204","±130","26.2%","±13.5"
"        Some college or associate's degree","390","±151","27.4%","±9.9","105","±59","16.3%","±9.2","285","±146","36.5%","±15.9"
"        Bachelor's degree or higher","35","±36","2.5%","±2.5","17","±25","2.6%","±3.9","18","±28","2.3%","±3.6"
"    Population 25 years and over","10,134","±812","(X)","(X)","4,809","±482","(X)","(X)","5,325","±568","(X)","(X)"
"        Less than 9th grade","380","±137","3.7%","±1.3","175","±105","3.6%","±2.1","205","±82","3.8%","±1.6"
"        9th to 12th grade, no diploma","1,526","±278","15.1%","±2.5","845","±206","17.6%","±4.0","681","±173","12.8%","±2.9"
"        High school graduate (includes equivalency)","4,531","±566","44.7%","±3.8","2,530","±390","52.6%","±5.7","2,001","±359","37.6%","±5.2"
"        Some college, no degree","1,831","±292","18.1%","±3.0","604","±153","12.6%","±3.3","1,227","±269","23.0%","±4.8"
"        Associate's degree","584","±187","5.8%","±1.7","148","±90","3.1%","±1.9","436","±176","8.2%","±2.9"
"        Bachelor's degree","766","±221","7.6%","±2.1","315","±136","6.6%","±2.6","451","±158","8.5%","±2.9"
"        Graduate or professional degree","516","±226","5.1%","±2.2","192","±129","4.0%","±2.7","324","±169","6.1%","±3.1"
"        High school graduate or higher","8,228","±725","81.2%","±2.9","3,789","±424","78.8%","±4.5","4,439","±520","83.4%","±3.0"
"        Bachelor's degree or higher","1,282","±342","12.7%","±3.2","507","±192","10.5%","±3.8","775","±247","14.6%","±4.4"
"    Population 25 to 34 years","1,545","±376","(X)","(X)","771","±263","(X)","(X)","774","±229","(X)","(X)"
"        High school graduate or higher","1,368","±329","88.5%","±6.7","659","±240","85.5%","±14.8","709","±229","91.6%","±8.5"
"        Bachelor's degree or higher","257","±162","16.6%","±9.4","77","±61","10.0%","±8.5","180","±129","23.3%","±13.5"
"    Population 35 to 44 years","2,033","±329","(X)","(X)","864","±197","(X)","(X)","1,169","±239","(X)","(X)"
"        High school graduate or higher","1,698","±300","83.5%","±6.2","719","±190","83.2%","±8.8","979","±231","83.7%","±9.0"
"        Bachelor's degree or higher","198","±153","9.7%","±6.9","57","±42","6.6%","±4.9","141","±138","12.1%","±10.5"
"    Population 45 to 64 years","4,015","±577","(X)","(X)","1,879","±295","(X)","(X)","2,136","±419","(X)","(X)"
"        High school graduate or higher","3,251","±508","81.0%","±4.5","1,499","±256","79.8%","±6.3","1,752","±394","82.0%","±5.9"
"        Bachelor's degree or higher","481","±192","12.0%","±4.3","209","±110","11.1%","±5.1","272","±128","12.7%","±5.7"
"    Population 65 years and over","2,541","±348","(X)","(X)","1,295","±251","(X)","(X)","1,246","±215","(X)","(X)"
"        High school graduate or higher","1,911","±302","75.2%","±6.7","912","±203","70.4%","±10.0","999","±200","80.2%","±6.5"
"        Bachelor's degree or higher","346","±149","13.6%","±5.2","164","±120","12.7%","±8.4","182","±70","14.6%","±5.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","3,989","±502","(X)","(X)","2,082","±374","(X)","(X)","1,907","±257","(X)","(X)"
"        High school graduate or higher","2,981","±428","74.7%","±5.0","1,574","±329","75.6%","±7.3","1,407","±209","73.8%","±6.3"
"        Bachelor's degree or higher","478","±184","12.0%","±4.1","250","±133","12.0%","±5.7","228","±95","12.0%","±4.8"
"    White alone, not Hispanic or Latino","3,937","±500","(X)","(X)","2,034","±370","(X)","(X)","1,903","±258","(X)","(X)"
"        High school graduate or higher","2,929","±421","74.4%","±5.0","1,526","±321","75.0%","±7.4","1,403","±210","73.7%","±6.3"
"        Bachelor's degree or higher","478","±184","12.1%","±4.2","250","±133","12.3%","±5.9","228","±95","12.0%","±4.8"
"    Black alone","5,809","±651","(X)","(X)","2,548","±336","(X)","(X)","3,261","±532","(X)","(X)"
"        High school graduate or higher","4,965","±583","85.5%","±3.2","2,081","±320","81.7%","±6.1","2,884","±469","88.4%","±3.8"
"        Bachelor's degree or higher","710","±272","12.2%","±4.5","185","±86","7.3%","±3.2","525","±233","16.1%","±6.5"
"    American Indian or Alaska Native alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Asian alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","142","±119","(X)","(X)","63","±72","(X)","(X)","79","±90","(X)","(X)"
"        High school graduate or higher","142","±119","100.0%","±22.9","63","±72","100.0%","±40.1","79","±90","100.0%","±35.6"
"        Bachelor's degree or higher","70","±74","49.3%","±43.1","48","±70","76.2%","±51.7","22","±26","27.8%","±47.1"
"    Two or more races","194","±92","(X)","(X)","116","±60","(X)","(X)","78","±51","(X)","(X)"
"        High school graduate or higher","140","±68","72.2%","±14.4","71","±41","61.2%","±22.6","69","±51","88.5%","±19.8"
"        Bachelor's degree or higher","24","±30","12.4%","±14.1","24","±30","20.7%","±21.2","0","±20","0.0%","±35.8"
"    Hispanic or Latino Origin","108","±79","(X)","(X)","95","±77","(X)","(X)","13","±15","(X)","(X)"
"        High school graduate or higher","97","±86","89.8%","±20.9","84","±84","88.4%","±25.3","13","±15","100.0%","±88.4"
"        Bachelor's degree or higher","45","±35","41.7%","±32.6","36","±33","37.9%","±35.2","9","±14","69.2%","±54.1"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","48.2%","±7.7","(X)","(X)","46.7%","±10.8","(X)","(X)","50.0%","±11.1"
"    High school graduate (includes equivalency)","(X)","(X)","33.0%","±6.0","(X)","(X)","28.0%","±6.8","(X)","(X)","39.2%","±8.7"
"    Some college or associate's degree","(X)","(X)","25.7%","±6.8","(X)","(X)","18.5%","±8.9","(X)","(X)","28.9%","±9.1"
"    Bachelor's degree or higher","(X)","(X)","6.1%","±4.0","(X)","(X)","8.3%","±8.5","(X)","(X)","4.6%","±3.9"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","29,957","±4,076","(X)","(X)","31,250","±5,992","(X)","(X)","28,912","±5,203","(X)","(X)"
"        Less than high school graduate","19,152","±7,318","(X)","(X)","18,125","±15,326","(X)","(X)","22,790","±13,290","(X)","(X)"
"        High school graduate (includes equivalency)","27,734","±5,472","(X)","(X)","32,500","±9,692","(X)","(X)","16,889","±12,956","(X)","(X)"
"        Some college or associate's degree","32,358","±4,580","(X)","(X)","37,745","±11,597","(X)","(X)","30,134","±6,268","(X)","(X)"
"        Bachelor's degree","44,741","±9,952","(X)","(X)","36,000","±16,677","(X)","(X)","50,493","±8,120","(X)","(X)"
"        Graduate or professional degree","66,236","±13,281","(X)","(X)","56,774","±17,985","(X)","(X)","66,783","±28,245","(X)","(X)"
