"Label (Grouping)","ZCTA5 40217!!Total!!Estimate","ZCTA5 40217!!Total!!Margin of Error","ZCTA5 40217!!Percent!!Estimate","ZCTA5 40217!!Percent!!Margin of Error","ZCTA5 40217!!Male!!Estimate","ZCTA5 40217!!Male!!Margin of Error","ZCTA5 40217!!Percent Male!!Estimate","ZCTA5 40217!!Percent Male!!Margin of Error","ZCTA5 40217!!Female!!Estimate","ZCTA5 40217!!Female!!Margin of Error","ZCTA5 40217!!Percent Female!!Estimate","ZCTA5 40217!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,374","±569","(X)","(X)","717","±403","(X)","(X)","657","±238","(X)","(X)"
"        Less than high school graduate","23","±35","1.7%","±2.7","21","±34","2.9%","±5.5","2","±4","0.3%","±0.6"
"        High school graduate (includes equivalency)","291","±169","21.2%","±14.4","144","±118","20.1%","±19.4","147","±107","22.4%","±16.6"
"        Some college or associate's degree","804","±535","58.5%","±20.1","408","±374","56.9%","±27.2","396","±220","60.3%","±20.1"
"        Bachelor's degree or higher","256","±125","18.6%","±9.9","144","±90","20.1%","±13.6","112","±72","17.0%","±11.8"
"    Population 25 years and over","9,091","±777","(X)","(X)","4,835","±508","(X)","(X)","4,256","±456","(X)","(X)"
"        Less than 9th grade","118","±77","1.3%","±0.8","64","±56","1.3%","±1.2","54","±52","1.3%","±1.2"
"        9th to 12th grade, no diploma","338","±194","3.7%","±2.1","143","±108","3.0%","±2.2","195","±118","4.6%","±2.8"
"        High school graduate (includes equivalency)","1,858","±380","20.4%","±3.7","1,169","±317","24.2%","±5.4","689","±142","16.2%","±3.4"
"        Some college, no degree","1,716","±293","18.9%","±2.9","1,008","±275","20.8%","±5.0","708","±206","16.6%","±4.7"
"        Associate's degree","676","±295","7.4%","±3.1","201","±90","4.2%","±1.9","475","±277","11.2%","±6.0"
"        Bachelor's degree","2,514","±399","27.7%","±3.8","1,393","±277","28.8%","±5.2","1,121","±292","26.3%","±6.1"
"        Graduate or professional degree","1,871","±330","20.6%","±3.4","857","±225","17.7%","±4.5","1,014","±223","23.8%","±4.9"
"        High school graduate or higher","8,635","±757","95.0%","±2.1","4,628","±503","95.7%","±2.1","4,007","±460","94.1%","±2.9"
"        Bachelor's degree or higher","4,385","±514","48.2%","±4.4","2,250","±343","46.5%","±6.2","2,135","±357","50.2%","±6.4"
"    Population 25 to 34 years","3,045","±589","(X)","(X)","1,800","±400","(X)","(X)","1,245","±294","(X)","(X)"
"        High school graduate or higher","3,008","±589","98.8%","±1.7","1,763","±396","97.9%","±2.8","1,245","±294","100.0%","±3.0"
"        Bachelor's degree or higher","1,908","±441","62.7%","±7.8","992","±256","55.1%","±11.6","916","±306","73.6%","±11.1"
"    Population 35 to 44 years","1,658","±310","(X)","(X)","886","±192","(X)","(X)","772","±219","(X)","(X)"
"        High school graduate or higher","1,581","±310","95.4%","±4.5","825","±183","93.1%","±7.6","756","±221","97.9%","±2.9"
"        Bachelor's degree or higher","912","±247","55.0%","±9.1","400","±107","45.1%","±11.7","512","±200","66.3%","±13.1"
"    Population 45 to 64 years","2,452","±359","(X)","(X)","1,267","±217","(X)","(X)","1,185","±210","(X)","(X)"
"        High school graduate or higher","2,239","±366","91.3%","±6.8","1,179","±219","93.1%","±6.3","1,060","±207","89.5%","±8.1"
"        Bachelor's degree or higher","888","±171","36.2%","±7.2","402","±118","31.7%","±8.7","486","±118","41.0%","±9.3"
"    Population 65 years and over","1,936","±429","(X)","(X)","882","±250","(X)","(X)","1,054","±297","(X)","(X)"
"        High school graduate or higher","1,807","±430","93.3%","±4.1","861","±251","97.6%","±2.3","946","±304","89.8%","±7.4"
"        Bachelor's degree or higher","677","±252","35.0%","±9.0","456","±205","51.7%","±12.7","221","±96","21.0%","±8.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","7,863","±704","(X)","(X)","4,146","±409","(X)","(X)","3,717","±432","(X)","(X)"
"        High school graduate or higher","7,506","±681","95.5%","±2.5","3,980","±398","96.0%","±2.3","3,526","±414","94.9%","±2.9"
"        Bachelor's degree or higher","3,809","±491","48.4%","±4.5","1,981","±301","47.8%","±6.0","1,828","±332","49.2%","±7.1"
