"Label (Grouping)","ZCTA5 40228!!Total!!Estimate","ZCTA5 40228!!Total!!Margin of Error","ZCTA5 40228!!Percent!!Estimate","ZCTA5 40228!!Percent!!Margin of Error","ZCTA5 40228!!Male!!Estimate","ZCTA5 40228!!Male!!Margin of Error","ZCTA5 40228!!Percent Male!!Estimate","ZCTA5 40228!!Percent Male!!Margin of Error","ZCTA5 40228!!Female!!Estimate","ZCTA5 40228!!Female!!Margin of Error","ZCTA5 40228!!Percent Female!!Estimate","ZCTA5 40228!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","1,077","±335","(X)","(X)","507","±159","(X)","(X)","570","±277","(X)","(X)"
"        Less than high school graduate","40","±40","3.7%","±3.8","37","±39","7.3%","±7.8","3","±4","0.5%","±0.8"
"        High school graduate (includes equivalency)","293","±123","27.2%","±11.9","216","±110","42.6%","±15.7","77","±50","13.5%","±11.3"
"        Some college or associate's degree","582","±295","54.0%","±14.9","224","±106","44.2%","±15.1","358","±263","62.8%","±20.8"
"        Bachelor's degree or higher","162","±92","15.0%","±8.6","30","±35","5.9%","±7.1","132","±73","23.2%","±15.0"
"    Population 25 years and over","12,687","±818","(X)","(X)","6,104","±492","(X)","(X)","6,583","±553","(X)","(X)"
"        Less than 9th grade","276","±181","2.2%","±1.4","114","±96","1.9%","±1.5","162","±99","2.5%","±1.5"
"        9th to 12th grade, no diploma","358","±148","2.8%","±1.2","188","±104","3.1%","±1.7","170","±96","2.6%","±1.5"
"        High school graduate (includes equivalency)","3,824","±481","30.1%","±3.8","1,778","±308","29.1%","±5.1","2,046","±324","31.1%","±4.6"
"        Some college, no degree","3,302","±611","26.0%","±4.1","1,622","±432","26.6%","±6.0","1,680","±309","25.5%","±3.7"
"        Associate's degree","1,059","±213","8.3%","±1.7","422","±158","6.9%","±2.6","637","±165","9.7%","±2.5"
"        Bachelor's degree","2,755","±500","21.7%","±3.8","1,522","±350","24.9%","±5.5","1,233","±269","18.7%","±4.2"
"        Graduate or professional degree","1,113","±318","8.8%","±2.3","458","±118","7.5%","±2.0","655","±253","9.9%","±3.6"
"        High school graduate or higher","12,053","±777","95.0%","±1.7","5,802","±483","95.1%","±2.3","6,251","±529","95.0%","±1.9"
"        Bachelor's degree or higher","3,868","±587","30.5%","±4.2","1,980","±347","32.4%","±5.5","1,888","±341","28.7%","±4.6"
"    Population 25 to 34 years","2,529","±444","(X)","(X)","1,405","±289","(X)","(X)","1,124","±255","(X)","(X)"
"        High school graduate or higher","2,347","±417","92.8%","±5.4","1,303","±282","92.7%","±5.8","1,044","±242","92.9%","±6.2"
"        Bachelor's degree or higher","1,008","±283","39.9%","±10.2","579","±207","41.2%","±11.1","429","±166","38.2%","±14.1"
"    Population 35 to 44 years","2,158","±384","(X)","(X)","1,020","±295","(X)","(X)","1,138","±194","(X)","(X)"
"        High school graduate or higher","2,121","±387","98.3%","±1.8","1,009","±296","98.9%","±1.8","1,112","±196","97.7%","±2.1"
"        Bachelor's degree or higher","883","±204","40.9%","±8.8","371","±120","36.4%","±14.1","512","±141","45.0%","±10.3"
"    Population 45 to 64 years","4,890","±643","(X)","(X)","2,455","±387","(X)","(X)","2,435","±392","(X)","(X)"
"        High school graduate or higher","4,650","±620","95.1%","±2.6","2,324","±381","94.7%","±3.4","2,326","±375","95.5%","±2.7"
"        Bachelor's degree or higher","1,441","±446","29.5%","±7.1","759","±220","30.9%","±7.7","682","±255","28.0%","±8.4"
"    Population 65 years and over","3,110","±404","(X)","(X)","1,224","±270","(X)","(X)","1,886","±264","(X)","(X)"
"        High school graduate or higher","2,935","±424","94.4%","±3.6","1,166","±272","95.3%","±4.8","1,769","±279","93.8%","±4.9"
"        Bachelor's degree or higher","536","±179","17.2%","±5.1","271","±126","22.1%","±9.6","265","±94","14.1%","±4.6"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","8,882","±727","(X)","(X)","4,090","±462","(X)","(X)","4,792","±448","(X)","(X)"
"        High school graduate or higher","8,446","±714","95.1%","±1.8","3,883","±453","94.9%","±2.7","4,563","±447","95.2%","±2.0"
"        Bachelor's degree or higher","2,498","±447","28.1%","±4.4","1,303","±273","31.9%","±6.1","1,195","±256","24.9%","±4.8"
"    White alone, not Hispanic or Latino","8,635","±724","(X)","(X)","3,918","±462","(X)","(X)","4,717","±443","(X)","(X)"
"        High school graduate or higher","8,199","±700","95.0%","±1.8","3,711","±449","94.7%","±2.8","4,488","±439","95.1%","±2.0"
"        Bachelor's degree or higher","2,363","±434","27.4%","±4.5","1,209","±260","30.9%","±6.2","1,154","±250","24.5%","±4.8"
"    Black alone","2,065","±478","(X)","(X)","1,120","±260","(X)","(X)","945","±279","(X)","(X)"
"        High school graduate or higher","2,058","±478","99.7%","±0.6","1,120","±260","100.0%","±3.3","938","±279","99.3%","±1.3"
"        Bachelor's degree or higher","572","±192","27.7%","±9.4","306","±124","27.3%","±12.0","266","±120","28.1%","±11.4"
"    American Indian or Alaska Native alone","5","±8","(X)","(X)","5","±8","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","5","±8","100.0%","±100.0","5","±8","100.0%","±100.0","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","0.0%","±100.0","0","±20","0.0%","±100.0","0","±20","-","**"
"    Asian alone","167","±109","(X)","(X)","60","±47","(X)","(X)","107","±70","(X)","(X)"
"        High school graduate or higher","131","±83","78.4%","±18.8","60","±47","100.0%","±41.1","71","±48","66.4%","±29.2"
"        Bachelor's degree or higher","71","±61","42.5%","±30.9","22","±27","36.7%","±38.8","49","±40","45.8%","±30.5"
"    Native Hawaiian and Other Pacific Islander alone","0","±20","(X)","(X)","0","±20","(X)","(X)","0","±20","(X)","(X)"
"        High school graduate or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"        Bachelor's degree or higher","0","±20","-","**","0","±20","-","**","0","±20","-","**"
"    Some other race alone","184","±106","(X)","(X)","80","±53","(X)","(X)","104","±66","(X)","(X)"
"        High school graduate or higher","184","±106","100.0%","±18.3","80","±53","100.0%","±35.3","104","±66","100.0%","±29.4"
"        Bachelor's degree or higher","66","±53","35.9%","±22.6","42","±38","52.5%","±32.6","24","±25","23.1%","±22.8"
"    Two or more races","1,384","±468","(X)","(X)","749","±261","(X)","(X)","635","±246","(X)","(X)"
"        High school graduate or higher","1,229","±434","88.8%","±10.5","654","±234","87.3%","±10.8","575","±235","90.6%","±10.9"
"        Bachelor's degree or higher","661","±399","47.8%","±20.2","307","±201","41.0%","±20.6","354","±215","55.7%","±21.1"
"    Hispanic or Latino Origin","1,299","±481","(X)","(X)","735","±283","(X)","(X)","564","±223","(X)","(X)"
"        High school graduate or higher","1,159","±445","89.2%","±10.9","655","±262","89.1%","±10.7","504","±209","89.4%","±11.8"
"        Bachelor's degree or higher","571","±387","44.0%","±21.7","307","±209","41.8%","±20.9","264","±194","46.8%","±25.3"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","",""
"    Less than high school graduate","(X)","(X)","15.6%","±9.6","(X)","(X)","13.9%","±11.6","(X)","(X)","17.2%","±11.7"
"    High school graduate (includes equivalency)","(X)","(X)","10.5%","±4.4","(X)","(X)","7.7%","±5.4","(X)","(X)","13.0%","±5.2"
"    Some college or associate's degree","(X)","(X)","6.3%","±3.0","(X)","(X)","4.7%","±3.1","(X)","(X)","7.7%","±4.4"
"    Bachelor's degree or higher","(X)","(X)","4.7%","±3.3","(X)","(X)","6.9%","±5.9","(X)","(X)","2.3%","±2.1"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","",""
"    Population 25 years and over with earnings","49,325","±2,202","(X)","(X)","56,547","±3,332","(X)","(X)","42,550","±3,508","(X)","(X)"
"        Less than high school graduate","50,000","±49,066","(X)","(X)","60,625","±2,269","(X)","(X)","16,042","±14,428","(X)","(X)"
"        High school graduate (includes equivalency)","42,220","±4,500","(X)","(X)","52,281","±6,102","(X)","(X)","34,034","±6,378","(X)","(X)"
"        Some college or associate's degree","44,504","±4,858","(X)","(X)","48,345","±10,050","(X)","(X)","42,259","±3,999","(X)","(X)"
"        Bachelor's degree","59,492","±8,706","(X)","(X)","71,338","±16,024","(X)","(X)","52,668","±8,305","(X)","(X)"
"        Graduate or professional degree","58,963","±12,800","(X)","(X)","82,132","±25,843","(X)","(X)","54,292","±15,728","(X)","(X)"
