"Label (Grouping)","ZCTA5 40205!!Total!!Estimate","ZCTA5 40205!!Total!!Margin of Error","ZCTA5 40205!!Percent!!Estimate","ZCTA5 40205!!Percent!!Margin of Error","ZCTA5 40205!!Male!!Estimate","ZCTA5 40205!!Male!!Margin of Error","ZCTA5 40205!!Percent Male!!Estimate","ZCTA5 40205!!Percent Male!!Margin of Error","ZCTA5 40205!!Female!!Estimate","ZCTA5 40205!!Female!!Margin of Error","ZCTA5 40205!!Percent Female!!Estimate","ZCTA5 40205!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","2,301","±309","(X)","(X)","1,089","±278","(X)","(X)","1,212","±221","(X)","(X)"
"        Less than high school graduate","89","±57","3.9%","±2.3","56","±37","5.1%","±3.3","33","±44","2.7%","±3.4"
"        High school graduate (includes equivalency)","692","±145","30.1%","±5.4","257","±81","23.6%","±7.9","435","±104","35.9%","±6.7"
"        Some college or associate's degree","1,181","±232","51.3%","±6.3","643","±240","59.0%","±10.3","538","±138","44.4%","±7.1"
"        Bachelor's degree or higher","339","±113","14.7%","±4.8","133","±66","12.2%","±6.2","206","±77","17.0%","±6.4"
"    Population 25 years and over","17,147","±950","(X)","(X)","8,358","±594","(X)","(X)","8,789","±491","(X)","(X)"
"        Less than 9th grade","194","±87","1.1%","±0.5","114","±81","1.4%","±1.0","80","±57","0.9%","±0.6"
"        9th to 12th grade, no diploma","271","±104","1.6%","±0.6","154","±94","1.8%","±1.1","117","±51","1.3%","±0.6"
"        High school graduate (includes equivalency)","2,050","±363","12.0%","±2.1","995","±228","11.9%","±2.7","1,055","±228","12.0%","±2.5"
"        Some college, no degree","2,411","±359","14.1%","±1.9","1,322","±265","15.8%","±2.8","1,089","±173","12.4%","±1.9"
"        Associate's degree","1,053","±210","6.1%","±1.2","480","±120","5.7%","±1.4","573","±171","6.5%","±1.9"
"        Bachelor's degree","5,739","±596","33.5%","±2.5","3,012","±416","36.0%","±3.8","2,727","±315","31.0%","±3.0"
"        Graduate or professional degree","5,429","±466","31.7%","±2.6","2,281","±238","27.3%","±2.9","3,148","±367","35.8%","±3.7"
"        High school graduate or higher","16,682","±923","97.3%","±0.8","8,090","±570","96.8%","±1.4","8,592","±494","97.8%","±0.9"
"        Bachelor's degree or higher","11,168","±807","65.1%","±3.0","5,293","±462","63.3%","±3.7","5,875","±458","66.8%","±3.4"
"    Population 25 to 34 years","2,751","±473","(X)","(X)","1,598","±287","(X)","(X)","1,153","±262","(X)","(X)"
"        High school graduate or higher","2,661","±461","96.7%","±2.5","1,531","±274","95.8%","±3.9","1,130","±262","98.0%","±2.6"
"        Bachelor's degree or higher","2,032","±393","73.9%","±6.0","1,043","±217","65.3%","±7.2","989","±250","85.8%","±6.5"
"    Population 35 to 44 years","3,145","±498","(X)","(X)","1,445","±283","(X)","(X)","1,700","±277","(X)","(X)"
"        High school graduate or higher","3,066","±497","97.5%","±1.4","1,397","±284","96.7%","±2.0","1,669","±273","98.2%","±1.8"
"        Bachelor's degree or higher","2,532","±445","80.5%","±4.0","1,077","±228","74.5%","±5.7","1,455","±252","85.6%","±5.0"
"    Population 45 to 64 years","6,430","±538","(X)","(X)","3,186","±304","(X)","(X)","3,244","±319","(X)","(X)"
"        High school graduate or higher","6,338","±531","98.6%","±0.8","3,161","±306","99.2%","±0.6","3,177","±311","97.9%","±1.7"
"        Bachelor's degree or higher","4,053","±436","63.0%","±5.8","1,851","±254","58.1%","±6.7","2,202","±255","67.9%","±6.5"
"    Population 65 years and over","4,821","±366","(X)","(X)","2,129","±239","(X)","(X)","2,692","±223","(X)","(X)"
"        High school graduate or higher","4,617","±332","95.8%","±1.9","2,001","±205","94.0%","±4.1","2,616","±221","97.2%","±1.6"
"        Bachelor's degree or higher","2,551","±313","52.9%","±4.5","1,322","±182","62.1%","±5.5","1,229","±184","45.7%","±6.1"
"RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    White alone","16,156","±914","(X)","(X)","7,874","±587","(X)","(X)","8,282","±468","(X)","(X)"
"        High school graduate or higher","15,807","±894","97.8%","±0.7","7,666","±572","97.4%","±1.5","8,141","±466","98.3%","±0.8"
"        Bachelor's degree or higher","10,654","±775","65.9%","±3.2","5,025","±448","63.8%","±3.8","5,629","±438","68.0%","±3.6"
"    White alone, not Hispanic or Latino","16,079","±913","(X)","(X)","7,830","±588","(X)","(X)","8,249","±466","(X)","(X)"
"        High school graduate or higher","15,732","±893","97.8%","±0.7","7,624","±573","97.4%","±1.5","8,108","±464","98.3%","±0.8"
"        Bachelor's degree or higher","10,593","±772","65.9%","±3.2","4,992","±444","63.8%","±3.8","5,601","±435","67.9%","±3.6"
"    Black alone","369","±134","(X)","(X)","181","±79","(X)","(X)","188","±97","(X)","(X)"
"        High school graduate or higher","314","±131","85.1%","±8.3","154","±77","85.1%","±8.7","160","±93","85.1%","±13.9"
"        Bachelor's degree or higher","112","±69","30.4%","±17.3","64","±54","35.4%","±25.4","48","±40","25.5%","±19.6"
"    American Indian or Alaska Native alone","4","±8","(X)","(X)","0","±24","(X)","(X)","4","±8","(X)","(X)"
"        High school graduate or higher","4","±8","100.0%","±100.0","0","±24","-","**","4","±8","100.0%","±100.0"
"        Bachelor's degree or higher","0","±24","0.0%","±100.0","0","±24","-","**","0","±24","0.0%","±100.0"
"    Asian alone","152","±70","(X)","(X)","101","±59","(X)","(X)","51","±32","(X)","(X)"
"        High school graduate or higher","145","±66","95.4%","±8.2","94","±55","93.1%","±12.1","51","±32","100.0%","±44.6"
